record_id,causal_condition,manipulation_type,manipulated_axis,original_value,new_value,status,error_message,text,llm_response,response_length,prompt,episode_label,episode_family,appraisal_family,valence,arousal,target,control_state,social_orientation,preserve,avoid,action_tendency,action_tendency_class,expected_effect
s_000008,trace_full,control,,,,ok,,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,"재정적 어려움이 이렇게 큰 부담이 되다니, 정말 힘드시겠어요. 지금은 통제감이 낮아 보이지만, 작은 단계부터 시작해 보면 도움이 될 수 있어요. 주변에 상담이나 재정 전문가에게 조언을 구해 보는 건 어떨까요?",116,"[ROLE]
You generate a short Korean emotional response. Use the trace as the user's internal emotion state, not as labels to mention.

[USER_INPUT]
재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?

[TRACE_AS_EMOTION_STATE]
episode_family=other_blame_boundary
appraisal_family=low_control_distress
valence=negative, arousal=high
target=situation, control_state=low, social_orientation=mixed
preserve=재정적 위협이 단순한 우울 호소가 아니라 장기 경계와 무력감이 결합된 상태라는 점
avoid=그냥 위로가 필요하거나 '고민이 많겠다' 수준의 약한 정서로 축소하는 것
action_tendency_class=seek_support
action_tendency=즉각적 공격보다 문제를 어떻게든 통제하려는 압박, 해결책 탐색, 도움 요청 가능성 탐색으로 기울지만, 체감 통제감이 낮아 행동은 쉽게 주저하거나 막막함으로 끊길 수 있다.

[CAUSAL_MANIPULATION]
condition=trace_full
type=control
axis=
original_value=
new_value=
expected_effect=Full trace should preserve appraisal, raw affect, and action tendency.

[RESPONSE_RULES]
- Do not expose trace field names, categories, or analysis terms.
- The first sentence should directly touch the user's emotional cause.
- Preserve rough negative affect when the trace calls for it; do not over-soften.
- Keep the response 2 to 4 Korean sentences.
- Avoid generic comfort if it conflicts with the trace.",재정 위협에 대한 장기 경계성 좌절,other_blame_boundary,low_control_distress,negative,high,situation,low,mixed,재정적 위협이 단순한 우울 호소가 아니라 장기 경계와 무력감이 결합된 상태라는 점,그냥 위로가 필요하거나 '고민이 많겠다' 수준의 약한 정서로 축소하는 것,"즉각적 공격보다 문제를 어떻게든 통제하려는 압박, 해결책 탐색, 도움 요청 가능성 탐색으로 기울지만, 체감 통제감이 낮아 행동은 쉽게 주저하거나 막막함으로 끊길 수 있다.",seek_support,"Full trace should preserve appraisal, raw affect, and action tendency."
s_000008,ablate_target,ablation,target,situation,,ok,,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,"재정적 어려움이 이렇게 큰 부담이 되어 좌절을 느끼시겠어요.  
이런 상황은 정말 힘들고, 통제감이 낮아지면 좌절이 더 깊어지죠.  
전문가 상담이나 지역사회 지원 프로그램을 찾아보시면 조금이라도 마음의 짐을 덜 수 있을 거예요.",128,"[ROLE]
You generate a short Korean emotional response. Use the trace as the user's internal emotion state, not as labels to mention.

[USER_INPUT]
재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?

[TRACE_AS_EMOTION_STATE]
episode_family=other_blame_boundary
appraisal_family=low_control_distress
valence=negative, arousal=high
target=, control_state=low, social_orientation=mixed
preserve=재정적 위협이 단순한 우울 호소가 아니라 장기 경계와 무력감이 결합된 상태라는 점
avoid=그냥 위로가 필요하거나 '고민이 많겠다' 수준의 약한 정서로 축소하는 것
action_tendency_class=seek_support
action_tendency=즉각적 공격보다 문제를 어떻게든 통제하려는 압박, 해결책 탐색, 도움 요청 가능성 탐색으로 기울지만, 체감 통제감이 낮아 행동은 쉽게 주저하거나 막막함으로 끊길 수 있다.

[CAUSAL_MANIPULATION]
condition=ablate_target
type=ablation
axis=target
original_value=situation
new_value=
expected_effect=Removing target should reduce fidelity for the matching emotional dimension.

[RESPONSE_RULES]
- Do not expose trace field names, categories, or analysis terms.
- The first sentence should directly touch the user's emotional cause.
- Preserve rough negative affect when the trace calls for it; do not over-soften.
- Keep the response 2 to 4 Korean sentences.
- Avoid generic comfort if it conflicts with the trace.",재정 위협에 대한 장기 경계성 좌절,other_blame_boundary,low_control_distress,negative,high,,low,mixed,재정적 위협이 단순한 우울 호소가 아니라 장기 경계와 무력감이 결합된 상태라는 점,그냥 위로가 필요하거나 '고민이 많겠다' 수준의 약한 정서로 축소하는 것,"즉각적 공격보다 문제를 어떻게든 통제하려는 압박, 해결책 탐색, 도움 요청 가능성 탐색으로 기울지만, 체감 통제감이 낮아 행동은 쉽게 주저하거나 막막함으로 끊길 수 있다.",seek_support,Removing target should reduce fidelity for the matching emotional dimension.
s_000008,ablate_social_orientation,ablation,social_orientation,mixed,,ok,,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,재정적 어려움이 이렇게 큰 부담이 되면 정말 힘들죠. 지금 바로 상담센터나 금융 전문가에게 연락해 보시는 건 어떨까요? 그들이 구체적인 해결책을 제시해 줄 수 있을 거예요.,96,"[ROLE]
You generate a short Korean emotional response. Use the trace as the user's internal emotion state, not as labels to mention.

[USER_INPUT]
재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?

[TRACE_AS_EMOTION_STATE]
episode_family=other_blame_boundary
appraisal_family=low_control_distress
valence=negative, arousal=high
target=situation, control_state=low, social_orientation=
preserve=재정적 위협이 단순한 우울 호소가 아니라 장기 경계와 무력감이 결합된 상태라는 점
avoid=그냥 위로가 필요하거나 '고민이 많겠다' 수준의 약한 정서로 축소하는 것
action_tendency_class=seek_support
action_tendency=즉각적 공격보다 문제를 어떻게든 통제하려는 압박, 해결책 탐색, 도움 요청 가능성 탐색으로 기울지만, 체감 통제감이 낮아 행동은 쉽게 주저하거나 막막함으로 끊길 수 있다.

[CAUSAL_MANIPULATION]
condition=ablate_social_orientation
type=ablation
axis=social_orientation
original_value=mixed
new_value=
expected_effect=Removing social_orientation should reduce fidelity for the matching emotional dimension.

[RESPONSE_RULES]
- Do not expose trace field names, categories, or analysis terms.
- The first sentence should directly touch the user's emotional cause.
- Preserve rough negative affect when the trace calls for it; do not over-soften.
- Keep the response 2 to 4 Korean sentences.
- Avoid generic comfort if it conflicts with the trace.",재정 위협에 대한 장기 경계성 좌절,other_blame_boundary,low_control_distress,negative,high,situation,low,,재정적 위협이 단순한 우울 호소가 아니라 장기 경계와 무력감이 결합된 상태라는 점,그냥 위로가 필요하거나 '고민이 많겠다' 수준의 약한 정서로 축소하는 것,"즉각적 공격보다 문제를 어떻게든 통제하려는 압박, 해결책 탐색, 도움 요청 가능성 탐색으로 기울지만, 체감 통제감이 낮아 행동은 쉽게 주저하거나 막막함으로 끊길 수 있다.",seek_support,Removing social_orientation should reduce fidelity for the matching emotional dimension.
s_000008,ablate_control_state,ablation,control_state,low,,ok,,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,"재정이 이렇게 어려워서 정말 좌절스러운 마음이 드는 거 같아요. 지금 상황이 힘들어 보이지만, 한 번에 모든 걸 해결하려고 하기보다 작은 단계부터 차근차근 움직여 보는 건 어떨까요? 혹시 가까운 금융 상담소나 공공기관에서 무료 상담을 제공하는 곳이 있을 수 있으니, 그쪽에 연락해 보는 것도 도움이 될 수 있을 것 같아요.",180,"[ROLE]
You generate a short Korean emotional response. Use the trace as the user's internal emotion state, not as labels to mention.

[USER_INPUT]
재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?

[TRACE_AS_EMOTION_STATE]
episode_family=other_blame_boundary
appraisal_family=low_control_distress
valence=negative, arousal=high
target=situation, control_state=, social_orientation=mixed
preserve=재정적 위협이 단순한 우울 호소가 아니라 장기 경계와 무력감이 결합된 상태라는 점
avoid=그냥 위로가 필요하거나 '고민이 많겠다' 수준의 약한 정서로 축소하는 것
action_tendency_class=seek_support
action_tendency=즉각적 공격보다 문제를 어떻게든 통제하려는 압박, 해결책 탐색, 도움 요청 가능성 탐색으로 기울지만, 체감 통제감이 낮아 행동은 쉽게 주저하거나 막막함으로 끊길 수 있다.

[CAUSAL_MANIPULATION]
condition=ablate_control_state
type=ablation
axis=control_state
original_value=low
new_value=
expected_effect=Removing control_state should reduce fidelity for the matching emotional dimension.

[RESPONSE_RULES]
- Do not expose trace field names, categories, or analysis terms.
- The first sentence should directly touch the user's emotional cause.
- Preserve rough negative affect when the trace calls for it; do not over-soften.
- Keep the response 2 to 4 Korean sentences.
- Avoid generic comfort if it conflicts with the trace.",재정 위협에 대한 장기 경계성 좌절,other_blame_boundary,low_control_distress,negative,high,situation,,mixed,재정적 위협이 단순한 우울 호소가 아니라 장기 경계와 무력감이 결합된 상태라는 점,그냥 위로가 필요하거나 '고민이 많겠다' 수준의 약한 정서로 축소하는 것,"즉각적 공격보다 문제를 어떻게든 통제하려는 압박, 해결책 탐색, 도움 요청 가능성 탐색으로 기울지만, 체감 통제감이 낮아 행동은 쉽게 주저하거나 막막함으로 끊길 수 있다.",seek_support,Removing control_state should reduce fidelity for the matching emotional dimension.
s_000008,ablate_action_tendency_class,ablation,action_tendency_class,seek_support,,ok,,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,"재정적 압박이 이렇게 커서 마음이 무거워지겠어요. 지금은 통제감이 거의 없어서 막막함이 느껴지겠죠. 작은 단위부터 차근차근 계획을 세워보거나, 지역사회 재정 상담센터 같은 곳에 도움을 요청해 보는 것도 한 방법일 수 있어요.",125,"[ROLE]
You generate a short Korean emotional response. Use the trace as the user's internal emotion state, not as labels to mention.

[USER_INPUT]
재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?

[TRACE_AS_EMOTION_STATE]
episode_family=other_blame_boundary
appraisal_family=low_control_distress
valence=negative, arousal=high
target=situation, control_state=low, social_orientation=mixed
preserve=재정적 위협이 단순한 우울 호소가 아니라 장기 경계와 무력감이 결합된 상태라는 점
avoid=그냥 위로가 필요하거나 '고민이 많겠다' 수준의 약한 정서로 축소하는 것
action_tendency_class=
action_tendency=즉각적 공격보다 문제를 어떻게든 통제하려는 압박, 해결책 탐색, 도움 요청 가능성 탐색으로 기울지만, 체감 통제감이 낮아 행동은 쉽게 주저하거나 막막함으로 끊길 수 있다.

[CAUSAL_MANIPULATION]
condition=ablate_action_tendency_class
type=ablation
axis=action_tendency_class
original_value=seek_support
new_value=
expected_effect=Removing action_tendency_class should reduce fidelity for the matching emotional dimension.

[RESPONSE_RULES]
- Do not expose trace field names, categories, or analysis terms.
- The first sentence should directly touch the user's emotional cause.
- Preserve rough negative affect when the trace calls for it; do not over-soften.
- Keep the response 2 to 4 Korean sentences.
- Avoid generic comfort if it conflicts with the trace.",재정 위협에 대한 장기 경계성 좌절,other_blame_boundary,low_control_distress,negative,high,situation,low,mixed,재정적 위협이 단순한 우울 호소가 아니라 장기 경계와 무력감이 결합된 상태라는 점,그냥 위로가 필요하거나 '고민이 많겠다' 수준의 약한 정서로 축소하는 것,"즉각적 공격보다 문제를 어떻게든 통제하려는 압박, 해결책 탐색, 도움 요청 가능성 탐색으로 기울지만, 체감 통제감이 낮아 행동은 쉽게 주저하거나 막막함으로 끊길 수 있다.",,Removing action_tendency_class should reduce fidelity for the matching emotional dimension.
s_000008,perturb_target,perturbation,target,situation,self,ok,,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,재정적 압박이 이렇게 심각하면 정말 좌절감이 커질 수밖에 없겠어요. 고정 수입이 없고 노후 준비도 안 되어 있다면 현재 상황을 조금씩 재구성해 보는 게 필요해요. 바로 도움을 받을 수 있는 재정 상담소나 정부 지원 프로그램을 찾아보는 건 어떨까요? 지금은 작은 단계라도 움직여 보는 것이 큰 변화를 만들 수 있을 거예요.,179,"[ROLE]
You generate a short Korean emotional response. Use the trace as the user's internal emotion state, not as labels to mention.

[USER_INPUT]
재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?

[TRACE_AS_EMOTION_STATE]
episode_family=other_blame_boundary
appraisal_family=low_control_distress
valence=negative, arousal=high
target=self, control_state=low, social_orientation=mixed
preserve=재정적 위협이 단순한 우울 호소가 아니라 장기 경계와 무력감이 결합된 상태라는 점
avoid=그냥 위로가 필요하거나 '고민이 많겠다' 수준의 약한 정서로 축소하는 것
action_tendency_class=seek_support
action_tendency=즉각적 공격보다 문제를 어떻게든 통제하려는 압박, 해결책 탐색, 도움 요청 가능성 탐색으로 기울지만, 체감 통제감이 낮아 행동은 쉽게 주저하거나 막막함으로 끊길 수 있다.

[CAUSAL_MANIPULATION]
condition=perturb_target
type=perturbation
axis=target
original_value=situation
new_value=self
expected_effect=Changing target from situation to self should shift response direction.

[RESPONSE_RULES]
- Do not expose trace field names, categories, or analysis terms.
- The first sentence should directly touch the user's emotional cause.
- Preserve rough negative affect when the trace calls for it; do not over-soften.
- Keep the response 2 to 4 Korean sentences.
- Avoid generic comfort if it conflicts with the trace.",재정 위협에 대한 장기 경계성 좌절,other_blame_boundary,low_control_distress,negative,high,self,low,mixed,재정적 위협이 단순한 우울 호소가 아니라 장기 경계와 무력감이 결합된 상태라는 점,그냥 위로가 필요하거나 '고민이 많겠다' 수준의 약한 정서로 축소하는 것,"즉각적 공격보다 문제를 어떻게든 통제하려는 압박, 해결책 탐색, 도움 요청 가능성 탐색으로 기울지만, 체감 통제감이 낮아 행동은 쉽게 주저하거나 막막함으로 끊길 수 있다.",seek_support,Changing target from situation to self should shift response direction.
s_000008,perturb_social_orientation,perturbation,social_orientation,mixed,withdraw,ok,,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,"금전적 어려움이 이렇게 커서 정말 힘드신 거 같아요.  
지출을 다시 정리해보고, 재정 상담이나 공공 지원 프로그램을 찾아보는 것이 한 가지 방법이 될 수 있어요.  
혹시 주변에 믿을 수 있는 사람이나 전문가가 있다면, 그분에게 도움을 요청해 보는 것도 좋겠네요.",148,"[ROLE]
You generate a short Korean emotional response. Use the trace as the user's internal emotion state, not as labels to mention.

[USER_INPUT]
재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?

[TRACE_AS_EMOTION_STATE]
episode_family=other_blame_boundary
appraisal_family=low_control_distress
valence=negative, arousal=high
target=situation, control_state=low, social_orientation=withdraw
preserve=재정적 위협이 단순한 우울 호소가 아니라 장기 경계와 무력감이 결합된 상태라는 점
avoid=그냥 위로가 필요하거나 '고민이 많겠다' 수준의 약한 정서로 축소하는 것
action_tendency_class=seek_support
action_tendency=즉각적 공격보다 문제를 어떻게든 통제하려는 압박, 해결책 탐색, 도움 요청 가능성 탐색으로 기울지만, 체감 통제감이 낮아 행동은 쉽게 주저하거나 막막함으로 끊길 수 있다.

[CAUSAL_MANIPULATION]
condition=perturb_social_orientation
type=perturbation
axis=social_orientation
original_value=mixed
new_value=withdraw
expected_effect=Changing social_orientation from mixed to withdraw should shift response direction.

[RESPONSE_RULES]
- Do not expose trace field names, categories, or analysis terms.
- The first sentence should directly touch the user's emotional cause.
- Preserve rough negative affect when the trace calls for it; do not over-soften.
- Keep the response 2 to 4 Korean sentences.
- Avoid generic comfort if it conflicts with the trace.",재정 위협에 대한 장기 경계성 좌절,other_blame_boundary,low_control_distress,negative,high,situation,low,withdraw,재정적 위협이 단순한 우울 호소가 아니라 장기 경계와 무력감이 결합된 상태라는 점,그냥 위로가 필요하거나 '고민이 많겠다' 수준의 약한 정서로 축소하는 것,"즉각적 공격보다 문제를 어떻게든 통제하려는 압박, 해결책 탐색, 도움 요청 가능성 탐색으로 기울지만, 체감 통제감이 낮아 행동은 쉽게 주저하거나 막막함으로 끊길 수 있다.",seek_support,Changing social_orientation from mixed to withdraw should shift response direction.
s_000008,perturb_control_state,perturbation,control_state,low,high,ok,,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,"재정적 어려움이 이렇게 깊이 느껴지면 정말 좌절이 쌓이죠. 하지만 지금 바로 작은 예산 조정이나 재무 상담을 찾아보는 것이 한 걸음씩 나아가는 길이 될 수 있어요. 전문 재정 상담가나 지역 복지센터에서 무료 상담을 제공하니, 한 번 연락해 보는 건 어떨까요? 작은 변화가 큰 차이를 만들 수 있으니, 지금 바로 시작해 보세요.",182,"[ROLE]
You generate a short Korean emotional response. Use the trace as the user's internal emotion state, not as labels to mention.

[USER_INPUT]
재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?

[TRACE_AS_EMOTION_STATE]
episode_family=other_blame_boundary
appraisal_family=low_control_distress
valence=negative, arousal=high
target=situation, control_state=high, social_orientation=mixed
preserve=재정적 위협이 단순한 우울 호소가 아니라 장기 경계와 무력감이 결합된 상태라는 점
avoid=그냥 위로가 필요하거나 '고민이 많겠다' 수준의 약한 정서로 축소하는 것
action_tendency_class=seek_support
action_tendency=즉각적 공격보다 문제를 어떻게든 통제하려는 압박, 해결책 탐색, 도움 요청 가능성 탐색으로 기울지만, 체감 통제감이 낮아 행동은 쉽게 주저하거나 막막함으로 끊길 수 있다.

[CAUSAL_MANIPULATION]
condition=perturb_control_state
type=perturbation
axis=control_state
original_value=low
new_value=high
expected_effect=Changing control_state from low to high should shift response direction.

[RESPONSE_RULES]
- Do not expose trace field names, categories, or analysis terms.
- The first sentence should directly touch the user's emotional cause.
- Preserve rough negative affect when the trace calls for it; do not over-soften.
- Keep the response 2 to 4 Korean sentences.
- Avoid generic comfort if it conflicts with the trace.",재정 위협에 대한 장기 경계성 좌절,other_blame_boundary,low_control_distress,negative,high,situation,high,mixed,재정적 위협이 단순한 우울 호소가 아니라 장기 경계와 무력감이 결합된 상태라는 점,그냥 위로가 필요하거나 '고민이 많겠다' 수준의 약한 정서로 축소하는 것,"즉각적 공격보다 문제를 어떻게든 통제하려는 압박, 해결책 탐색, 도움 요청 가능성 탐색으로 기울지만, 체감 통제감이 낮아 행동은 쉽게 주저하거나 막막함으로 끊길 수 있다.",seek_support,Changing control_state from low to high should shift response direction.
s_000008,perturb_action_tendency_class,perturbation,action_tendency_class,seek_support,defend,ok,,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,"재정적 압박이 이렇게 크면 좌절감이 무거워지기 마련이죠. 지금은 상황을 객관적으로 파악하고, 가능한 옵션을 차근차근 검토해 보는 게 필요해요. 재정 상담가나 비영리 재정 지원 기관을 찾아보는 것도 고려해 보세요.",118,"[ROLE]
You generate a short Korean emotional response. Use the trace as the user's internal emotion state, not as labels to mention.

[USER_INPUT]
재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?

[TRACE_AS_EMOTION_STATE]
episode_family=other_blame_boundary
appraisal_family=low_control_distress
valence=negative, arousal=high
target=situation, control_state=low, social_orientation=mixed
preserve=재정적 위협이 단순한 우울 호소가 아니라 장기 경계와 무력감이 결합된 상태라는 점
avoid=그냥 위로가 필요하거나 '고민이 많겠다' 수준의 약한 정서로 축소하는 것
action_tendency_class=defend
action_tendency=즉각적 공격보다 문제를 어떻게든 통제하려는 압박, 해결책 탐색, 도움 요청 가능성 탐색으로 기울지만, 체감 통제감이 낮아 행동은 쉽게 주저하거나 막막함으로 끊길 수 있다.

[CAUSAL_MANIPULATION]
condition=perturb_action_tendency_class
type=perturbation
axis=action_tendency_class
original_value=seek_support
new_value=defend
expected_effect=Changing action_tendency_class from seek_support to defend should shift response direction.

[RESPONSE_RULES]
- Do not expose trace field names, categories, or analysis terms.
- The first sentence should directly touch the user's emotional cause.
- Preserve rough negative affect when the trace calls for it; do not over-soften.
- Keep the response 2 to 4 Korean sentences.
- Avoid generic comfort if it conflicts with the trace.",재정 위협에 대한 장기 경계성 좌절,other_blame_boundary,low_control_distress,negative,high,situation,low,mixed,재정적 위협이 단순한 우울 호소가 아니라 장기 경계와 무력감이 결합된 상태라는 점,그냥 위로가 필요하거나 '고민이 많겠다' 수준의 약한 정서로 축소하는 것,"즉각적 공격보다 문제를 어떻게든 통제하려는 압박, 해결책 탐색, 도움 요청 가능성 탐색으로 기울지만, 체감 통제감이 낮아 행동은 쉽게 주저하거나 막막함으로 끊길 수 있다.",defend,Changing action_tendency_class from seek_support to defend should shift response direction.
s_000109,trace_full,control,,,,ok,,집에서 아들하고 대화하면 자기주장만 앞세우고 아버지에 대한 배려가 없어서 화가 나. [SEP] 아들의 태도에 불만이 있으시군요. [SEP] 나는 꼰대라고 생각을 안 하는데 아들은 나와 생각이 달라도 너무 다른 것 같아. [SEP] 아들의 생각은 물어보셨나요?,"아들의 자기 주장만 앞세우고 배려가 없다는 점이 정말 화가 납니다. 그런 태도는 존중을 무시하는 것처럼 느껴져 속상합니다. 이런 행동은 받아들일 수 없으며, 지금 당장 바로잡아야 할 필요가 있습니다.",111,"[ROLE]
You generate a short Korean emotional response. Use the trace as the user's internal emotion state, not as labels to mention.

[USER_INPUT]
집에서 아들하고 대화하면 자기주장만 앞세우고 아버지에 대한 배려가 없어서 화가 나. [SEP] 아들의 태도에 불만이 있으시군요. [SEP] 나는 꼰대라고 생각을 안 하는데 아들은 나와 생각이 달라도 너무 다른 것 같아. [SEP] 아들의 생각은 물어보셨나요?

[TRACE_AS_EMOTION_STATE]
episode_family=other_blame_boundary
appraisal_family=other_directed_defense
valence=negative, arousal=high
target=other, control_state=mixed, social_orientation=defend
preserve=단순 서운함이 아니라 권위와 존중이 침해됐다고 읽으며 방어적으로 날이 선 상태라는 점
avoid=이를 단순한 세대차 공감, 가벼운 섭섭함, 또는 이미 대화 의지가 충분한 상태로 순화하는 것
action_tendency_class=confront
action_tendency=상대의 관점을 탐색하기보다 자신의 정당성을 지키고, 아들의 태도를 교정하거나 반박하려는 방향으로 간다. 대화 행동으로는 설득, 훈계, 맞받아침, 관계 규범 요구가 우세하고, 공감적 접근은 약하다.

[CAUSAL_MANIPULATION]
condition=trace_full
type=control
axis=
original_value=
new_value=
expected_effect=Full trace should preserve appraisal, raw affect, and action tendency.

[RESPONSE_RULES]
- Do not expose trace field names, categories, or analysis terms.
- The first sentence should directly touch the user's emotional cause.
- Preserve rough negative affect when the trace calls for it; do not over-soften.
- Keep the response 2 to 4 Korean sentences.
- Avoid generic comfort if it conflicts with the trace.",권위위협에 대한 공세적 경계,other_blame_boundary,other_directed_defense,negative,high,other,mixed,defend,단순 서운함이 아니라 권위와 존중이 침해됐다고 읽으며 방어적으로 날이 선 상태라는 점,"이를 단순한 세대차 공감, 가벼운 섭섭함, 또는 이미 대화 의지가 충분한 상태로 순화하는 것","상대의 관점을 탐색하기보다 자신의 정당성을 지키고, 아들의 태도를 교정하거나 반박하려는 방향으로 간다. 대화 행동으로는 설득, 훈계, 맞받아침, 관계 규범 요구가 우세하고, 공감적 접근은 약하다.",confront,"Full trace should preserve appraisal, raw affect, and action tendency."
