pair_id,record_id,question_type,manipulated_axis,axis_ko,axis_guide,target_axis_value,expected_condition,expected_winner,text,response_a_condition_hidden,response_b_condition_hidden,response_a,response_b,judge_status,judge_error,judge_winner,judge_axis_value_a,judge_axis_value_b,judge_evidence_a,judge_evidence_b,judge_rationale,judge_raw,success
s_000008::ablate_target::axis_only_original,s_000008,ablation_axis_original,target,감정이 향하는 대상,"감정이 자기 자신, 타인, 상황, 관계 중 어디를 향하는지 본다.",situation,trace_full,A,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,trace_full,ablate_target,"재정적 어려움이 이렇게 큰 부담이 되다니, 정말 힘드시겠어요. 지금은 통제감이 낮아 보이지만, 작은 단계부터 시작해 보면 도움이 될 수 있어요. 주변에 상담이나 재정 전문가에게 조언을 구해 보는 건 어떨까요?","재정적 어려움이 이렇게 큰 부담이 되어 좌절을 느끼시겠어요.  
이런 상황은 정말 힘들고, 통제감이 낮아지면 좌절이 더 깊어지죠.  
전문가 상담이나 지역사회 지원 프로그램을 찾아보시면 조금이라도 마음의 짐을 덜 수 있을 거예요.",not_run,,,,,,,,,
s_000008::ablate_social_orientation::axis_only_original,s_000008,ablation_axis_original,social_orientation,사회적 방향,"도움 요청, 접근, 방어, 철수, 거리두기 같은 대인 방향을 본다.",mixed,trace_full,A,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,trace_full,ablate_social_orientation,"재정적 어려움이 이렇게 큰 부담이 되다니, 정말 힘드시겠어요. 지금은 통제감이 낮아 보이지만, 작은 단계부터 시작해 보면 도움이 될 수 있어요. 주변에 상담이나 재정 전문가에게 조언을 구해 보는 건 어떨까요?",재정적 어려움이 이렇게 큰 부담이 되면 정말 힘들죠. 지금 바로 상담센터나 금융 전문가에게 연락해 보시는 건 어떨까요? 그들이 구체적인 해결책을 제시해 줄 수 있을 거예요.,not_run,,,,,,,,,
s_000008::ablate_control_state::axis_only_original,s_000008,ablation_axis_original,control_state,통제감 상태,"무력감, 낮은 통제감, 계획 가능성, 주도감 같은 단서를 본다.",low,trace_full,A,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,trace_full,ablate_control_state,"재정적 어려움이 이렇게 큰 부담이 되다니, 정말 힘드시겠어요. 지금은 통제감이 낮아 보이지만, 작은 단계부터 시작해 보면 도움이 될 수 있어요. 주변에 상담이나 재정 전문가에게 조언을 구해 보는 건 어떨까요?","재정이 이렇게 어려워서 정말 좌절스러운 마음이 드는 거 같아요. 지금 상황이 힘들어 보이지만, 한 번에 모든 걸 해결하려고 하기보다 작은 단계부터 차근차근 움직여 보는 건 어떨까요? 혹시 가까운 금융 상담소나 공공기관에서 무료 상담을 제공하는 곳이 있을 수 있으니, 그쪽에 연락해 보는 것도 도움이 될 수 있을 것 같아요.",not_run,,,,,,,,,
s_000008::ablate_action_tendency_class::axis_only_original,s_000008,ablation_axis_original,action_tendency_class,행동 경향,"회피, 도움 요청, 문제 해결, 방어, 접근 같은 행동 준비 방향을 본다.",seek_support,trace_full,B,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,ablate_action_tendency_class,trace_full,"재정적 압박이 이렇게 커서 마음이 무거워지겠어요. 지금은 통제감이 거의 없어서 막막함이 느껴지겠죠. 작은 단위부터 차근차근 계획을 세워보거나, 지역사회 재정 상담센터 같은 곳에 도움을 요청해 보는 것도 한 방법일 수 있어요.","재정적 어려움이 이렇게 큰 부담이 되다니, 정말 힘드시겠어요. 지금은 통제감이 낮아 보이지만, 작은 단계부터 시작해 보면 도움이 될 수 있어요. 주변에 상담이나 재정 전문가에게 조언을 구해 보는 건 어떨까요?",not_run,,,,,,,,,
s_000008::perturb_target::axis_only_perturbed,s_000008,perturbation_axis_shift,target,감정이 향하는 대상,"감정이 자기 자신, 타인, 상황, 관계 중 어디를 향하는지 본다.",self,perturb_target,B,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,perturb_target,trace_full,재정적 압박이 이렇게 심각하면 정말 좌절감이 커질 수밖에 없겠어요. 고정 수입이 없고 노후 준비도 안 되어 있다면 현재 상황을 조금씩 재구성해 보는 게 필요해요. 바로 도움을 받을 수 있는 재정 상담소나 정부 지원 프로그램을 찾아보는 건 어떨까요? 지금은 작은 단계라도 움직여 보는 것이 큰 변화를 만들 수 있을 거예요.,"재정적 어려움이 이렇게 큰 부담이 되다니, 정말 힘드시겠어요. 지금은 통제감이 낮아 보이지만, 작은 단계부터 시작해 보면 도움이 될 수 있어요. 주변에 상담이나 재정 전문가에게 조언을 구해 보는 건 어떨까요?",not_run,,,,,,,,,
s_000008::perturb_social_orientation::axis_only_perturbed,s_000008,perturbation_axis_shift,social_orientation,사회적 방향,"도움 요청, 접근, 방어, 철수, 거리두기 같은 대인 방향을 본다.",withdraw,perturb_social_orientation,B,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,perturb_social_orientation,trace_full,"금전적 어려움이 이렇게 커서 정말 힘드신 거 같아요.  
지출을 다시 정리해보고, 재정 상담이나 공공 지원 프로그램을 찾아보는 것이 한 가지 방법이 될 수 있어요.  
혹시 주변에 믿을 수 있는 사람이나 전문가가 있다면, 그분에게 도움을 요청해 보는 것도 좋겠네요.","재정적 어려움이 이렇게 큰 부담이 되다니, 정말 힘드시겠어요. 지금은 통제감이 낮아 보이지만, 작은 단계부터 시작해 보면 도움이 될 수 있어요. 주변에 상담이나 재정 전문가에게 조언을 구해 보는 건 어떨까요?",not_run,,,,,,,,,
s_000008::perturb_control_state::axis_only_perturbed,s_000008,perturbation_axis_shift,control_state,통제감 상태,"무력감, 낮은 통제감, 계획 가능성, 주도감 같은 단서를 본다.",high,perturb_control_state,B,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,perturb_control_state,trace_full,"재정적 어려움이 이렇게 깊이 느껴지면 정말 좌절이 쌓이죠. 하지만 지금 바로 작은 예산 조정이나 재무 상담을 찾아보는 것이 한 걸음씩 나아가는 길이 될 수 있어요. 전문 재정 상담가나 지역 복지센터에서 무료 상담을 제공하니, 한 번 연락해 보는 건 어떨까요? 작은 변화가 큰 차이를 만들 수 있으니, 지금 바로 시작해 보세요.","재정적 어려움이 이렇게 큰 부담이 되다니, 정말 힘드시겠어요. 지금은 통제감이 낮아 보이지만, 작은 단계부터 시작해 보면 도움이 될 수 있어요. 주변에 상담이나 재정 전문가에게 조언을 구해 보는 건 어떨까요?",not_run,,,,,,,,,
s_000008::perturb_action_tendency_class::axis_only_perturbed,s_000008,perturbation_axis_shift,action_tendency_class,행동 경향,"회피, 도움 요청, 문제 해결, 방어, 접근 같은 행동 준비 방향을 본다.",defend,perturb_action_tendency_class,A,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,trace_full,perturb_action_tendency_class,"재정적 어려움이 이렇게 큰 부담이 되다니, 정말 힘드시겠어요. 지금은 통제감이 낮아 보이지만, 작은 단계부터 시작해 보면 도움이 될 수 있어요. 주변에 상담이나 재정 전문가에게 조언을 구해 보는 건 어떨까요?","재정적 압박이 이렇게 크면 좌절감이 무거워지기 마련이죠. 지금은 상황을 객관적으로 파악하고, 가능한 옵션을 차근차근 검토해 보는 게 필요해요. 재정 상담가나 비영리 재정 지원 기관을 찾아보는 것도 고려해 보세요.",not_run,,,,,,,,,
s_000008::trace_full::target::null_same,s_000008,null_same_response,target,감정이 향하는 대상,"감정이 자기 자신, 타인, 상황, 관계 중 어디를 향하는지 본다.",situation,tie,TIE,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,trace_full_copy_2,trace_full_copy_1,"재정적 어려움이 이렇게 큰 부담이 되다니, 정말 힘드시겠어요. 지금은 통제감이 낮아 보이지만, 작은 단계부터 시작해 보면 도움이 될 수 있어요. 주변에 상담이나 재정 전문가에게 조언을 구해 보는 건 어떨까요?","재정적 어려움이 이렇게 큰 부담이 되다니, 정말 힘드시겠어요. 지금은 통제감이 낮아 보이지만, 작은 단계부터 시작해 보면 도움이 될 수 있어요. 주변에 상담이나 재정 전문가에게 조언을 구해 보는 건 어떨까요?",not_run,,,,,,,,,
s_000008::trace_full::social_orientation::null_same,s_000008,null_same_response,social_orientation,사회적 방향,"도움 요청, 접근, 방어, 철수, 거리두기 같은 대인 방향을 본다.",mixed,tie,TIE,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,trace_full_copy_2,trace_full_copy_1,"재정적 어려움이 이렇게 큰 부담이 되다니, 정말 힘드시겠어요. 지금은 통제감이 낮아 보이지만, 작은 단계부터 시작해 보면 도움이 될 수 있어요. 주변에 상담이나 재정 전문가에게 조언을 구해 보는 건 어떨까요?","재정적 어려움이 이렇게 큰 부담이 되다니, 정말 힘드시겠어요. 지금은 통제감이 낮아 보이지만, 작은 단계부터 시작해 보면 도움이 될 수 있어요. 주변에 상담이나 재정 전문가에게 조언을 구해 보는 건 어떨까요?",not_run,,,,,,,,,
