record_id,text,valence,arousal,target,control_state,social_orientation,action_tendency_class,episode_family,appraisal_family,ticks_run,termination_reason,activation_ticks,activation_neurons,activation_nonzero,activation_density,activation_k_mean,activation_k_max,active_count_mean,active_count_max,dominant_branch_len,dominant_unique_nodes,branch_tensor_len,branch_tensor_dim,z_dim,z_l2,dominant_branch_ids,dopamine,serotonin,norepinephrine,melatonin
s_000555,대표님이 나만 빼고 팀원 모두에게 커피를 돌린 거 있지? 정말 당혹스러웠어. [SEP] 대표님의 행동에 곤란하고 당혹스러우셨겠어요. [SEP] 대표란 사람이 그렇게 공개적으로 차별 대우를 한다는 게 말이 안 되잖아. 다들 어떻게 생각했겠어. [SEP] 대놓고 차별하는 대표의 행동이 말이 안 된다고 생각하시는군요. 당혹스러움을 어떻게 조금이나마 덜어 낼 수 있을까요? [SEP] 너무 화가 나는데 뭘 어떻게 해야 할지 모르겠어. [SEP] 너무 화가 나서 어떻게 할지 혼란스러우시군요.,negative,high,other,mixed,defend,confront,other_blame_boundary,other_directed_defense,37,stable_convergence,35,256,8466,0.9448660714285714,608.0408325195312,5627.53955078125,241.88571428571427,256,35,1,35,6,64,8.0,-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.08100000023841858,0.20666666328907013,0.7106667160987854,0.36800000071525574
s_003836,우리 아들한테는 기대를 접었어. 아주 못된 자식이야. [SEP] 아들하고 무슨 일이 있었나요? [SEP] 초등학교 들어가면서부터 부모를 무시하고 그러더라고. 고등학생 되더니 더 버르장머리가 없어. [SEP] 어떻게 하면 아들과의 관계가 나아질 수 있을까요? [SEP] 이제는 기대도 안해. 집에나 들어오면 다행이지. [SEP] 아들의 버릇 없는 행동에 많이 회의적이시군요.,negative,high,other,mixed,defend,defend,other_blame_boundary,other_directed_defense,9,stable_convergence,1,256,0,0.0,0.0,0.0,0.0,0,1,1,1,6,64,1.7393670082092285,-1,0.13099999725818634,0.23999999463558197,0.6440000534057617,0.36800000071525574
s_003887,담임선생님이 맨날 모범생들만 챙겨서 너무 화나! [SEP] 담임선생님께서 모범생만 챙겨서 화가 나시는군요. [SEP] 모범생도 일반 학생과 똑같은데 똑같이 대우받을 순 없을까? [SEP] 똑같이 대우받기 위해 어떤 것을 할 수 있을까요? [SEP] 적극적으로 수업에 참여해서 눈에 띄어볼 거야! [SEP] 열심히 공부하셔서 성적도 오르고 다른 좋은 학교들도 찾을 수 있길 바랄게요.,negative,high,other,mixed,approach,confront,other_blame_boundary,approach_or_repair,17,stable_convergence,11,256,2591,0.9200994318181818,20.600509643554688,69.41839599609375,235.54545454545453,255,11,1,11,6,64,7.962677001953125,-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.2226666659116745,0.20666666328907013,0.7606666684150696,0.36800000071525574
s_001255,주변인들에 대한 불신이 매우 뿌리깊어. 다들 유산만 노리고 있지. [SEP] 주변 혈육들이 유산을 노린다고 느끼시나 봅니다. [SEP] 정신이 멀쩡할 때는 어른 대접하더니 정신이 온전치 못하다고 면전에서 돈 많은 송장 취급해. [SEP] 사람들이 본인을 공경하기보다 이익을 취하려고 접근한다는 비관적인 관점을 갖고 계시는군요. [SEP] 내가 어디 한 푼도 지들한테 주나 보라지. 이승 갈때도 모조리 싸들고 갈 테다. [SEP] 주변인들에 대한 불신이 매우 뿌리깊으시군요.,negative,high,other,mixed,defend,defend,other_blame_boundary,other_directed_defense,9,stable_convergence,1,256,0,0.0,0.0,0.0,0.0,0,1,1,1,6,64,1.6371934413909912,-1,0.0559999980032444,0.23999999463558197,0.593999981880188,0.36800000071525574
s_002383,직장 상사가 신입 사원이 한 실수가 다 내 책임이라며 화를 내. [SEP] 직장 상사가 책임을 떠넘기셔 오히려 더 화가 나셨을 것 같아요. [SEP] 신입 사원의 실수인데 왜 내 책임으로 돌리는 거지? 난 정말 이해할 수가 없어. [SEP] 지금 상황을 해결할 방법이 있을까요? [SEP] 아무래도 직장 상사와 대화를 해 봐야겠어. [SEP] 상사와 대화를 해보려 하시는군요. 어떤 이야기를 할 생각이신가요?,negative,high,other,mixed,approach,confront,other_blame_boundary,approach_or_repair,23,stable_convergence,18,256,4430,0.9613715277777778,65.69629669189453,284.91033935546875,246.11111111111111,256,18,1,18,6,64,7.924661159515381,-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.22683332860469818,0.20666666328907013,0.7856667041778564,0.36800000071525574
s_002456,동호회 사람 중 몇 사람이 나에 대해 악의적인 소문을 퍼뜨리고 있어. [SEP] 동호회 사람들이 악의적인 안 좋은 소문을 퍼뜨리고 있군요. 어떤 소문을 퍼뜨리고 있나요? [SEP] 마치 내가 모든 것을 마음대로 하고 회비도 횡령했다고 거짓말을 하고 있어. [SEP] 모든 것을 마음대로 하고 회비도 횡령했다고 거짓말을 하고 있군요. 어떻게 하는게 좋을까요? [SEP] 회계 장부를 보여줘야겠어. 사람들이 누구 말을 믿어야 할지 알 수 있을 거야. [SEP] 오해를 풀기 위해 동호회 사람들에게 회계 장부를 보여줄 생각이시군요.,negative,high,other,mixed,defend,confront,other_blame_boundary,other_directed_defense,9,stable_convergence,1,256,0,0.0,0.0,0.0,0.0,0,1,1,1,6,64,1.776559829711914,-1,0.13099999725818634,0.3233333230018616,0.6440000534057617,0.36800000071525574
s_000109,집에서 아들하고 대화하면 자기주장만 앞세우고 아버지에 대한 배려가 없어서 화가 나. [SEP] 아들의 태도에 불만이 있으시군요. [SEP] 나는 꼰대라고 생각을 안 하는데 아들은 나와 생각이 달라도 너무 다른 것 같아. [SEP] 아들의 생각은 물어보셨나요?,negative,high,other,mixed,defend,confront,other_blame_boundary,other_directed_defense,33,stable_convergence,27,256,6428,0.9299768518518519,210.1145782470703,1297.2557373046875,238.07407407407408,256,27,1,27,6,64,8.0,-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.06849999725818634,0.20666666328907013,0.6856666803359985,0.3530000150203705
s_000314,우리 가족이 나를 너무 구역질나게 해. [SEP] 가족 때문에 구역질 나는 일이 있나요? [SEP] 이제 중학생인 나에게 너무 공부만 강요해. [SEP] 중학생인데 너무 공부만 강요하는 가족 때문에 답답하시겠어요.,negative,high,other,low,defend,defend,other_blame_boundary,other_directed_defense,9,stable_convergence,1,256,0,0.0,0.0,0.0,0.0,0,1,1,1,6,64,1.7947134971618652,-1,0.06849999725818634,0.20666666328907013,0.6856666803359985,0.33799999952316284
s_000393,이번에 복권에 당첨되었는데 고민이 생겼어. [SEP] 어떤 고민이신지 좀 더 자세하게 말씀해주시겠어요? [SEP] 복권에 당첨되었다는 사실을 알게 되면 모두 내 재산을 탐낼 것 같아. [SEP] 이 상황에서 벗어나려면 어떻게 해야 할까요? [SEP] 복권에 당첨된 사실을 잘 숨기고 아무한테도 말 안해야겠어. 잘 숨겨졌으면 좋겠어. [SEP] 복권에 당첨된 사실을 잘 숨길 수 있길 바라요.,negative,high,other,mixed,defend,defend,other_blame_boundary,other_directed_defense,35,stable_convergence,29,256,6838,0.9210668103448276,281.0382385253906,1716.7679443359375,235.79310344827587,255,29,1,29,6,64,8.0,-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.13099999725818634,0.23999999463558197,0.6440000534057617,0.36800000071525574
s_003414,얼마 전에 가장 친한 친구가 첫 출산을 했는데 내가 울었어. [SEP] 친구분의 출산에 깊이 감동하신 것 같아요. 어떤 감정이 드셨나요? [SEP] 초등학생 때부터 알던 친구라서 그런지 친구가 엄마가 되었다는 게 믿기지 않더라고. [SEP] 오랜 친구분이 엄마가 되었다는 사실에 감격하셨던 거로군요.,mixed,high,other,mixed,approach,approach,other_blame_boundary,approach_or_repair,9,stable_convergence,1,256,0,0.0,0.0,0.0,0.0,0,1,1,1,6,64,1.6595429182052612,-1,0.15950000286102295,0.46833330392837524,0.527999997138977,0.3160000145435333
s_002862,전 애인이 나랑 헤어지자마자 다른 사람을 사귀었어. 너무 배신감 들어. [SEP] 전 애인이 헤어지자마자 다른 사람을 사귀어서 많이 속상하셨겠네요. [SEP] 응. 마치 기다렸다는 듯이. 그 얘기 듣자마자 너무 화가 났어. [SEP] 화가 많이 나셨겠어요. 어떻게 하면 화가 좀 가라앉을 수 있을까요? [SEP] 친구들 만나서 스트레스나 풀어야겠어. [SEP] 친구들과 만나서 화도 가라앉고 스트레스도 다 풀렸으면 좋겠어요.,negative,high,other,mixed,defend,defend,other_blame_boundary,other_directed_defense,16,stable_convergence,10,256,2086,0.81484375,14.643211364746094,46.59025192260742,208.6,256,10,1,10,6,64,7.87484073638916,-1 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.1185000017285347,0.20666666328907013,0.6856666803359985,0.36800000071525574
s_000184,학교 폭력 가해자들이 강제 전학 가게 됐대. 너무 좋아. [SEP] 학교 폭력 가해자들이 다른 학교로 가게 되어서 기쁘시겠어요. [SEP] 이제까지 당한 걸 생각하면 정말 화나지만 사회 봉사 처분도 같이 받았다니 속이 시원해. [SEP] 나쁜 행동을 한 사람들이 마땅한 벌을 받아 속이 후련하시군요.,mixed,high,other,mixed,approach,seek_support,other_episode,approach_or_repair,9,stable_convergence,1,256,0,0.0,0.0,0.0,0.0,0,1,1,1,6,64,1.580664873123169,-1,0.24699999392032623,0.38499999046325684,0.503000020980835,0.3160000145435333
s_000179,남자 친구가 술이 취하니까 난폭해져. 너무 놀라고 무서웠어. [SEP] 남자 친구 때문에 많이 놀라셨겠어요. 조금 자세히 말해주시겠어요? [SEP] 평소에는 다정하고 온순한데 술을 먹고 난폭한 모습을 보니까 정말 실망했어. [SEP] 지금의 상황을 바꿀 수 있는 방법이 있나요? [SEP] 아무래도 남자 친구와 대화를 나눠봐야겠어. [SEP] 남편과의 진지한 얘기를 통해 알맞은 선택을 했으면 좋겠어요.,negative,high,mixed,mixed,mixed,plan,other_blame_boundary,mixed_appraisal,21,stable_convergence,16,256,3788,0.9248046875,47.343387603759766,188.1744842529297,236.75,255,16,1,16,6,64,7.909184455871582,-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.24766665697097778,0.3233333230018616,0.593999981880188,0.36800000071525574
s_000605,승무원이 되고 싶은데 내가 갈 수 있는 대학이 별로 없다고 해서 걱정이야. [SEP] 갈 수 있는 대학이 많지 않다는 얘기를 들어서 걱정하고 계시는군요. [SEP] 대학을 가지 못해서 승무원이 될 수 없을까 봐 불안해. [SEP] 많이 불안하시겠어요. 지금의 감정에서 벗어나기 위해 무엇을 할 수 있을까요? [SEP] 어느 부분이 부족한지 담임 선생님께 상담을 신청해야겠어. [SEP] 게임을 하면서 스트레스를 풀어 보려 하시는군요.,negative,high,situation,mixed,mixed,plan,threat_anxiety,situation_focused_coping,9,stable_convergence,1,256,0,0.0,0.0,0.0,0.0,0,1,1,1,6,64,1.7260032892227173,-1,0.18516665697097778,0.20666666328907013,0.6356666684150696,0.36800000071525574
s_003143,팀 공모전에서 대상을 수상했어. [SEP] 축하드려요. 공모전 준비하느라 수고하셨어요. [SEP] 솔직히 대상을 수상할 줄 몰랐는데 공모전을 준비해온 과정을 돌이켜보면 눈물이 나. [SEP] 앞으로도 하시는 일 잘 되길 바랍니다.,mixed,high,mixed,mixed,mixed,seek_support,other_blame_boundary,mixed_appraisal,26,stable_convergence,19,256,4402,0.905016447368421,64.63021850585938,275.9548034667969,231.68421052631578,255,19,1,19,6,64,7.999166011810303,-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.1469999998807907,0.38499999046325684,0.40299999713897705,0.28600001335144043
s_000807,요즘 부모님의 관계가 너무 안좋아서 슬퍼. [SEP] 부모님의 관계가 좋지않아 슬프시군요. [SEP] 내가 할 수 있는 일이 없어서 더욱 힘들어. [SEP] 좋지 않은 부모님의 관계를 위해 할 수 있는 일이 없어 속상하시군요.,negative,high,situation,low,mixed,inhibit,other_blame_boundary,low_control_distress,9,stable_convergence,1,256,0,0.0,0.0,0.0,0.0,0,1,1,1,6,64,1.6205081939697266,-1,0.17266666889190674,0.23999999463558197,0.49399998784065247,0.527999997138977
s_003331,약을 아무리 먹어도 병이 나을 생각을 안 하고 심해지기만 하네. 난 왜 이렇게 아픈 걸까? [SEP] 건강 악화로 인하여 마음이 불편하시군요. [SEP] 지금 하는 일도 제대로 할 수 없어 이러다 아무도 모르게 죽으면 어떡하나 두려워. [SEP] 기분을 전환할 수 있는 방법이 있을까요? [SEP] 지금 하는 일에 최선을 다하고 병도 나을 수 있다는 생각을 가져야겠지. [SEP] 건강이 회복되고 안정된 일을 할 수 있길 바랄게요.,negative,high,mixed,low,mixed,plan,other_blame_boundary,low_control_distress,15,stable_convergence,9,256,1900,0.8246527777777778,11.657931327819824,35.9366569519043,211.11111111111111,256,9,1,9,6,64,7.839511871337891,-1 -1 -1 -1 -1 -1 -1 -1 -1,0.19766665995121002,0.3233333230018616,0.593999981880188,0.36800000071525574
s_002647,요실금을 오래 겪었더니 이제는 기저귀차는 일이 아무 감정 없어. [SEP] 기저귀를 차는 일에 이젠 감정도 없어질 정도로 익숙해지셨군요. [SEP] 처음에는 너무 비참했지. 내가 기저귀를 차게 되었다니 말이야. [SEP] 이런 현실을 극복하기 위해서 어떻게 하면 좋을까요? [SEP] 이제 기저귀는 일상이라고 생각하고 적응해야겠어. [SEP] 현실에 적응하면서 감정의 변화를 줄 수 있으면 좋겠어요.,negative,medium,mixed,mixed,mixed,defend,other_blame_boundary,mixed_appraisal,9,stable_convergence,1,256,0,0.0,0.0,0.0,0.0,0,1,1,1,6,64,1.649312973022461,-1,0.1394999921321869,0.2549999952316284,0.5979999899864197,0.35600000619888306
s_003224,내가 배달하다가 오토바이 사고를 당했는데 다리를 못 쓸 거 같다고 해. [SEP] 사고를 당해서 다리를 못 쓸 것 같은 상황이라 아주 슬프시겠어요. [SEP] 좌절할 가족들을 생각하면 마음이 너무 아파서 이 상황을 어떻게 해야 할지 모르겠어. [SEP] 지금 상황에서 어떻게 하는 것이 가장 좋을까요? [SEP] 솔직하게 지금의 상황을 얘기하고 가족들의 도움을 받아야겠어. [SEP] 가족들에게 솔직히 말씀드려서 지금의 어려움이 한결 나아지길 바라요.,negative,high,mixed,low,mixed,seek_support,other_blame_boundary,low_control_distress,39,stable_convergence,33,256,8096,0.9583333333333334,558.2214965820312,3858.680419921875,245.33333333333334,255,33,1,33,6,64,8.0,-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.1185000017285347,0.3199999928474426,0.5690000057220459,0.36800000071525574
s_001582,어린 자녀의 마음을 헤아려주지 못했던 게 너무 후회돼. [SEP] 요즘은 자녀와 어떻게 지내시나요? [SEP] 지금은 서로 많이 멀어진 것 같아. [SEP] 자녀와 사이가 멀어졌나 보네요. [SEP] 자녀가 나와 대화를 나누려고 하지 않아. [SEP] 어린 자녀의 마음을 알아주지 못했던 것이 후회되고 현재 자녀와 대화가 없어 많이 속상하시겠어요.,negative,high,mixed,mixed,mixed,defend,other_blame_boundary,mixed_appraisal,9,stable_convergence,1,256,0,0.0,0.0,0.0,0.0,0,1,1,1,6,64,1.9111295938491821,-1,0.06849999725818634,0.20666666328907013,0.7356666922569275,0.36800000071525574
s_000008,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,negative,high,situation,low,mixed,seek_support,other_blame_boundary,low_control_distress,33,stable_convergence,25,256,5909,0.92328125,149.44369506835938,841.9257202148438,236.36,255,25,1,25,6,64,8.0,-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.08100000023841858,0.3199999928474426,0.5440000295639038,0.34549999237060547
s_000211,엄마가 재혼하신대. 새아빠가 생기는 것은 좋지만 한편으로 걱정돼. [SEP] 새아빠가 생기는 것이 좋으면서도 걱정되시는군요. [SEP] 엄마는 내가 싫으면 재혼하지 않으신대. 내 마음을 나도 모르겠고 너무 우유부단해진 것 같아. [SEP] 예전에 이처럼 마음을 잘 모를 때는 어떻게 하셨나요? [SEP] 다이어리에 좋은 점과 싫은 점에 대해 적어놓고 충분히 고민하는 시간을 가졌었어. [SEP] 이번에도 충분히 고민하는 시간을 가져 후회 없는 선택을 하시길 바라요.,mixed,high,mixed,mixed,mixed,plan,other_blame_boundary,mixed_appraisal,9,stable_convergence,1,256,0,0.0,0.0,0.0,0.0,0,1,1,1,6,64,1.464500904083252,-1,0.32616665959358215,0.3050000071525574,0.42800000309944153,0.3160000145435333
