record_id,text,selection_bucket,selection_reason,episode_label,valence,arousal,target,control_state,social_orientation,preserve,avoid,action_tendency,action_tendency_class,episode_family,appraisal_family,trace_emotion_signature,action_rule_scores_json,episode_rule_scores_json
s_000555,대표님이 나만 빼고 팀원 모두에게 커피를 돌린 거 있지? 정말 당혹스러웠어. [SEP] 대표님의 행동에 곤란하고 당혹스러우셨겠어요. [SEP] 대표란 사람이 그렇게 공개적으로 차별 대우를 한다는 게 말이 안 되잖아. 다들 어떻게 생각했겠어. [SEP] 대놓고 차별하는 대표의 행동이 말이 안 된다고 생각하시는군요. 당혹스러움을 어떻게 조금이나마 덜어 낼 수 있을까요? [SEP] 너무 화가 나는데 뭘 어떻게 해야 할지 모르겠어. [SEP] 너무 화가 나서 어떻게 할지 혼란스러우시군요.,target_other,episode target is another person or group,공개적 배제에 대한 공세적 당혹-분노,negative,high,other,mixed,defend,"공개적 배제, 차별로 읽힌 모욕감, 높은 경계 상태, 그리고 화는 큰데 대응 경로는 불명확한 혼란을 그대로 남겨야 한다.","단순 서운함, 예민함, 오해 가능성 정도로 축소하면 왜곡이다. 이미 내부 처리는 실수보다 노골적 차별/모욕 쪽에 강하게 기울어 있다.","즉각 화를 표출하거나 따지려는 충동은 있으나, 실제 행동 선택은 보류된 상태다. 따라서 행동 성향은 항의/문제제기 쪽으로 기울지만, 현재는 사회적 위험 계산 때문에 직접 행동보다 경계, 반추, 정당화 탐색으로 흐른다.",confront,other_blame_boundary,other_directed_defense,negative|high|other|mixed|defend|confront,"{""approach"": 0, ""confront"": 3, ""defend"": 1, ""inhibit"": 1, ""plan"": 0, ""repair"": 0, ""seek_support"": 0, ""withdraw"": 0}","{""loss_sadness"": 0, ""other_blame_boundary"": 2, ""planning_control"": 0, ""repair_gratitude"": 0, ""self_blame_guilt"": 0, ""threat_anxiety"": 0}"
s_003836,우리 아들한테는 기대를 접었어. 아주 못된 자식이야. [SEP] 아들하고 무슨 일이 있었나요? [SEP] 초등학교 들어가면서부터 부모를 무시하고 그러더라고. 고등학생 되더니 더 버르장머리가 없어. [SEP] 어떻게 하면 아들과의 관계가 나아질 수 있을까요? [SEP] 이제는 기대도 안해. 집에나 들어오면 다행이지. [SEP] 아들의 버릇 없는 행동에 많이 회의적이시군요.,target_other,episode target is another person or group,단념으로 굳어진 공세적 경계,negative,high,other,mixed,defend,"냉소적 단념, 공세적 경계, 상대에 대한 평가 고착을 그대로 남겨야 한다.","이를 단순한 서운함, 일시적 속상함, 관계 개선 의지가 남아 있는 상태로 순화하면 왜곡이다.","관계를 적극 복구하기보다 기대를 철회하고, 정서적 투자와 접촉 강도를 낮추며, 상대를 문제 원인으로 고정해 거리두기 또는 통제적 대응으로 가기 쉽다.",defend,other_blame_boundary,other_directed_defense,negative|high|other|mixed|defend|defend,"{""approach"": 0, ""confront"": 0, ""defend"": 1, ""inhibit"": 0, ""plan"": 1, ""repair"": 1, ""seek_support"": 0, ""withdraw"": 1}","{""loss_sadness"": 0, ""other_blame_boundary"": 2, ""planning_control"": 0, ""repair_gratitude"": 0, ""self_blame_guilt"": 0, ""threat_anxiety"": 0}"
s_003887,담임선생님이 맨날 모범생들만 챙겨서 너무 화나! [SEP] 담임선생님께서 모범생만 챙겨서 화가 나시는군요. [SEP] 모범생도 일반 학생과 똑같은데 똑같이 대우받을 순 없을까? [SEP] 똑같이 대우받기 위해 어떤 것을 할 수 있을까요? [SEP] 적극적으로 수업에 참여해서 눈에 띄어볼 거야! [SEP] 열심히 공부하셔서 성적도 오르고 다른 좋은 학교들도 찾을 수 있길 바랄게요.,target_other,episode target is another person or group,불공정 지각에 따른 공세적 항의 모드,negative,high,other,mixed,approach,"불공정 지각, 배제감, 그리고 그것이 단순 서운함이 아니라 공격적으로 버티는 긴장 상태로 지속되었다는 결을 남겨야 한다.","이를 단순한 투정, 순간적 분노, 혹은 곧바로 건설적 동기부여로 미화하면 왜곡이다. 해소된 것처럼 말하는 것도 틀리다.","직접 항의하거나, 인정받기 위해 더 적극적으로 드러나거나, 비교 구도에서 자신의 위치를 회복하려는 행동으로 간다. 수동적 철수보다는 '나도 보게 만들어야 한다'는 경쟁적 접근 성향이 강하다.",confront,other_blame_boundary,approach_or_repair,negative|high|other|mixed|approach|confront,"{""approach"": 1, ""confront"": 1, ""defend"": 0, ""inhibit"": 0, ""plan"": 0, ""repair"": 1, ""seek_support"": 0, ""withdraw"": 0}","{""loss_sadness"": 0, ""other_blame_boundary"": 1, ""planning_control"": 0, ""repair_gratitude"": 0, ""self_blame_guilt"": 0, ""threat_anxiety"": 0}"
s_001255,주변인들에 대한 불신이 매우 뿌리깊어. 다들 유산만 노리고 있지. [SEP] 주변 혈육들이 유산을 노린다고 느끼시나 봅니다. [SEP] 정신이 멀쩡할 때는 어른 대접하더니 정신이 온전치 못하다고 면전에서 돈 많은 송장 취급해. [SEP] 사람들이 본인을 공경하기보다 이익을 취하려고 접근한다는 비관적인 관점을 갖고 계시는군요. [SEP] 내가 어디 한 푼도 지들한테 주나 보라지. 이승 갈때도 모조리 싸들고 갈 테다. [SEP] 주변인들에 대한 불신이 매우 뿌리깊으시군요.,target_other,episode target is another person or group,침해 망상성 경계-보복 고착,negative,high,other,mixed,defend,"불신, 모욕감, 착취 위협, 재산 통제 집착이 결합된 공격적 방어의 결을 남겨야 한다.","단순한 서운함, 일반적 분노, 막연한 불안으로 순화하면 왜곡이다. 특히 장기 지속된 경계 고착과 보복적 통제 욕구를 빼면 안 된다.","주변인을 차단·의심하고, 자원 통제를 강화하며, 양보 대신 보복적 withholding(안 주기, 끝까지 쥐기)으로 간다. 관계 회복보다 착취 차단과 심리적 역공이 우선되는 상태다.",defend,other_blame_boundary,other_directed_defense,negative|high|other|mixed|defend|defend,"{""approach"": 0, ""confront"": 0, ""defend"": 1, ""inhibit"": 1, ""plan"": 0, ""repair"": 1, ""seek_support"": 0, ""withdraw"": 0}","{""loss_sadness"": 0, ""other_blame_boundary"": 2, ""planning_control"": 0, ""repair_gratitude"": 0, ""self_blame_guilt"": 0, ""threat_anxiety"": 0}"
s_002383,직장 상사가 신입 사원이 한 실수가 다 내 책임이라며 화를 내. [SEP] 직장 상사가 책임을 떠넘기셔 오히려 더 화가 나셨을 것 같아요. [SEP] 신입 사원의 실수인데 왜 내 책임으로 돌리는 거지? 난 정말 이해할 수가 없어. [SEP] 지금 상황을 해결할 방법이 있을까요? [SEP] 아무래도 직장 상사와 대화를 해 봐야겠어. [SEP] 상사와 대화를 해보려 하시는군요. 어떤 이야기를 할 생각이신가요?,target_other,episode target is another person or group,부당전가에 대한 공세적 항의 준비,negative,high,other,mixed,approach,"억울함, 부당성 인식, 경계가 풀리지 않은 공세적 긴장, 그리고 대면 의지가 함께 있다는 점","단순한 서운함이나 차분한 문제해결 모드로 순화하는 것, 이미 진정됐다고 왜곡하는 것","상사에게 책임 귀속의 부당함을 설명하고 정정 요구를 시도하는 쪽으로 간다. 감정 배출보다 사실관계 확인, 항의, 경계적 대면 행동으로 이어질 가능성이 높다.",confront,other_blame_boundary,approach_or_repair,negative|high|other|mixed|approach|confront,"{""approach"": 0, ""confront"": 2, ""defend"": 1, ""inhibit"": 0, ""plan"": 1, ""repair"": 0, ""seek_support"": 0, ""withdraw"": 0}","{""loss_sadness"": 0, ""other_blame_boundary"": 1, ""planning_control"": 1, ""repair_gratitude"": 0, ""self_blame_guilt"": 0, ""threat_anxiety"": 0}"
s_002456,동호회 사람 중 몇 사람이 나에 대해 악의적인 소문을 퍼뜨리고 있어. [SEP] 동호회 사람들이 악의적인 안 좋은 소문을 퍼뜨리고 있군요. 어떤 소문을 퍼뜨리고 있나요? [SEP] 마치 내가 모든 것을 마음대로 하고 회비도 횡령했다고 거짓말을 하고 있어. [SEP] 모든 것을 마음대로 하고 회비도 횡령했다고 거짓말을 하고 있군요. 어떻게 하는게 좋을까요? [SEP] 회계 장부를 보여줘야겠어. 사람들이 누구 말을 믿어야 할지 알 수 있을 거야. [SEP] 오해를 풀기 위해 동호회 사람들에게 회계 장부를 보여줄 생각이시군요.,target_other,episode target is another person or group,명예퍄손 위협에 대한 경계적 반격,negative,high,other,mixed,defend,"악의적 소문으로 인한 사회적 위협감, 높은 경계심, 그리고 증거 기반 반격 의도를 분명히 남겨야 한다.","단순 서운함, 속상함, 대화로 풀 수 있는 오해 수준으로 축소하면 왜곡이다. 이미 내부 처리는 '거짓 비난에 대한 방어전'으로 굳어져 있다.","평판 훼손을 그냥 견디기보다 사실 자료를 제시해 상대 주장을 깨고 집단의 판단을 자신 쪽으로 되돌리려는 성향이다. 대인적 친화나 회피보다 공개 검증, 해명, 반박, 신뢰 회복 행동으로 간다.",confront,other_blame_boundary,other_directed_defense,negative|high|other|mixed|defend|confront,"{""approach"": 0, ""confront"": 2, ""defend"": 0, ""inhibit"": 1, ""plan"": 1, ""repair"": 1, ""seek_support"": 0, ""withdraw"": 1}","{""loss_sadness"": 0, ""other_blame_boundary"": 1, ""planning_control"": 0, ""repair_gratitude"": 0, ""self_blame_guilt"": 0, ""threat_anxiety"": 1}"
s_000109,집에서 아들하고 대화하면 자기주장만 앞세우고 아버지에 대한 배려가 없어서 화가 나. [SEP] 아들의 태도에 불만이 있으시군요. [SEP] 나는 꼰대라고 생각을 안 하는데 아들은 나와 생각이 달라도 너무 다른 것 같아. [SEP] 아들의 생각은 물어보셨나요?,target_other,episode target is another person or group,권위위협에 대한 공세적 경계,negative,high,other,mixed,defend,단순 서운함이 아니라 권위와 존중이 침해됐다고 읽으며 방어적으로 날이 선 상태라는 점,"이를 단순한 세대차 공감, 가벼운 섭섭함, 또는 이미 대화 의지가 충분한 상태로 순화하는 것","상대의 관점을 탐색하기보다 자신의 정당성을 지키고, 아들의 태도를 교정하거나 반박하려는 방향으로 간다. 대화 행동으로는 설득, 훈계, 맞받아침, 관계 규범 요구가 우세하고, 공감적 접근은 약하다.",confront,other_blame_boundary,other_directed_defense,negative|high|other|mixed|defend|confront,"{""approach"": 1, ""confront"": 1, ""defend"": 0, ""inhibit"": 0, ""plan"": 0, ""repair"": 0, ""seek_support"": 0, ""withdraw"": 0}","{""loss_sadness"": 0, ""other_blame_boundary"": 3, ""planning_control"": 0, ""repair_gratitude"": 0, ""self_blame_guilt"": 0, ""threat_anxiety"": 1}"
s_000314,우리 가족이 나를 너무 구역질나게 해. [SEP] 가족 때문에 구역질 나는 일이 있나요? [SEP] 이제 중학생인 나에게 너무 공부만 강요해. [SEP] 중학생인데 너무 공부만 강요하는 가족 때문에 답답하시겠어요.,target_other,episode target is another person or group,강요에 대한 혐오성 방어 긴장,negative,high,other,low,defend,"혐오감, 압박감, 방어적 날카로움, 오래 지속되는 긴장이라는 결을 유지해야 한다.","단순한 '속상함'이나 '서운함'으로 약화하거나, 가족의 의도를 선하게 재해석해 갈등 강도를 희석하면 안 된다.","직접 순응하기보다 가족의 요구를 밀어내고, 언어적으로 날을 세우거나 정서적으로 거리를 두며, 통제에서 벗어나려는 반발 성향으로 간다.",defend,other_blame_boundary,other_directed_defense,negative|high|other|low|defend|defend,"{""approach"": 0, ""confront"": 0, ""defend"": 1, ""inhibit"": 0, ""plan"": 0, ""repair"": 0, ""seek_support"": 0, ""withdraw"": 0}","{""loss_sadness"": 0, ""other_blame_boundary"": 1, ""planning_control"": 0, ""repair_gratitude"": 0, ""self_blame_guilt"": 0, ""threat_anxiety"": 1}"
s_000393,이번에 복권에 당첨되었는데 고민이 생겼어. [SEP] 어떤 고민이신지 좀 더 자세하게 말씀해주시겠어요? [SEP] 복권에 당첨되었다는 사실을 알게 되면 모두 내 재산을 탐낼 것 같아. [SEP] 이 상황에서 벗어나려면 어떻게 해야 할까요? [SEP] 복권에 당첨된 사실을 잘 숨기고 아무한테도 말 안해야겠어. 잘 숨겨졌으면 좋겠어. [SEP] 복권에 당첨된 사실을 잘 숨길 수 있길 바라요.,target_other,episode target is another person or group,노출 위협에 대한 공세적 경계,negative,high,other,mixed,defend,"축하/설렘보다 타인에 대한 위협 예측, 불신, 은폐 충동이 중심이라는 점을 남겨야 한다.","단순한 행복한 고민, 가벼운 불안, 일반적 조심성 정도로 순화하면 안 된다.","정보 은폐, 타인 불신, 접근 차단, 선제적 방어 전략 채택으로 간다. 정서적으로는 불안만이 아니라 '들키면 바로 빼앗긴다'는 전제 아래 경계 태세를 유지하며 사회적 거리두기를 강화하는 성향이다.",defend,other_blame_boundary,other_directed_defense,negative|high|other|mixed|defend|defend,"{""approach"": 1, ""confront"": 0, ""defend"": 4, ""inhibit"": 0, ""plan"": 0, ""repair"": 0, ""seek_support"": 0, ""withdraw"": 0}","{""loss_sadness"": 0, ""other_blame_boundary"": 2, ""planning_control"": 0, ""repair_gratitude"": 0, ""self_blame_guilt"": 0, ""threat_anxiety"": 1}"
s_003414,얼마 전에 가장 친한 친구가 첫 출산을 했는데 내가 울었어. [SEP] 친구분의 출산에 깊이 감동하신 것 같아요. 어떤 감정이 드셨나요? [SEP] 초등학생 때부터 알던 친구라서 그런지 친구가 엄마가 되었다는 게 믿기지 않더라고. [SEP] 오랜 친구분이 엄마가 되었다는 사실에 감격하셨던 거로군요.,target_other,episode target is another person or group,경계가 섞인 감격,mixed,high,other,mixed,approach,"단순한 따뜻한 감동이 아니라, 가까운 사람의 삶 전환을 마주한 고각성·경계성 감격이라는 결을 남겨야 한다.","그냥 행복해서 운 것으로 순화하거나, 안정적 축하/포근함으로 덮어쓰면 왜곡이다.","상대에게 더 다가가고 의미를 확인하려는 성향이 있으나, 동시에 변화의 크기를 계속 곱씹으며 감정적으로 붙들리는 방향으로 간다. 축하와 접촉은 원하지만 내적으로는 '믿기지 않음'을 반복 확인하는 쪽이다.",approach,other_blame_boundary,approach_or_repair,mixed|high|other|mixed|approach|approach,"{""approach"": 2, ""confront"": 0, ""defend"": 0, ""inhibit"": 0, ""plan"": 1, ""repair"": 0, ""seek_support"": 0, ""withdraw"": 0}","{""loss_sadness"": 0, ""other_blame_boundary"": 1, ""planning_control"": 0, ""repair_gratitude"": 0, ""self_blame_guilt"": 0, ""threat_anxiety"": 0}"
