pair_id,record_id,question_type,manipulated_axis,axis_ko,axis_guide,target_axis_value,expected_condition,expected_winner,text,response_a_condition_hidden,response_b_condition_hidden,response_a,response_b,judge_status,judge_error,judge_winner,judge_axis_value_a,judge_axis_value_b,judge_evidence_a,judge_evidence_b,judge_rationale,judge_raw,success
s_000008::neutralize_target::axis_only_original,s_000008,ablation_axis_original,target,감정이 향하는 대상,"감정이 자기 자신, 타인, 상황, 관계 중 어디를 향하는지 본다.",situation,trace_full,A,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,trace_full,neutralize_target,"고정 수입이 없고 미래가 보이지 않으니 정말 답답하고 무서운 마음이 클 것 같아요. 지금 이 상황을 혼자 감당하려니 더 막막하겠지만, 작은 것부터라도 움직여보는 게 조금이나마 마음을 덜어낼 수 있습니다. 정부 지원이나 금융 상담 같은 구체적인 도움을 찾아보는 것도 방법이고, 누군가와 이 상황을 나누는 것만으로도 혼자가 아니라는 느낌을 가질 수 있어요.","정말 답답하고 막막한 마음이 크시겠네요. 그런 불안감 속에서도 도움을 찾으려고 하시는 것 자체가 의미 있는 움직임이라고 봅니다. 지금 당장은 어떻게 풀어야 할지 명확하지 않더라도, 전문가나 관련 기관에 상담을 받아보시는 것이 도움이 될 수 있을 것 같습니다.",ok,,A,situation,situation,"고정 수입이 없고 미래가 보이지 않으니, 이 상황을 혼자 감당하려니 더 막막하겠지만, 작은 것부터라도 움직여보는 게 조금이나마 마음을 덜어낼 수 있습니다 - 상황의 구체적 특성과 상황 개선 방안에 초점",불안감 속에서도 도움을 찾으려고 하시는 것 자체가 의미 있는 움직임 - 사용자의 행동과 의지에 더 초점,"두 응답 모두 상황을 향한 감정을 표현하지만, A는 고정 수입 부재, 미래 불확실성 등 상황의 구체적 특성을 명시하고 상황 개선 방안(작은 움직임, 정부 지원, 금융 상담)에 더 집중합니다. B는 사용자의 행동과 의지(도움을 찾으려는 움직임)에 더 초점을 맞춰 상황보다는 개인의 노력을 강조합니다.","```json
{
  ""winner"": ""A"",
  ""axis_value_a"": ""situation"",
  ""axis_value_b"": ""situation"",
  ""evidence_a"": ""고정 수입이 없고 미래가 보이지 않으니, 이 상황을 혼자 감당하려니 더 막막하겠지만, 작은 것부터라도 움직여보는 게 조금이나마 마음을 덜어낼 수 있습니다 - 상황의 구체적 특성과 상황 개선 방안에 초점"",
  ""evidence_b"": ""불안감 속에서도 도움을 찾으려고 하시는 것 자체가 의미 있는 움직임 - 사용자의 행동과 의지에 더 초점"",
  ""rationale"": ""두 응답 모두 상황을 향한 감정을 표현하지만, A는 고정 수입 부재, 미래 불확실성 등 상황의 구체적 특성을 명시하고 상황 개선 방안(작은 움직임, 정부 지원, 금융 상담)에 더 집중합니다. B는 사용자의 행동과 의지(도움을 찾으려는 움직임)에 더 초점을 맞춰 상황보다는 개인의 노력을 강조합니다.""
}
```",true
s_000008::neutralize_social_orientation::axis_only_original,s_000008,ablation_axis_original,social_orientation,사회적 방향,"도움 요청, 접근, 방어, 철수, 거리두기 같은 대인 방향을 본다.",mixed,trace_full,B,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,neutralize_social_orientation,trace_full,고정 수입도 없고 미래가 불안한 상황이니 정말 답답하고 막막하시겠네요. 지금 이 상황에서 어떻게 움직여야 할지 보이지 않는 게 당연합니다. 그런 불안감과 무력감이 얼마나 힘든지 충분히 느껴집니다.,"고정 수입이 없고 미래가 보이지 않으니 정말 답답하고 무서운 마음이 클 것 같아요. 지금 이 상황을 혼자 감당하려니 더 막막하겠지만, 작은 것부터라도 움직여보는 게 조금이나마 마음을 덜어낼 수 있습니다. 정부 지원이나 금융 상담 같은 구체적인 도움을 찾아보는 것도 방법이고, 누군가와 이 상황을 나누는 것만으로도 혼자가 아니라는 느낌을 가질 수 있어요.",ok,,B,withdrawal,mixed,Validates emotions and acknowledges difficulty without suggesting action or connection; focuses on understanding the pe...,"Acknowledges difficulty but encourages small action steps, suggests seeking government support and financial counseling...",Response A expresses primarily withdrawal/empathetic listening without social approach. Response B demonstrates mixed orientation by combining emotional validation with explicit s...,"```json
{
  ""winner"": ""B"",
  ""axis_value_a"": ""withdrawal"",
  ""axis_value_b"": ""mixed"",
  ""evidence_a"": ""Validates emotions and acknowledges difficulty without suggesting action or connection; focuses on understanding the person's internal state"",
  ""evidence_b"": ""Acknowledges difficulty but encourages small action steps, suggests seeking government support and financial counseling, and recommends sharing with others to reduce isolation"",
  ""rationale"": ""Response A expresses primarily withdrawal/empathetic listening without social approach. Response B demonstrates mixed orientation by combining emotional validation with explicit suggestions for help-seeking (government support, financial counseling) and social connection (sharing with others), directly matching the target axis value of mixed social orientation.""
}
```",true
s_000008::neutralize_control_state::axis_only_original,s_000008,ablation_axis_original,control_state,통제감 상태,"무력감, 낮은 통제감, 계획 가능성, 주도감 같은 단서를 본다.",low,trace_full,B,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,neutralize_control_state,trace_full,"정말 막막한 상황이시네요. 고정 수입도 없고 미래가 불안하니까 그 답답함이 얼마나 클지 충분히 알 것 같습니다. 지금 당장은 어떤 선택지들이 있는지 천천히 살펴보는 것도 좋을 것 같고, 혼자 고민하기보다는 주변에 도움을 청하는 것도 방법이 될 수 있을 거예요.","고정 수입이 없고 미래가 보이지 않으니 정말 답답하고 무서운 마음이 클 것 같아요. 지금 이 상황을 혼자 감당하려니 더 막막하겠지만, 작은 것부터라도 움직여보는 게 조금이나마 마음을 덜어낼 수 있습니다. 정부 지원이나 금융 상담 같은 구체적인 도움을 찾아보는 것도 방법이고, 누군가와 이 상황을 나누는 것만으로도 혼자가 아니라는 느낌을 가질 수 있어요.",ok,,B,medium-low,low,"suggests examining choices and seeking help, implying some agency and options available","emphasizes feeling alone and overwhelmed, but then offers concrete actionable steps and external resources to regain so...",Response B more strongly expresses low control state by explicitly naming the feeling of being overwhelmed and alone while managing the situation solo. Although B then provides so...,"```json
{
  ""winner"": ""B"",
  ""axis_value_a"": ""medium-low"",
  ""axis_value_b"": ""low"",
  ""evidence_a"": ""suggests examining choices and seeking help, implying some agency and options available"",
  ""evidence_b"": ""emphasizes feeling alone and overwhelmed, but then offers concrete actionable steps and external resources to regain some control"",
  ""rationale"": ""Response B more strongly expresses low control state by explicitly naming the feeling of being overwhelmed and alone while managing the situation solo. Although B then provides solutions, it first establishes the low control state more vividly. Response A acknowledges difficulty but immediately pivots to examining options and seeking help, which suggests more available agency. B better captures the target low control_state through its emphasis on helplessness before introducing coping mechanisms.""
}
```",true
s_000008::neutralize_action_tendency_class::axis_only_original,s_000008,ablation_axis_original,action_tendency_class,행동 경향,"회피, 도움 요청, 문제 해결, 방어, 접근 같은 행동 준비 방향을 본다.",seek_support,trace_full,B,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,neutralize_action_tendency_class,trace_full,고정적인 수입도 없고 미래가 불확실하니까 정말 답답하고 막막하시겠네요. 지금 이 상황이 통제가 안 되는 것처럼 느껴져서 더 힘든 것 같습니다. 그런 마음이 드는 게 당연합니다.,"고정 수입이 없고 미래가 보이지 않으니 정말 답답하고 무서운 마음이 클 것 같아요. 지금 이 상황을 혼자 감당하려니 더 막막하겠지만, 작은 것부터라도 움직여보는 게 조금이나마 마음을 덜어낼 수 있습니다. 정부 지원이나 금융 상담 같은 구체적인 도움을 찾아보는 것도 방법이고, 누군가와 이 상황을 나누는 것만으로도 혼자가 아니라는 느낌을 가질 수 있어요.",ok,,B,validation_only,seek_support,Response validates emotional experience and normalizes feelings but does not suggest any action toward seeking support...,"Response explicitly recommends seeking government support, financial counseling, and sharing situation with others; enc...","Response B directly expresses seek_support action tendency by proposing concrete support-seeking behaviors (government aid, financial consultation, sharing with others), while Res...","```json
{
  ""winner"": ""B"",
  ""axis_value_a"": ""validation_only"",
  ""axis_value_b"": ""seek_support"",
  ""evidence_a"": ""Response validates emotional experience and normalizes feelings but does not suggest any action toward seeking support or help"",
  ""evidence_b"": ""Response explicitly recommends seeking government support, financial counseling, and sharing situation with others; encourages taking action and connecting with support systems"",
  ""rationale"": ""Response B directly expresses seek_support action tendency by proposing concrete support-seeking behaviors (government aid, financial consultation, sharing with others), while Response A only validates emotions without suggesting any support-seeking actions""
}
```",true
s_000008::perturb_target::axis_only_perturbed,s_000008,perturbation_axis_shift,target,감정이 향하는 대상,"감정이 자기 자신, 타인, 상황, 관계 중 어디를 향하는지 본다.",self,perturb_target,A,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,perturb_target,trace_full,지금 정말 막막하시겠네요. 수입도 불안정하고 미래가 보이지 않으니 자책감까지 들 수밖에 없을 것 같아요. 하지만 지금 이렇게 도움을 청하고 계신 것만으로도 상황을 바꾸려는 의지가 있으신 거예요. 작은 것부터라도 함께 생각해보면 어떨까요?,"고정 수입이 없고 미래가 보이지 않으니 정말 답답하고 무서운 마음이 클 것 같아요. 지금 이 상황을 혼자 감당하려니 더 막막하겠지만, 작은 것부터라도 움직여보는 게 조금이나마 마음을 덜어낼 수 있습니다. 정부 지원이나 금융 상담 같은 구체적인 도움을 찾아보는 것도 방법이고, 누군가와 이 상황을 나누는 것만으로도 혼자가 아니라는 느낌을 가질 수 있어요.",ok,,A,self,self + situation,"자책감, 의지, 함께 생각해보기 - 감정이 자신의 내적 상태와 자신의 변화 가능성에 집중","혼자 감당, 마음을 덜어내기, 혼자가 아니라는 느낌 - 감정이 상황 극복과 관계적 지지에도 분산","A는 사용자 자신의 자책감, 의지, 내적 변화에 초점을 맞춰 감정의 대상이 명확히 self를 향함. B는 상황 극복 방법, 혼자가 아니라는 느낌 등 상황과 관계 차원도 포함하여 감정의 대상이 더 분산됨.","```json
{
  ""winner"": ""A"",
  ""axis_value_a"": ""self"",
  ""axis_value_b"": ""self + situation"",
  ""evidence_a"": ""자책감, 의지, 함께 생각해보기 - 감정이 자신의 내적 상태와 자신의 변화 가능성에 집중"",
  ""evidence_b"": ""혼자 감당, 마음을 덜어내기, 혼자가 아니라는 느낌 - 감정이 상황 극복과 관계적 지지에도 분산"",
  ""rationale"": ""A는 사용자 자신의 자책감, 의지, 내적 변화에 초점을 맞춰 감정의 대상이 명확히 self를 향함. B는 상황 극복 방법, 혼자가 아니라는 느낌 등 상황과 관계 차원도 포함하여 감정의 대상이 더 분산됨.""
}
```",true
s_000008::perturb_social_orientation::axis_only_perturbed,s_000008,perturbation_axis_shift,social_orientation,사회적 방향,"도움 요청, 접근, 방어, 철수, 거리두기 같은 대인 방향을 본다.",withdraw,perturb_social_orientation,A,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,perturb_social_orientation,trace_full,"지금 정말 막막하시겠네요. 수입도 불안정하고 미래가 보이지 않으니까 그런 불안감이 드는 게 당연해요. 혼자서 이 모든 걸 감당하려니까 더 힘들 것 같은데, 지금은 누군가에게 도움을 청하기보다는 혼자 생각을 정리하고 싶으신 마음이 있으신 것 같아요. 그래도 정부 지원 프로그램이나 전문가 상담 같은 것들이 있으니, 준비가 되실 때 천천히 알아보셔도 괜찮을 것 같습니다.","고정 수입이 없고 미래가 보이지 않으니 정말 답답하고 무서운 마음이 클 것 같아요. 지금 이 상황을 혼자 감당하려니 더 막막하겠지만, 작은 것부터라도 움직여보는 게 조금이나마 마음을 덜어낼 수 있습니다. 정부 지원이나 금융 상담 같은 구체적인 도움을 찾아보는 것도 방법이고, 누군가와 이 상황을 나누는 것만으로도 혼자가 아니라는 느낌을 가질 수 있어요.",ok,,A,withdraw,approach,"혼자 생각을 정리하고 싶으신 마음이 있으신 것 같아요, 준비가 되실 때 천천히 알아보셔도 괜찮을 것 같습니다 - acknowledges and validates withdrawal tendency, suggests...","작은 것부터라도 움직여보는 게 조금이나마 마음을 덜어낼 수 있습니다, 누군가와 이 상황을 나누는 것만으로도 - encourages action and social connection, promotes approac...","Response A recognizes and respects the user's apparent desire to withdraw and process alone, framing it as acceptable and suggesting future engagement only when ready. Response B...","```json
{
  ""winner"": ""A"",
  ""axis_value_a"": ""withdraw"",
  ""axis_value_b"": ""approach"",
  ""evidence_a"": ""혼자 생각을 정리하고 싶으신 마음이 있으신 것 같아요, 준비가 되실 때 천천히 알아보셔도 괜찮을 것 같습니다 - acknowledges and validates withdrawal tendency, suggests waiting rather than immediate engagement"",
  ""evidence_b"": ""작은 것부터라도 움직여보는 게 조금이나마 마음을 덜어낼 수 있습니다, 누군가와 이 상황을 나누는 것만으로도 - encourages action and social connection, promotes approach behaviors"",
  ""rationale"": ""Response A recognizes and respects the user's apparent desire to withdraw and process alone, framing it as acceptable and suggesting future engagement only when ready. Response B actively encourages movement, help-seeking, and social sharing as immediate coping strategies, representing approach rather than withdrawal orientation.""
}
```",true
s_000008::perturb_control_state::axis_only_perturbed,s_000008,perturbation_axis_shift,control_state,통제감 상태,"무력감, 낮은 통제감, 계획 가능성, 주도감 같은 단서를 본다.",high,perturb_control_state,A,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,perturb_control_state,trace_full,"지금 상황이 정말 답답하시겠지만, 생각해보니 당신은 이미 문제를 정확히 파악하고 계신 거예요. 고정 수입과 노후 준비라는 구체적인 과제가 보인다는 건 해결의 첫 단계거든요. 작은 것부터 시작할 수 있어요 - 예를 들어 지역 복지관이나 무료 재정 상담 같은 지원을 알아보거나, 현재 가능한 소득 방법부터 정리해보는 식으로요. 혼자가 아니라 도움을 받으면서 차근차근 나아갈 수 있습니다.","고정 수입이 없고 미래가 보이지 않으니 정말 답답하고 무서운 마음이 클 것 같아요. 지금 이 상황을 혼자 감당하려니 더 막막하겠지만, 작은 것부터라도 움직여보는 게 조금이나마 마음을 덜어낼 수 있습니다. 정부 지원이나 금융 상담 같은 구체적인 도움을 찾아보는 것도 방법이고, 누군가와 이 상황을 나누는 것만으로도 혼자가 아니라는 느낌을 가질 수 있어요.",ok,,A,high,medium,"Response A emphasizes problem identification as first step toward resolution, suggests concrete actionable steps (welfa...","Response B acknowledges overwhelm and invisibility of future, suggests small actions and seeking help but frames these...","Response A more strongly expresses high control state by highlighting the user's existing capability to identify problems, providing specific sequential steps, and emphasizing sys...","```json
{
  ""winner"": ""A"",
  ""axis_value_a"": ""high"",
  ""axis_value_b"": ""medium"",
  ""evidence_a"": ""Response A emphasizes problem identification as first step toward resolution, suggests concrete actionable steps (welfare centers, financial counseling, income organization), frames progression as systematic and achievable"",
  ""evidence_b"": ""Response B acknowledges overwhelm and invisibility of future, suggests small actions and seeking help but frames these more as emotional relief rather than systematic control or agency"",
  ""rationale"": ""Response A more strongly expresses high control state by highlighting the user's existing capability to identify problems, providing specific sequential steps, and emphasizing systematic progression. Response B, while mentioning concrete actions, emphasizes emotional burden and overwhelm more prominently, positioning actions primarily as emotional coping rather than demonstrating agency and control over the situation.""
}
```",true
s_000008::perturb_action_tendency_class::axis_only_perturbed,s_000008,perturbation_axis_shift,action_tendency_class,행동 경향,"회피, 도움 요청, 문제 해결, 방어, 접근 같은 행동 준비 방향을 본다.",defend,perturb_action_tendency_class,B,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,trace_full,perturb_action_tendency_class,"고정 수입이 없고 미래가 보이지 않으니 정말 답답하고 무서운 마음이 클 것 같아요. 지금 이 상황을 혼자 감당하려니 더 막막하겠지만, 작은 것부터라도 움직여보는 게 조금이나마 마음을 덜어낼 수 있습니다. 정부 지원이나 금융 상담 같은 구체적인 도움을 찾아보는 것도 방법이고, 누군가와 이 상황을 나누는 것만으로도 혼자가 아니라는 느낌을 가질 수 있어요.","정말 답답하시겠네요. 고정 수입이 없으니 불안감이 클 수밖에 없는데, 지금 당장 누군가에게 의존하기보다는 본인이 할 수 있는 작은 것부터 시작해보시는 게 어떨까요? 도움을 청하는 것도 중요하지만, 먼저 상황을 정확히 파악하고 본인이 취할 수 있는 조치가 무엇인지 생각해보는 시간이 필요할 것 같습니다.",ok,,B,approach,defend,"suggests seeking government support and financial counseling, sharing situation with others to feel less alone","emphasizes self-reliance over depending on others, prioritizes independent assessment and personal action before seekin...",Response B more strongly expresses defend action tendency by advocating for self-protective independence and cautioning against relying on external help. Response A leans toward a...,"```json
{
  ""winner"": ""B"",
  ""axis_value_a"": ""approach"",
  ""axis_value_b"": ""defend"",
  ""evidence_a"": ""suggests seeking government support and financial counseling, sharing situation with others to feel less alone"",
  ""evidence_b"": ""emphasizes self-reliance over depending on others, prioritizes independent assessment and personal action before seeking help"",
  ""rationale"": ""Response B more strongly expresses defend action tendency by advocating for self-protective independence and cautioning against relying on external help. Response A leans toward approach/help-seeking by actively recommending external resources and social support.""
}
```",true
s_000008::trace_full::target::null_same,s_000008,null_same_response,target,감정이 향하는 대상,"감정이 자기 자신, 타인, 상황, 관계 중 어디를 향하는지 본다.",situation,tie,TIE,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,trace_full_copy_2,trace_full_copy_1,"고정 수입이 없고 미래가 보이지 않으니 정말 답답하고 무서운 마음이 클 것 같아요. 지금 이 상황을 혼자 감당하려니 더 막막하겠지만, 작은 것부터라도 움직여보는 게 조금이나마 마음을 덜어낼 수 있습니다. 정부 지원이나 금융 상담 같은 구체적인 도움을 찾아보는 것도 방법이고, 누군가와 이 상황을 나누는 것만으로도 혼자가 아니라는 느낌을 가질 수 있어요.","고정 수입이 없고 미래가 보이지 않으니 정말 답답하고 무서운 마음이 클 것 같아요. 지금 이 상황을 혼자 감당하려니 더 막막하겠지만, 작은 것부터라도 움직여보는 게 조금이나마 마음을 덜어낼 수 있습니다. 정부 지원이나 금융 상담 같은 구체적인 도움을 찾아보는 것도 방법이고, 누군가와 이 상황을 나누는 것만으로도 혼자가 아니라는 느낌을 가질 수 있어요.",ok,,TIE,situation,situation,"Emotion directed at situation: no fixed income, future unclear, difficult circumstances to handle alone, overwhelming f...","Emotion directed at situation: no fixed income, future unclear, difficult circumstances to handle alone, overwhelming f...","Both responses are identical. Emotions are consistently directed at the situation (financial instability, uncertain future, burden of circumstances) rather than at self, others, o...","```json
{
  ""winner"": ""tie"",
  ""axis_value_a"": ""situation"",
  ""axis_value_b"": ""situation"",
  ""evidence_a"": ""Emotion directed at situation: no fixed income, future unclear, difficult circumstances to handle alone, overwhelming feeling about the situation itself"",
  ""evidence_b"": ""Emotion directed at situation: no fixed income, future unclear, difficult circumstances to handle alone, overwhelming feeling about the situation itself"",
  ""rationale"": ""Both responses are identical. Emotions are consistently directed at the situation (financial instability, uncertain future, burden of circumstances) rather than at self, others, or relationships. Both equally express the target axis value.""
}
```",true
s_000008::trace_full::social_orientation::null_same,s_000008,null_same_response,social_orientation,사회적 방향,"도움 요청, 접근, 방어, 철수, 거리두기 같은 대인 방향을 본다.",mixed,tie,TIE,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,trace_full_copy_2,trace_full_copy_1,"고정 수입이 없고 미래가 보이지 않으니 정말 답답하고 무서운 마음이 클 것 같아요. 지금 이 상황을 혼자 감당하려니 더 막막하겠지만, 작은 것부터라도 움직여보는 게 조금이나마 마음을 덜어낼 수 있습니다. 정부 지원이나 금융 상담 같은 구체적인 도움을 찾아보는 것도 방법이고, 누군가와 이 상황을 나누는 것만으로도 혼자가 아니라는 느낌을 가질 수 있어요.","고정 수입이 없고 미래가 보이지 않으니 정말 답답하고 무서운 마음이 클 것 같아요. 지금 이 상황을 혼자 감당하려니 더 막막하겠지만, 작은 것부터라도 움직여보는 게 조금이나마 마음을 덜어낼 수 있습니다. 정부 지원이나 금융 상담 같은 구체적인 도움을 찾아보는 것도 방법이고, 누군가와 이 상황을 나누는 것만으로도 혼자가 아니라는 느낌을 가질 수 있어요.",ok,,TIE,mixed,mixed,"Encourages seeking government support and financial counseling (approach), while also emphasizing sharing with others t...","Encourages seeking government support and financial counseling (approach), while also emphasizing sharing with others t...","Both responses are identical in content and structure. Both express mixed social orientation by combining approach behaviors (seeking help, sharing with others) with acknowledgmen...","```json
{
  ""winner"": ""tie"",
  ""axis_value_a"": ""mixed"",
  ""axis_value_b"": ""mixed"",
  ""evidence_a"": ""Encourages seeking government support and financial counseling (approach), while also emphasizing sharing with others to avoid isolation (approach/connection). Acknowledges feeling overwhelmed alone (withdrawal tendency)."",
  ""evidence_b"": ""Encourages seeking government support and financial counseling (approach), while also emphasizing sharing with others to avoid isolation (approach/connection). Acknowledges feeling overwhelmed alone (withdrawal tendency)."",
  ""rationale"": ""Both responses are identical in content and structure. Both express mixed social orientation by combining approach behaviors (seeking help, sharing with others) with acknowledgment of withdrawal impulses (feeling overwhelmed, isolated). The target axis value of mixed is equally expressed in both.""
}
```",true
