record_id,text,valence,arousal,target,control_state,social_orientation,action_tendency_class,episode_family,appraisal_family,ticks_run,termination_reason,activation_ticks,activation_neurons,activation_nonzero,activation_density,activation_k_mean,activation_k_max,active_count_mean,active_count_max,dominant_branch_len,dominant_unique_nodes,branch_tensor_len,branch_tensor_dim,z_dim,z_l2,dominant_branch_ids,dopamine,serotonin,norepinephrine,melatonin
s_000555,대표님이 나만 빼고 팀원 모두에게 커피를 돌린 거 있지? 정말 당혹스러웠어. [SEP] 대표님의 행동에 곤란하고 당혹스러우셨겠어요. [SEP] 대표란 사람이 그렇게 공개적으로 차별 대우를 한다는 게 말이 안 되잖아. 다들 어떻게 생각했겠어. [SEP] 대놓고 차별하는 대표의 행동이 말이 안 된다고 생각하시는군요. 당혹스러움을 어떻게 조금이나마 덜어 낼 수 있을까요? [SEP] 너무 화가 나는데 뭘 어떻게 해야 할지 모르겠어. [SEP] 너무 화가 나서 어떻게 할지 혼란스러우시군요.,negative,high,other,mixed,defend,confront,other_blame_boundary,other_directed_defense,20,stable_convergence,18,256,4450,0.9657118055555556,85.38006591796875,368.4916076660156,247.22222222222223,256,18,1,18,6,64,7.99664831161499,-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.17338328063488007,0.27180173993110657,0.5225324630737305,0.32518085837364197
s_003836,우리 아들한테는 기대를 접었어. 아주 못된 자식이야. [SEP] 아들하고 무슨 일이 있었나요? [SEP] 초등학교 들어가면서부터 부모를 무시하고 그러더라고. 고등학생 되더니 더 버르장머리가 없어. [SEP] 어떻게 하면 아들과의 관계가 나아질 수 있을까요? [SEP] 이제는 기대도 안해. 집에나 들어오면 다행이지. [SEP] 아들의 버릇 없는 행동에 많이 회의적이시군요.,negative,high,other,mixed,defend,defend,other_blame_boundary,other_directed_defense,32,stable_convergence,28,256,6864,0.9575892857142857,351.0892028808594,1982.0726318359375,245.14285714285714,255,28,1,28,6,64,8.0,-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.2433604598045349,0.32835352420806885,0.4271097481250763,0.3012164235115051
s_003887,담임선생님이 맨날 모범생들만 챙겨서 너무 화나! [SEP] 담임선생님께서 모범생만 챙겨서 화가 나시는군요. [SEP] 모범생도 일반 학생과 똑같은데 똑같이 대우받을 순 없을까? [SEP] 똑같이 대우받기 위해 어떤 것을 할 수 있을까요? [SEP] 적극적으로 수업에 참여해서 눈에 띄어볼 거야! [SEP] 열심히 공부하셔서 성적도 오르고 다른 좋은 학교들도 찾을 수 있길 바랄게요.,negative,high,other,mixed,approach,confront,other_blame_boundary,approach_or_repair,64,max_ticks,60,256,15048,0.9796875,44086.33203125,515036.25,250.8,256,60,1,60,6,64,8.0,-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.2635829448699951,0.2625855803489685,0.5759422779083252,0.3310245871543884
s_001255,주변인들에 대한 불신이 매우 뿌리깊어. 다들 유산만 노리고 있지. [SEP] 주변 혈육들이 유산을 노린다고 느끼시나 봅니다. [SEP] 정신이 멀쩡할 때는 어른 대접하더니 정신이 온전치 못하다고 면전에서 돈 많은 송장 취급해. [SEP] 사람들이 본인을 공경하기보다 이익을 취하려고 접근한다는 비관적인 관점을 갖고 계시는군요. [SEP] 내가 어디 한 푼도 지들한테 주나 보라지. 이승 갈때도 모조리 싸들고 갈 테다. [SEP] 주변인들에 대한 불신이 매우 뿌리깊으시군요.,negative,high,other,mixed,defend,defend,other_blame_boundary,other_directed_defense,64,max_ticks,59,256,14673,0.9714645127118644,30506.376953125,377075.5,248.6949152542373,256,59,1,59,6,64,8.0,-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.1887492835521698,0.3267512321472168,0.3921527564525604,0.3108751177787781
s_002383,직장 상사가 신입 사원이 한 실수가 다 내 책임이라며 화를 내. [SEP] 직장 상사가 책임을 떠넘기셔 오히려 더 화가 나셨을 것 같아요. [SEP] 신입 사원의 실수인데 왜 내 책임으로 돌리는 거지? 난 정말 이해할 수가 없어. [SEP] 지금 상황을 해결할 방법이 있을까요? [SEP] 아무래도 직장 상사와 대화를 해 봐야겠어. [SEP] 상사와 대화를 해보려 하시는군요. 어떤 이야기를 할 생각이신가요?,negative,high,other,mixed,approach,confront,other_blame_boundary,approach_or_repair,17,stable_convergence,13,256,3062,0.9200721153846154,31.12783432006836,117.25505065917969,235.53846153846155,256,13,1,13,6,64,7.958072662353516,-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.2318670004606247,0.24859702587127686,0.5865688323974609,0.3488284647464752
s_002456,동호회 사람 중 몇 사람이 나에 대해 악의적인 소문을 퍼뜨리고 있어. [SEP] 동호회 사람들이 악의적인 안 좋은 소문을 퍼뜨리고 있군요. 어떤 소문을 퍼뜨리고 있나요? [SEP] 마치 내가 모든 것을 마음대로 하고 회비도 횡령했다고 거짓말을 하고 있어. [SEP] 모든 것을 마음대로 하고 회비도 횡령했다고 거짓말을 하고 있군요. 어떻게 하는게 좋을까요? [SEP] 회계 장부를 보여줘야겠어. 사람들이 누구 말을 믿어야 할지 알 수 있을 거야. [SEP] 오해를 풀기 위해 동호회 사람들에게 회계 장부를 보여줄 생각이시군요.,negative,high,other,mixed,defend,confront,other_blame_boundary,other_directed_defense,35,stable_convergence,30,256,7381,0.9610677083333333,434.8363952636719,2927.755126953125,246.03333333333333,255,30,1,30,6,64,8.0,-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.1662597954273224,0.3128533959388733,0.4970867931842804,0.3442239463329315
s_000109,집에서 아들하고 대화하면 자기주장만 앞세우고 아버지에 대한 배려가 없어서 화가 나. [SEP] 아들의 태도에 불만이 있으시군요. [SEP] 나는 꼰대라고 생각을 안 하는데 아들은 나와 생각이 달라도 너무 다른 것 같아. [SEP] 아들의 생각은 물어보셨나요?,negative,high,other,mixed,defend,confront,other_blame_boundary,other_directed_defense,21,stable_convergence,16,256,3882,0.94775390625,50.61001205444336,234.10894775390625,242.625,254,16,1,16,6,64,7.913126468658447,-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.16018252074718475,0.27288126945495605,0.4907185435295105,0.31953927874565125
s_000314,우리 가족이 나를 너무 구역질나게 해. [SEP] 가족 때문에 구역질 나는 일이 있나요? [SEP] 이제 중학생인 나에게 너무 공부만 강요해. [SEP] 중학생인데 너무 공부만 강요하는 가족 때문에 답답하시겠어요.,negative,high,other,low,defend,defend,other_blame_boundary,other_directed_defense,43,stable_convergence,38,256,9294,0.9553865131578947,1298.5367431640625,11388.431640625,244.57894736842104,256,38,1,38,6,64,8.0,-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.08435678482055664,0.21862168610095978,0.5770679712295532,0.36996084451675415
s_000393,이번에 복권에 당첨되었는데 고민이 생겼어. [SEP] 어떤 고민이신지 좀 더 자세하게 말씀해주시겠어요? [SEP] 복권에 당첨되었다는 사실을 알게 되면 모두 내 재산을 탐낼 것 같아. [SEP] 이 상황에서 벗어나려면 어떻게 해야 할까요? [SEP] 복권에 당첨된 사실을 잘 숨기고 아무한테도 말 안해야겠어. 잘 숨겨졌으면 좋겠어. [SEP] 복권에 당첨된 사실을 잘 숨길 수 있길 바라요.,negative,high,other,mixed,defend,defend,other_blame_boundary,other_directed_defense,64,max_ticks,60,256,14844,0.96640625,31200.78125,428671.625,247.4,256,59,1,59,6,64,8.0,-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.2617262601852417,0.3355174660682678,0.40730801224708557,0.2822803258895874
s_003414,얼마 전에 가장 친한 친구가 첫 출산을 했는데 내가 울었어. [SEP] 친구분의 출산에 깊이 감동하신 것 같아요. 어떤 감정이 드셨나요? [SEP] 초등학생 때부터 알던 친구라서 그런지 친구가 엄마가 되었다는 게 믿기지 않더라고. [SEP] 오랜 친구분이 엄마가 되었다는 사실에 감격하셨던 거로군요.,mixed,high,other,mixed,approach,approach,other_blame_boundary,approach_or_repair,64,max_ticks,59,256,14814,0.9807997881355932,30484.625,399536.9375,251.08474576271186,256,59,1,59,6,64,8.0,-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.24895702302455902,0.4051886200904846,0.3763459026813507,0.2780819237232208
