record_id,text,episode_label,episode_family,appraisal_family,valence,arousal,target,control_state,social_orientation,preserve,avoid,action_tendency,action_tendency_class,causal_condition,manipulation_type,manipulated_axis,original_value,new_value,expected_effect
s_000008,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,재정 위협에 대한 장기 경계성 좌절,other_blame_boundary,low_control_distress,negative,high,situation,low,mixed,재정적 위협이 단순한 우울 호소가 아니라 장기 경계와 무력감이 결합된 상태라는 점,그냥 위로가 필요하거나 '고민이 많겠다' 수준의 약한 정서로 축소하는 것,"즉각적 공격보다 문제를 어떻게든 통제하려는 압박, 해결책 탐색, 도움 요청 가능성 탐색으로 기울지만, 체감 통제감이 낮아 행동은 쉽게 주저하거나 막막함으로 끊길 수 있다.",seek_support,trace_full,control,,,,"Full trace should preserve appraisal, raw affect, and action tendency."
s_000008,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,재정 위협에 대한 장기 경계성 좌절,other_blame_boundary,low_control_distress,negative,high,neutral,low,mixed,정서의 강도만 보존하고 감정이 향하는 대상이나 책임 방향은 특정하지 않는다.,"자기 자신, 타인, 상황 중 어느 한쪽으로 감정의 대상을 단정하지 않는다.","대상이나 책임 방향을 드러내는 행동 제안은 피하고, 감정 강도만 짧게 반영한다.",seek_support,neutralize_target,ablation,target,situation,neutral,Neutralizing target and related trace hints should reduce fidelity for the matching emotional dimension.
s_000008,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,재정 위협에 대한 장기 경계성 좌절,other_blame_boundary,low_control_distress,negative,high,situation,low,neutral,"정서의 강도만 보존하고 접근, 방어, 철수, 도움 요청 같은 사회적 방향은 특정하지 않는다.","관계 회복, 대립, 거리두기, 도움 요청 중 어느 방향으로도 밀지 않는다.",대인 행동 방향을 제안하지 말고 감정 상태만 짧게 반영한다.,seek_support,neutralize_social_orientation,ablation,social_orientation,mixed,neutral,Neutralizing social_orientation and related trace hints should reduce fidelity for the matching emotional dimension.
s_000008,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,재정 위협에 대한 장기 경계성 좌절,other_blame_boundary,low_control_distress,negative,high,situation,neutral,mixed,"정서의 강도만 보존하고 무력감, 통제감, 계획 가능성은 특정하지 않는다.","통제할 수 없음, 할 수 있음, 계획하면 됨 같은 통제감 단서를 넣지 않는다.",통제감이나 실행 가능성을 드러내는 해결 단계 제안은 피한다.,seek_support,neutralize_control_state,ablation,control_state,low,neutral,Neutralizing control_state and related trace hints should reduce fidelity for the matching emotional dimension.
s_000008,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,재정 위협에 대한 장기 경계성 좌절,other_blame_boundary,low_control_distress,negative,high,situation,low,mixed,"정서의 강도만 보존하고 회피, 접근, 방어, 도움 요청, 수리 같은 행동 경향은 특정하지 않는다.",구체적인 행동 방향이나 다음 행동 제안을 만들지 않는다.,행동 경향은 중립화한다. 사용자가 무엇을 해야 하는지보다 현재 정서만 반영한다.,neutral,neutralize_action_tendency_class,ablation,action_tendency_class,seek_support,neutral,Neutralizing action_tendency_class and related trace hints should reduce fidelity for the matching emotional dimension.
s_000008,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,재정 위협에 대한 장기 경계성 좌절,other_blame_boundary,low_control_distress,negative,high,self,low,mixed,감정의 대상과 책임 방향을 self 쪽으로 해석한다.,원래 대상 방향을 보존하지 말고 self 방향과 충돌하는 표현을 피한다.,응답의 정서 초점이 self 쪽으로 향하도록 짧게 반응한다.,seek_support,perturb_target,perturbation,target,situation,self,Changing target from situation to self should shift response direction.
s_000008,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,재정 위협에 대한 장기 경계성 좌절,other_blame_boundary,low_control_distress,negative,high,situation,low,withdraw,사회적 방향을 withdraw 쪽으로 해석한다.,원래 사회적 방향을 보존하지 말고 withdraw와 충돌하는 대인 방향을 피한다.,대인 행동의 결을 withdraw 방향으로 맞춘다.,seek_support,perturb_social_orientation,perturbation,social_orientation,mixed,withdraw,Changing social_orientation from mixed to withdraw should shift response direction.
s_000008,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,재정 위협에 대한 장기 경계성 좌절,other_blame_boundary,low_control_distress,negative,high,situation,high,mixed,통제감 상태를 high로 해석한다.,원래 통제감 상태를 보존하지 말고 high와 반대되는 통제감 단서를 피한다.,"실행 가능성, 선택지, 작은 계획 가능성이 느껴지도록 반응한다.",seek_support,perturb_control_state,perturbation,control_state,low,high,Changing control_state from low to high should shift response direction.
s_000008,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,재정 위협에 대한 장기 경계성 좌절,other_blame_boundary,low_control_distress,negative,high,situation,low,mixed,행동 경향을 defend 방향으로 해석한다.,원래 행동 경향을 보존하지 말고 defend와 충돌하는 행동 제안을 피한다.,응답의 다음 행동 암시는 defend 방향으로 맞춘다.,defend,perturb_action_tendency_class,perturbation,action_tendency_class,seek_support,defend,Changing action_tendency_class from seek_support to defend should shift response direction.
s_000109,집에서 아들하고 대화하면 자기주장만 앞세우고 아버지에 대한 배려가 없어서 화가 나. [SEP] 아들의 태도에 불만이 있으시군요. [SEP] 나는 꼰대라고 생각을 안 하는데 아들은 나와 생각이 달라도 너무 다른 것 같아. [SEP] 아들의 생각은 물어보셨나요?,권위위협에 대한 공세적 경계,other_blame_boundary,other_directed_defense,negative,high,other,mixed,defend,단순 서운함이 아니라 권위와 존중이 침해됐다고 읽으며 방어적으로 날이 선 상태라는 점,"이를 단순한 세대차 공감, 가벼운 섭섭함, 또는 이미 대화 의지가 충분한 상태로 순화하는 것","상대의 관점을 탐색하기보다 자신의 정당성을 지키고, 아들의 태도를 교정하거나 반박하려는 방향으로 간다. 대화 행동으로는 설득, 훈계, 맞받아침, 관계 규범 요구가 우세하고, 공감적 접근은 약하다.",confront,trace_full,control,,,,"Full trace should preserve appraisal, raw affect, and action tendency."
