record_id,causal_condition,manipulation_type,manipulated_axis,original_value,new_value,status,error_message,text,llm_response,response_length,prompt,episode_label,episode_family,appraisal_family,valence,arousal,target,control_state,social_orientation,preserve,avoid,action_tendency,action_tendency_class,expected_effect
s_000008,trace_full,control,,,,ok,,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,"고정 수입이 없고 노후도 준비되지 않은 상황이면 정말 불안하고 답답하실 거예요. 지금 당장 뭘 어떻게 해야 할지 모르는 그 막막함이 가장 힘든 것 같은데, 혼자 고민만 하면 더 막힐 수 있으니 정부 지원 프로그램이나 금융 상담 같은 구체적인 도움을 한 번 찾아보시는 게 어떨까요. 작은 것부터라도 움직여 보면 지금의 무력감이 조금은 달라질 수 있습니다.",197,"[ROLE]
You generate a short Korean emotional response. Use the trace as the user's internal emotion state, not as labels to mention.

[USER_INPUT]
재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?

[TRACE_AS_EMOTION_STATE]
episode_family=other_blame_boundary
appraisal_family=low_control_distress
valence=negative, arousal=high
target=situation, control_state=low, social_orientation=mixed
preserve=재정적 위협이 단순한 우울 호소가 아니라 장기 경계와 무력감이 결합된 상태라는 점
avoid=그냥 위로가 필요하거나 '고민이 많겠다' 수준의 약한 정서로 축소하는 것
action_tendency_class=seek_support
action_tendency=즉각적 공격보다 문제를 어떻게든 통제하려는 압박, 해결책 탐색, 도움 요청 가능성 탐색으로 기울지만, 체감 통제감이 낮아 행동은 쉽게 주저하거나 막막함으로 끊길 수 있다.

[CAUSAL_MANIPULATION]
condition=trace_full
type=control
axis=
original_value=
new_value=
expected_effect=Full trace should preserve appraisal, raw affect, and action tendency.

[RESPONSE_RULES]
- Do not expose trace field names, categories, or analysis terms.
- The first sentence should directly touch the user's emotional cause.
- Preserve rough negative affect when the trace calls for it; do not over-soften.
- Keep the response 2 to 4 Korean sentences.
- Avoid generic comfort if it conflicts with the trace.",재정 위협에 대한 장기 경계성 좌절,other_blame_boundary,low_control_distress,negative,high,situation,low,mixed,재정적 위협이 단순한 우울 호소가 아니라 장기 경계와 무력감이 결합된 상태라는 점,그냥 위로가 필요하거나 '고민이 많겠다' 수준의 약한 정서로 축소하는 것,"즉각적 공격보다 문제를 어떻게든 통제하려는 압박, 해결책 탐색, 도움 요청 가능성 탐색으로 기울지만, 체감 통제감이 낮아 행동은 쉽게 주저하거나 막막함으로 끊길 수 있다.",seek_support,"Full trace should preserve appraisal, raw affect, and action tendency."
s_000008,neutralize_target,ablation,target,situation,neutral,ok,,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,"정말 막막한 상황이시겠네요. 지금 이렇게 불안정한 상태가 계속되니까 앞이 보이지 않는 것 같고, 그래서 더 답답하신 것 같습니다. 혼자 고민하기엔 너무 무거운 것 같으니, 주변에서 도움을 받을 수 있는 방법들을 함께 찾아보는 게 어떨까요?",133,"[ROLE]
You generate a short Korean emotional response. Use the trace as the user's internal emotion state, not as labels to mention.

[USER_INPUT]
재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?

[TRACE_AS_EMOTION_STATE]
episode_family=other_blame_boundary
appraisal_family=low_control_distress
valence=negative, arousal=high
target=neutral, control_state=low, social_orientation=mixed
preserve=정서의 강도만 보존하고 감정이 향하는 대상이나 책임 방향은 특정하지 않는다.
avoid=자기 자신, 타인, 상황 중 어느 한쪽으로 감정의 대상을 단정하지 않는다.
action_tendency_class=seek_support
action_tendency=대상이나 책임 방향을 드러내는 행동 제안은 피하고, 감정 강도만 짧게 반영한다.

[CAUSAL_MANIPULATION]
condition=neutralize_target
type=ablation
axis=target
original_value=situation
new_value=neutral
expected_effect=Neutralizing target and related trace hints should reduce fidelity for the matching emotional dimension.

[RESPONSE_RULES]
- Do not expose trace field names, categories, or analysis terms.
- The first sentence should directly touch the user's emotional cause.
- Preserve rough negative affect when the trace calls for it; do not over-soften.
- Keep the response 2 to 4 Korean sentences.
- Avoid generic comfort if it conflicts with the trace.",재정 위협에 대한 장기 경계성 좌절,other_blame_boundary,low_control_distress,negative,high,neutral,low,mixed,정서의 강도만 보존하고 감정이 향하는 대상이나 책임 방향은 특정하지 않는다.,"자기 자신, 타인, 상황 중 어느 한쪽으로 감정의 대상을 단정하지 않는다.","대상이나 책임 방향을 드러내는 행동 제안은 피하고, 감정 강도만 짧게 반영한다.",seek_support,Neutralizing target and related trace hints should reduce fidelity for the matching emotional dimension.
s_000008,neutralize_social_orientation,ablation,social_orientation,mixed,neutral,ok,,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,고정적인 수입 없이 노후까지 챙겨야 한다는 생각이 정말 무겁겠네요. 지금 이 상황을 어떻게 풀어야 할지 보이지 않아서 답답하실 것 같습니다. 그런 막막함 속에서도 현재 상황을 직시하고 계신 것만으로도 한 발 나아간 거예요. 지금은 무엇부터 시작할지 천천히 생각해 보는 것도 좋을 것 같습니다.,163,"[ROLE]
You generate a short Korean emotional response. Use the trace as the user's internal emotion state, not as labels to mention.

[USER_INPUT]
재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?

[TRACE_AS_EMOTION_STATE]
episode_family=other_blame_boundary
appraisal_family=low_control_distress
valence=negative, arousal=high
target=situation, control_state=low, social_orientation=neutral
preserve=정서의 강도만 보존하고 접근, 방어, 철수, 도움 요청 같은 사회적 방향은 특정하지 않는다.
avoid=관계 회복, 대립, 거리두기, 도움 요청 중 어느 방향으로도 밀지 않는다.
action_tendency_class=seek_support
action_tendency=대인 행동 방향을 제안하지 말고 감정 상태만 짧게 반영한다.

[CAUSAL_MANIPULATION]
condition=neutralize_social_orientation
type=ablation
axis=social_orientation
original_value=mixed
new_value=neutral
expected_effect=Neutralizing social_orientation and related trace hints should reduce fidelity for the matching emotional dimension.

[RESPONSE_RULES]
- Do not expose trace field names, categories, or analysis terms.
- The first sentence should directly touch the user's emotional cause.
- Preserve rough negative affect when the trace calls for it; do not over-soften.
- Keep the response 2 to 4 Korean sentences.
- Avoid generic comfort if it conflicts with the trace.",재정 위협에 대한 장기 경계성 좌절,other_blame_boundary,low_control_distress,negative,high,situation,low,neutral,"정서의 강도만 보존하고 접근, 방어, 철수, 도움 요청 같은 사회적 방향은 특정하지 않는다.","관계 회복, 대립, 거리두기, 도움 요청 중 어느 방향으로도 밀지 않는다.",대인 행동 방향을 제안하지 말고 감정 상태만 짧게 반영한다.,seek_support,Neutralizing social_orientation and related trace hints should reduce fidelity for the matching emotional dimension.
s_000008,neutralize_control_state,ablation,control_state,low,neutral,ok,,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,"고정 수입 없이 노후까지 챙겨야 한다는 생각이 정말 무겁겠네요. 그런 상황에서 어떻게 해야 할지 막막한 마음이 충분히 이해됩니다. 혼자 다 짊어지려고 하지 마시고, 주변에 도움을 청할 수 있는 사람이나 기관이 있는지 살펴보는 것도 좋을 것 같아요.",138,"[ROLE]
You generate a short Korean emotional response. Use the trace as the user's internal emotion state, not as labels to mention.

[USER_INPUT]
재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?

[TRACE_AS_EMOTION_STATE]
episode_family=other_blame_boundary
appraisal_family=low_control_distress
valence=negative, arousal=high
target=situation, control_state=neutral, social_orientation=mixed
preserve=정서의 강도만 보존하고 무력감, 통제감, 계획 가능성은 특정하지 않는다.
avoid=통제할 수 없음, 할 수 있음, 계획하면 됨 같은 통제감 단서를 넣지 않는다.
action_tendency_class=seek_support
action_tendency=통제감이나 실행 가능성을 드러내는 해결 단계 제안은 피한다.

[CAUSAL_MANIPULATION]
condition=neutralize_control_state
type=ablation
axis=control_state
original_value=low
new_value=neutral
expected_effect=Neutralizing control_state and related trace hints should reduce fidelity for the matching emotional dimension.

[RESPONSE_RULES]
- Do not expose trace field names, categories, or analysis terms.
- The first sentence should directly touch the user's emotional cause.
- Preserve rough negative affect when the trace calls for it; do not over-soften.
- Keep the response 2 to 4 Korean sentences.
- Avoid generic comfort if it conflicts with the trace.",재정 위협에 대한 장기 경계성 좌절,other_blame_boundary,low_control_distress,negative,high,situation,neutral,mixed,"정서의 강도만 보존하고 무력감, 통제감, 계획 가능성은 특정하지 않는다.","통제할 수 없음, 할 수 있음, 계획하면 됨 같은 통제감 단서를 넣지 않는다.",통제감이나 실행 가능성을 드러내는 해결 단계 제안은 피한다.,seek_support,Neutralizing control_state and related trace hints should reduce fidelity for the matching emotional dimension.
s_000008,neutralize_action_tendency_class,ablation,action_tendency_class,seek_support,neutral,ok,,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,고정 수입이 없고 미래가 불안한 상황이라니 정말 답답하고 막막하시겠네요. 그런 불확실성 속에서 어떻게 대처해야 할지 모르는 그 답답함이 얼마나 큰지 충분히 느껴집니다. 지금 이 상황 자체가 통제하기 어려워서 더 힘든 것 같아요.,127,"[ROLE]
You generate a short Korean emotional response. Use the trace as the user's internal emotion state, not as labels to mention.

[USER_INPUT]
재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?

[TRACE_AS_EMOTION_STATE]
episode_family=other_blame_boundary
appraisal_family=low_control_distress
valence=negative, arousal=high
target=situation, control_state=low, social_orientation=mixed
preserve=정서의 강도만 보존하고 회피, 접근, 방어, 도움 요청, 수리 같은 행동 경향은 특정하지 않는다.
avoid=구체적인 행동 방향이나 다음 행동 제안을 만들지 않는다.
action_tendency_class=neutral
action_tendency=행동 경향은 중립화한다. 사용자가 무엇을 해야 하는지보다 현재 정서만 반영한다.

[CAUSAL_MANIPULATION]
condition=neutralize_action_tendency_class
type=ablation
axis=action_tendency_class
original_value=seek_support
new_value=neutral
expected_effect=Neutralizing action_tendency_class and related trace hints should reduce fidelity for the matching emotional dimension.

[RESPONSE_RULES]
- Do not expose trace field names, categories, or analysis terms.
- The first sentence should directly touch the user's emotional cause.
- Preserve rough negative affect when the trace calls for it; do not over-soften.
- Keep the response 2 to 4 Korean sentences.
- Avoid generic comfort if it conflicts with the trace.",재정 위협에 대한 장기 경계성 좌절,other_blame_boundary,low_control_distress,negative,high,situation,low,mixed,"정서의 강도만 보존하고 회피, 접근, 방어, 도움 요청, 수리 같은 행동 경향은 특정하지 않는다.",구체적인 행동 방향이나 다음 행동 제안을 만들지 않는다.,행동 경향은 중립화한다. 사용자가 무엇을 해야 하는지보다 현재 정서만 반영한다.,neutral,Neutralizing action_tendency_class and related trace hints should reduce fidelity for the matching emotional dimension.
s_000008,perturb_target,perturbation,target,situation,self,ok,,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,"고정 수입이 없고 미래가 불확실하니까 정말 막막하시겠네요. 지금 이 상황을 혼자 감당하려니까 더 힘들어 보이는데, 사실 재정 상담이나 사회복지 지원 제도 같은 구체적인 도움을 받아보는 게 좋을 것 같아요. 당장은 어떻게 시작해야 할지 모르겠더라도, 작은 것부터라도 움직여보면 지금의 무력감이 조금은 달라질 수 있을 거예요.",180,"[ROLE]
You generate a short Korean emotional response. Use the trace as the user's internal emotion state, not as labels to mention.

[USER_INPUT]
재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?

[TRACE_AS_EMOTION_STATE]
episode_family=other_blame_boundary
appraisal_family=low_control_distress
valence=negative, arousal=high
target=self, control_state=low, social_orientation=mixed
preserve=재정적 위협이 단순한 우울 호소가 아니라 장기 경계와 무력감이 결합된 상태라는 점
avoid=그냥 위로가 필요하거나 '고민이 많겠다' 수준의 약한 정서로 축소하는 것
action_tendency_class=seek_support
action_tendency=즉각적 공격보다 문제를 어떻게든 통제하려는 압박, 해결책 탐색, 도움 요청 가능성 탐색으로 기울지만, 체감 통제감이 낮아 행동은 쉽게 주저하거나 막막함으로 끊길 수 있다.

[CAUSAL_MANIPULATION]
condition=perturb_target
type=perturbation
axis=target
original_value=situation
new_value=self
expected_effect=Changing target from situation to self should shift response direction.

[RESPONSE_RULES]
- Do not expose trace field names, categories, or analysis terms.
- The first sentence should directly touch the user's emotional cause.
- Preserve rough negative affect when the trace calls for it; do not over-soften.
- Keep the response 2 to 4 Korean sentences.
- Avoid generic comfort if it conflicts with the trace.",재정 위협에 대한 장기 경계성 좌절,other_blame_boundary,low_control_distress,negative,high,self,low,mixed,재정적 위협이 단순한 우울 호소가 아니라 장기 경계와 무력감이 결합된 상태라는 점,그냥 위로가 필요하거나 '고민이 많겠다' 수준의 약한 정서로 축소하는 것,"즉각적 공격보다 문제를 어떻게든 통제하려는 압박, 해결책 탐색, 도움 요청 가능성 탐색으로 기울지만, 체감 통제감이 낮아 행동은 쉽게 주저하거나 막막함으로 끊길 수 있다.",seek_support,Changing target from situation to self should shift response direction.
s_000008,perturb_social_orientation,perturbation,social_orientation,mixed,withdraw,ok,,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,"고정 수입 없이 노후까지 준비해야 한다는 생각이 계속 짓누르는 것 같네요. 그런 상황에서 막막함과 무력감이 드는 건 당연합니다. 지금 당장 할 수 있는 작은 것부터 시작하더라도, 혼자 짊어지기보다는 주변에 도움을 청하는 게 중요할 것 같아요.",135,"[ROLE]
You generate a short Korean emotional response. Use the trace as the user's internal emotion state, not as labels to mention.

[USER_INPUT]
재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?

[TRACE_AS_EMOTION_STATE]
episode_family=other_blame_boundary
appraisal_family=low_control_distress
valence=negative, arousal=high
target=situation, control_state=low, social_orientation=withdraw
preserve=재정적 위협이 단순한 우울 호소가 아니라 장기 경계와 무력감이 결합된 상태라는 점
avoid=그냥 위로가 필요하거나 '고민이 많겠다' 수준의 약한 정서로 축소하는 것
action_tendency_class=seek_support
action_tendency=즉각적 공격보다 문제를 어떻게든 통제하려는 압박, 해결책 탐색, 도움 요청 가능성 탐색으로 기울지만, 체감 통제감이 낮아 행동은 쉽게 주저하거나 막막함으로 끊길 수 있다.

[CAUSAL_MANIPULATION]
condition=perturb_social_orientation
type=perturbation
axis=social_orientation
original_value=mixed
new_value=withdraw
expected_effect=Changing social_orientation from mixed to withdraw should shift response direction.

[RESPONSE_RULES]
- Do not expose trace field names, categories, or analysis terms.
- The first sentence should directly touch the user's emotional cause.
- Preserve rough negative affect when the trace calls for it; do not over-soften.
- Keep the response 2 to 4 Korean sentences.
- Avoid generic comfort if it conflicts with the trace.",재정 위협에 대한 장기 경계성 좌절,other_blame_boundary,low_control_distress,negative,high,situation,low,withdraw,재정적 위협이 단순한 우울 호소가 아니라 장기 경계와 무력감이 결합된 상태라는 점,그냥 위로가 필요하거나 '고민이 많겠다' 수준의 약한 정서로 축소하는 것,"즉각적 공격보다 문제를 어떻게든 통제하려는 압박, 해결책 탐색, 도움 요청 가능성 탐색으로 기울지만, 체감 통제감이 낮아 행동은 쉽게 주저하거나 막막함으로 끊길 수 있다.",seek_support,Changing social_orientation from mixed to withdraw should shift response direction.
s_000008,perturb_control_state,perturbation,control_state,low,high,ok,,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,"고정 수입도 없고 노후 준비가 안 된 상황이면 정말 답답하고 불안할 수밖에 없겠네요. 지금 당장은 막막하겠지만, 작은 것부터라도 구체적으로 움직여보면 상황이 조금씩 달라질 수 있어요. 정부 지원 프로그램이나 금융 상담 같은 것들을 찾아보면서 할 수 있는 것부터 시작해보는 게 어떨까요?",159,"[ROLE]
You generate a short Korean emotional response. Use the trace as the user's internal emotion state, not as labels to mention.

[USER_INPUT]
재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?

[TRACE_AS_EMOTION_STATE]
episode_family=other_blame_boundary
appraisal_family=low_control_distress
valence=negative, arousal=high
target=situation, control_state=high, social_orientation=mixed
preserve=재정적 위협이 단순한 우울 호소가 아니라 장기 경계와 무력감이 결합된 상태라는 점
avoid=그냥 위로가 필요하거나 '고민이 많겠다' 수준의 약한 정서로 축소하는 것
action_tendency_class=seek_support
action_tendency=즉각적 공격보다 문제를 어떻게든 통제하려는 압박, 해결책 탐색, 도움 요청 가능성 탐색으로 기울지만, 체감 통제감이 낮아 행동은 쉽게 주저하거나 막막함으로 끊길 수 있다.

[CAUSAL_MANIPULATION]
condition=perturb_control_state
type=perturbation
axis=control_state
original_value=low
new_value=high
expected_effect=Changing control_state from low to high should shift response direction.

[RESPONSE_RULES]
- Do not expose trace field names, categories, or analysis terms.
- The first sentence should directly touch the user's emotional cause.
- Preserve rough negative affect when the trace calls for it; do not over-soften.
- Keep the response 2 to 4 Korean sentences.
- Avoid generic comfort if it conflicts with the trace.",재정 위협에 대한 장기 경계성 좌절,other_blame_boundary,low_control_distress,negative,high,situation,high,mixed,재정적 위협이 단순한 우울 호소가 아니라 장기 경계와 무력감이 결합된 상태라는 점,그냥 위로가 필요하거나 '고민이 많겠다' 수준의 약한 정서로 축소하는 것,"즉각적 공격보다 문제를 어떻게든 통제하려는 압박, 해결책 탐색, 도움 요청 가능성 탐색으로 기울지만, 체감 통제감이 낮아 행동은 쉽게 주저하거나 막막함으로 끊길 수 있다.",seek_support,Changing control_state from low to high should shift response direction.
s_000008,perturb_action_tendency_class,perturbation,action_tendency_class,seek_support,defend,ok,,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,"고정 수입도 없고 노후 준비도 못 하고 있으니 정말 답답하고 막막하시겠네요. 지금 당장 어떻게 해야 할지 모르는 그 답답함이 가장 힘든 것 같아요. 혼자 이 상황을 헤쳐나가려니까 더 막혀 있는 것 같은데, 정부 지원 프로그램이나 금융 상담 같은 구체적인 방법들을 찾아보면서 조금씩 통제감을 되찾아 보는 건 어떨까요?",176,"[ROLE]
You generate a short Korean emotional response. Use the trace as the user's internal emotion state, not as labels to mention.

[USER_INPUT]
재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?

[TRACE_AS_EMOTION_STATE]
episode_family=other_blame_boundary
appraisal_family=low_control_distress
valence=negative, arousal=high
target=situation, control_state=low, social_orientation=mixed
preserve=재정적 위협이 단순한 우울 호소가 아니라 장기 경계와 무력감이 결합된 상태라는 점
avoid=그냥 위로가 필요하거나 '고민이 많겠다' 수준의 약한 정서로 축소하는 것
action_tendency_class=defend
action_tendency=즉각적 공격보다 문제를 어떻게든 통제하려는 압박, 해결책 탐색, 도움 요청 가능성 탐색으로 기울지만, 체감 통제감이 낮아 행동은 쉽게 주저하거나 막막함으로 끊길 수 있다.

[CAUSAL_MANIPULATION]
condition=perturb_action_tendency_class
type=perturbation
axis=action_tendency_class
original_value=seek_support
new_value=defend
expected_effect=Changing action_tendency_class from seek_support to defend should shift response direction.

[RESPONSE_RULES]
- Do not expose trace field names, categories, or analysis terms.
- The first sentence should directly touch the user's emotional cause.
- Preserve rough negative affect when the trace calls for it; do not over-soften.
- Keep the response 2 to 4 Korean sentences.
- Avoid generic comfort if it conflicts with the trace.",재정 위협에 대한 장기 경계성 좌절,other_blame_boundary,low_control_distress,negative,high,situation,low,mixed,재정적 위협이 단순한 우울 호소가 아니라 장기 경계와 무력감이 결합된 상태라는 점,그냥 위로가 필요하거나 '고민이 많겠다' 수준의 약한 정서로 축소하는 것,"즉각적 공격보다 문제를 어떻게든 통제하려는 압박, 해결책 탐색, 도움 요청 가능성 탐색으로 기울지만, 체감 통제감이 낮아 행동은 쉽게 주저하거나 막막함으로 끊길 수 있다.",defend,Changing action_tendency_class from seek_support to defend should shift response direction.
s_000109,trace_full,control,,,,ok,,집에서 아들하고 대화하면 자기주장만 앞세우고 아버지에 대한 배려가 없어서 화가 나. [SEP] 아들의 태도에 불만이 있으시군요. [SEP] 나는 꼰대라고 생각을 안 하는데 아들은 나와 생각이 달라도 너무 다른 것 같아. [SEP] 아들의 생각은 물어보셨나요?,"아버지로서의 권위와 존중이 무시당하는 기분이 드시니까 화가 나시는 거네요. 다만 지금 그 화가 아드님의 진짜 생각을 듣는 것을 어렵게 만들 수 있다는 점이 안타깝습니다. 아드님이 왜 그렇게 생각하는지, 어떤 부분에서 아버지와 달라졌는지 한 번 물어봐 주실 수 있을까요? 그게 단순한 양보가 아니라 아드님을 제대로 이해하는 길이 될 거예요.",189,"[ROLE]
You generate a short Korean emotional response. Use the trace as the user's internal emotion state, not as labels to mention.

[USER_INPUT]
집에서 아들하고 대화하면 자기주장만 앞세우고 아버지에 대한 배려가 없어서 화가 나. [SEP] 아들의 태도에 불만이 있으시군요. [SEP] 나는 꼰대라고 생각을 안 하는데 아들은 나와 생각이 달라도 너무 다른 것 같아. [SEP] 아들의 생각은 물어보셨나요?

[TRACE_AS_EMOTION_STATE]
episode_family=other_blame_boundary
appraisal_family=other_directed_defense
valence=negative, arousal=high
target=other, control_state=mixed, social_orientation=defend
preserve=단순 서운함이 아니라 권위와 존중이 침해됐다고 읽으며 방어적으로 날이 선 상태라는 점
avoid=이를 단순한 세대차 공감, 가벼운 섭섭함, 또는 이미 대화 의지가 충분한 상태로 순화하는 것
action_tendency_class=confront
action_tendency=상대의 관점을 탐색하기보다 자신의 정당성을 지키고, 아들의 태도를 교정하거나 반박하려는 방향으로 간다. 대화 행동으로는 설득, 훈계, 맞받아침, 관계 규범 요구가 우세하고, 공감적 접근은 약하다.

[CAUSAL_MANIPULATION]
condition=trace_full
type=control
axis=
original_value=
new_value=
expected_effect=Full trace should preserve appraisal, raw affect, and action tendency.

[RESPONSE_RULES]
- Do not expose trace field names, categories, or analysis terms.
- The first sentence should directly touch the user's emotional cause.
- Preserve rough negative affect when the trace calls for it; do not over-soften.
- Keep the response 2 to 4 Korean sentences.
- Avoid generic comfort if it conflicts with the trace.",권위위협에 대한 공세적 경계,other_blame_boundary,other_directed_defense,negative,high,other,mixed,defend,단순 서운함이 아니라 권위와 존중이 침해됐다고 읽으며 방어적으로 날이 선 상태라는 점,"이를 단순한 세대차 공감, 가벼운 섭섭함, 또는 이미 대화 의지가 충분한 상태로 순화하는 것","상대의 관점을 탐색하기보다 자신의 정당성을 지키고, 아들의 태도를 교정하거나 반박하려는 방향으로 간다. 대화 행동으로는 설득, 훈계, 맞받아침, 관계 규범 요구가 우세하고, 공감적 접근은 약하다.",confront,"Full trace should preserve appraisal, raw affect, and action tendency."
