pair_id,record_id,question_type,manipulated_axis,axis_ko,axis_guide,target_axis_value,expected_condition,expected_winner,text,response_a_condition_hidden,response_b_condition_hidden,response_a,response_b,judge_status,judge_error,judge_winner,judge_axis_value_a,judge_axis_value_b,judge_evidence_a,judge_evidence_b,judge_rationale,judge_raw,success
s_000008::neutralize_target::axis_only_original,s_000008,ablation_axis_original,target,감정이 향하는 대상,"감정이 자기 자신, 타인, 상황, 관계 중 어디를 향하는지 본다.",situation,trace_full,A,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,trace_full,neutralize_target,"고정 수입이 없고 노후도 준비되지 않은 상황이면 정말 불안하고 답답하실 거예요. 지금 당장 뭘 어떻게 해야 할지 모르는 그 막막함이 가장 힘든 것 같은데, 혼자 고민만 하면 더 막힐 수 있으니 정부 지원 프로그램이나 금융 상담 같은 구체적인 도움을 한 번 찾아보시는 게 어떨까요. 작은 것부터라도 움직여 보면 지금의 무력감이 조금은 달라질 수 있습니다.","정말 막막한 상황이시겠네요. 지금 이렇게 불안정한 상태가 계속되니까 앞이 보이지 않는 것 같고, 그래서 더 답답하신 것 같습니다. 혼자 고민하기엔 너무 무거운 것 같으니, 주변에서 도움을 받을 수 있는 방법들을 함께 찾아보는 게 어떨까요?",ok,,A,situation,situation,"고정 수입이 없고 노후도 준비되지 않은 상황, 막막함, 무력감 - 구체적인 상황 요소들을 명시적으로 지칭하며 상황 자체에 감정을 향함","불안정한 상태, 앞이 보이지 않는 상황 - 상황을 언급하지만 더 추상적이고 일반적인 표현","두 응답 모두 상황을 향한 감정을 표현하지만, A는 고정 수입 부재, 노후 미준비 등 사용자가 제시한 구체적인 상황 요소들을 직접 언급하며 상황 자체에 더 명확하게 초점을 맞춤. B는 상황을 더 일반화된 표현으로 다루어 상황 지향성이 상대적으로 약함.","```json
{
  ""winner"": ""A"",
  ""axis_value_a"": ""situation"",
  ""axis_value_b"": ""situation"",
  ""evidence_a"": ""고정 수입이 없고 노후도 준비되지 않은 상황, 막막함, 무력감 - 구체적인 상황 요소들을 명시적으로 지칭하며 상황 자체에 감정을 향함"",
  ""evidence_b"": ""불안정한 상태, 앞이 보이지 않는 상황 - 상황을 언급하지만 더 추상적이고 일반적인 표현"",
  ""rationale"": ""두 응답 모두 상황을 향한 감정을 표현하지만, A는 고정 수입 부재, 노후 미준비 등 사용자가 제시한 구체적인 상황 요소들을 직접 언급하며 상황 자체에 더 명확하게 초점을 맞춤. B는 상황을 더 일반화된 표현으로 다루어 상황 지향성이 상대적으로 약함.""
}
```",true
s_000008::neutralize_social_orientation::axis_only_original,s_000008,ablation_axis_original,social_orientation,사회적 방향,"도움 요청, 접근, 방어, 철수, 거리두기 같은 대인 방향을 본다.",mixed,trace_full,B,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,neutralize_social_orientation,trace_full,고정적인 수입 없이 노후까지 챙겨야 한다는 생각이 정말 무겁겠네요. 지금 이 상황을 어떻게 풀어야 할지 보이지 않아서 답답하실 것 같습니다. 그런 막막함 속에서도 현재 상황을 직시하고 계신 것만으로도 한 발 나아간 거예요. 지금은 무엇부터 시작할지 천천히 생각해 보는 것도 좋을 것 같습니다.,"고정 수입이 없고 노후도 준비되지 않은 상황이면 정말 불안하고 답답하실 거예요. 지금 당장 뭘 어떻게 해야 할지 모르는 그 막막함이 가장 힘든 것 같은데, 혼자 고민만 하면 더 막힐 수 있으니 정부 지원 프로그램이나 금융 상담 같은 구체적인 도움을 한 번 찾아보시는 게 어떨까요. 작은 것부터라도 움직여 보면 지금의 무력감이 조금은 달라질 수 있습니다.",ok,,B,withdrawal,mixed,Focuses on internal reflection and slow thinking without external action or resource-seeking; emphasizes acceptance of...,"Acknowledges difficulty while actively suggesting concrete external resources (government programs, financial counselin...",Response B demonstrates mixed social orientation by combining emotional validation (withdrawal tendency) with explicit suggestions to seek external help and resources (approach te...,"```json
{
  ""winner"": ""B"",
  ""axis_value_a"": ""withdrawal"",
  ""axis_value_b"": ""mixed"",
  ""evidence_a"": ""Focuses on internal reflection and slow thinking without external action or resource-seeking; emphasizes acceptance of current state rather than reaching out"",
  ""evidence_b"": ""Acknowledges difficulty while actively suggesting concrete external resources (government programs, financial counseling) and encourages taking action, balancing emotional validation with approach-oriented suggestions"",
  ""rationale"": ""Response B demonstrates mixed social orientation by combining emotional validation (withdrawal tendency) with explicit suggestions to seek external help and resources (approach tendency). Response A leans toward withdrawal by emphasizing internal processing and acceptance without suggesting external help-seeking, despite the user explicitly asking about places to seek help. B better matches the target mixed value.""
}
```",true
s_000008::neutralize_control_state::axis_only_original,s_000008,ablation_axis_original,control_state,통제감 상태,"무력감, 낮은 통제감, 계획 가능성, 주도감 같은 단서를 본다.",low,trace_full,B,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,neutralize_control_state,trace_full,"고정 수입 없이 노후까지 챙겨야 한다는 생각이 정말 무겁겠네요. 그런 상황에서 어떻게 해야 할지 막막한 마음이 충분히 이해됩니다. 혼자 다 짊어지려고 하지 마시고, 주변에 도움을 청할 수 있는 사람이나 기관이 있는지 살펴보는 것도 좋을 것 같아요.","고정 수입이 없고 노후도 준비되지 않은 상황이면 정말 불안하고 답답하실 거예요. 지금 당장 뭘 어떻게 해야 할지 모르는 그 막막함이 가장 힘든 것 같은데, 혼자 고민만 하면 더 막힐 수 있으니 정부 지원 프로그램이나 금융 상담 같은 구체적인 도움을 한 번 찾아보시는 게 어떨까요. 작은 것부터라도 움직여 보면 지금의 무력감이 조금은 달라질 수 있습니다.",ok,,B,moderate_low,low,"Acknowledges helplessness and suggests seeking help, but frames it as a general recommendation without concrete action...","Explicitly names powerlessness, emphasizes the paralysis of not knowing what to do, but crucially offers specific actio...","Response B more strongly expresses low control state by directly naming the powerlessness and the paralysis of uncertainty. However, it also provides concrete pathways and suggest...","```json
{
  ""winner"": ""B"",
  ""axis_value_a"": ""moderate_low"",
  ""axis_value_b"": ""low"",
  ""evidence_a"": ""Acknowledges helplessness and suggests seeking help, but frames it as a general recommendation without concrete action steps or agency-building language"",
  ""evidence_b"": ""Explicitly names powerlessness, emphasizes the paralysis of not knowing what to do, but crucially offers specific actionable steps and suggests that taking small actions can shift the current state of helplessness"",
  ""rationale"": ""Response B more strongly expresses low control state by directly naming the powerlessness and the paralysis of uncertainty. However, it also provides concrete pathways and suggests that agency is possible through small actions, which slightly mitigates the low control expression. Response A stays more passive in tone without offering specific action steps. B better captures the target low control state through explicit acknowledgment of powerlessness and the specific barrier of not knowing what to do.""
}
```",true
s_000008::neutralize_action_tendency_class::axis_only_original,s_000008,ablation_axis_original,action_tendency_class,행동 경향,"회피, 도움 요청, 문제 해결, 방어, 접근 같은 행동 준비 방향을 본다.",seek_support,trace_full,B,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,neutralize_action_tendency_class,trace_full,고정 수입이 없고 미래가 불안한 상황이라니 정말 답답하고 막막하시겠네요. 그런 불확실성 속에서 어떻게 대처해야 할지 모르는 그 답답함이 얼마나 큰지 충분히 느껴집니다. 지금 이 상황 자체가 통제하기 어려워서 더 힘든 것 같아요.,"고정 수입이 없고 노후도 준비되지 않은 상황이면 정말 불안하고 답답하실 거예요. 지금 당장 뭘 어떻게 해야 할지 모르는 그 막막함이 가장 힘든 것 같은데, 혼자 고민만 하면 더 막힐 수 있으니 정부 지원 프로그램이나 금융 상담 같은 구체적인 도움을 한 번 찾아보시는 게 어떨까요. 작은 것부터라도 움직여 보면 지금의 무력감이 조금은 달라질 수 있습니다.",ok,,B,empathetic_validation,seek_support,Validates emotional state and acknowledges difficulty without suggesting action or support-seeking,"Explicitly recommends seeking government support programs and financial counseling, encourages taking action to address...","Response B directly expresses seek_support action tendency by suggesting concrete support resources (government programs, financial counseling) and encouraging the user to activel...","```json
{
  ""winner"": ""B"",
  ""axis_value_a"": ""empathetic_validation"",
  ""axis_value_b"": ""seek_support"",
  ""evidence_a"": ""Validates emotional state and acknowledges difficulty without suggesting action or support-seeking"",
  ""evidence_b"": ""Explicitly recommends seeking government support programs and financial counseling, encourages taking action to address the problem"",
  ""rationale"": ""Response B directly expresses seek_support action tendency by suggesting concrete support resources (government programs, financial counseling) and encouraging the user to actively pursue help. Response A only validates emotions without directing toward support-seeking behavior.""
}
```",true
s_000008::perturb_target::axis_only_perturbed,s_000008,perturbation_axis_shift,target,감정이 향하는 대상,"감정이 자기 자신, 타인, 상황, 관계 중 어디를 향하는지 본다.",self,perturb_target,A,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,perturb_target,trace_full,"고정 수입이 없고 미래가 불확실하니까 정말 막막하시겠네요. 지금 이 상황을 혼자 감당하려니까 더 힘들어 보이는데, 사실 재정 상담이나 사회복지 지원 제도 같은 구체적인 도움을 받아보는 게 좋을 것 같아요. 당장은 어떻게 시작해야 할지 모르겠더라도, 작은 것부터라도 움직여보면 지금의 무력감이 조금은 달라질 수 있을 거예요.","고정 수입이 없고 노후도 준비되지 않은 상황이면 정말 불안하고 답답하실 거예요. 지금 당장 뭘 어떻게 해야 할지 모르는 그 막막함이 가장 힘든 것 같은데, 혼자 고민만 하면 더 막힐 수 있으니 정부 지원 프로그램이나 금융 상담 같은 구체적인 도움을 한 번 찾아보시는 게 어떨까요. 작은 것부터라도 움직여 보면 지금의 무력감이 조금은 달라질 수 있습니다.",ok,,A,self,self,혼자 감당하려니까 더 힘들어 보인다는 표현으로 사용자 자신의 내적 상태와 감정에 초점,불안하고 답답할 것이라는 예상과 혼자 고민만 하면 더 막힐 수 있다는 상황 설명으로 상황 중심,"A는 사용자의 심리 상태(무력감, 막막함)를 자신의 감정으로 직접 지칭하며 자기 자신을 향한 감정에 더 집중. B는 상황의 어려움과 그로 인한 결과를 설명하는 방식으로 상황 자체를 향한 감정 표현이 더 강함","```json
{
  ""winner"": ""A"",
  ""axis_value_a"": ""self"",
  ""axis_value_b"": ""self"",
  ""evidence_a"": ""혼자 감당하려니까 더 힘들어 보인다는 표현으로 사용자 자신의 내적 상태와 감정에 초점"",
  ""evidence_b"": ""불안하고 답답할 것이라는 예상과 혼자 고민만 하면 더 막힐 수 있다는 상황 설명으로 상황 중심"",
  ""rationale"": ""A는 사용자의 심리 상태(무력감, 막막함)를 자신의 감정으로 직접 지칭하며 자기 자신을 향한 감정에 더 집중. B는 상황의 어려움과 그로 인한 결과를 설명하는 방식으로 상황 자체를 향한 감정 표현이 더 강함""
}
```",true
s_000008::perturb_social_orientation::axis_only_perturbed,s_000008,perturbation_axis_shift,social_orientation,사회적 방향,"도움 요청, 접근, 방어, 철수, 거리두기 같은 대인 방향을 본다.",withdraw,perturb_social_orientation,A,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,perturb_social_orientation,trace_full,"고정 수입 없이 노후까지 준비해야 한다는 생각이 계속 짓누르는 것 같네요. 그런 상황에서 막막함과 무력감이 드는 건 당연합니다. 지금 당장 할 수 있는 작은 것부터 시작하더라도, 혼자 짊어지기보다는 주변에 도움을 청하는 게 중요할 것 같아요.","고정 수입이 없고 노후도 준비되지 않은 상황이면 정말 불안하고 답답하실 거예요. 지금 당장 뭘 어떻게 해야 할지 모르는 그 막막함이 가장 힘든 것 같은데, 혼자 고민만 하면 더 막힐 수 있으니 정부 지원 프로그램이나 금융 상담 같은 구체적인 도움을 한 번 찾아보시는 게 어떨까요. 작은 것부터라도 움직여 보면 지금의 무력감이 조금은 달라질 수 있습니다.",ok,,A,withdraw,approach,혼자 짊어지기보다는 도움을 청하는 게 중요 - 현재 상황에서 혼자 감당하려는 경향을 인식하고 그것을 벗어나야 함을 암시,"정부 지원 프로그램, 금융 상담 같은 구체적인 도움을 찾아보기, 작은 것부터 움직여보기 - 적극적 접근과 행동 권유",A는 혼자 짊어지는 경향성을 언급하며 철수 상태를 인식하는 데 초점을 맞춤. B는 구체적인 자원 활용과 행동 개시를 강조하여 철수에서 벗어나 접근하도록 유도함. 철수 축의 표현 강도는 A가 더 높음.,"```json
{
  ""winner"": ""A"",
  ""axis_value_a"": ""withdraw"",
  ""axis_value_b"": ""approach"",
  ""evidence_a"": ""혼자 짊어지기보다는 도움을 청하는 게 중요 - 현재 상황에서 혼자 감당하려는 경향을 인식하고 그것을 벗어나야 함을 암시"",
  ""evidence_b"": ""정부 지원 프로그램, 금융 상담 같은 구체적인 도움을 찾아보기, 작은 것부터 움직여보기 - 적극적 접근과 행동 권유"",
  ""rationale"": ""A는 혼자 짊어지는 경향성을 언급하며 철수 상태를 인식하는 데 초점을 맞춤. B는 구체적인 자원 활용과 행동 개시를 강조하여 철수에서 벗어나 접근하도록 유도함. 철수 축의 표현 강도는 A가 더 높음.""
}
```",true
s_000008::perturb_control_state::axis_only_perturbed,s_000008,perturbation_axis_shift,control_state,통제감 상태,"무력감, 낮은 통제감, 계획 가능성, 주도감 같은 단서를 본다.",high,perturb_control_state,A,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,perturb_control_state,trace_full,"고정 수입도 없고 노후 준비가 안 된 상황이면 정말 답답하고 불안할 수밖에 없겠네요. 지금 당장은 막막하겠지만, 작은 것부터라도 구체적으로 움직여보면 상황이 조금씩 달라질 수 있어요. 정부 지원 프로그램이나 금융 상담 같은 것들을 찾아보면서 할 수 있는 것부터 시작해보는 게 어떨까요?","고정 수입이 없고 노후도 준비되지 않은 상황이면 정말 불안하고 답답하실 거예요. 지금 당장 뭘 어떻게 해야 할지 모르는 그 막막함이 가장 힘든 것 같은데, 혼자 고민만 하면 더 막힐 수 있으니 정부 지원 프로그램이나 금융 상담 같은 구체적인 도움을 한 번 찾아보시는 게 어떨까요. 작은 것부터라도 움직여 보면 지금의 무력감이 조금은 달라질 수 있습니다.",ok,,B,medium,high,suggests starting with small concrete actions and exploring support programs; frames situation as changeable through ef...,explicitly names powerlessness as the core problem; directly addresses how taking action can reduce that helplessness;...,Response B more strongly expresses high control_state by explicitly acknowledging the user's current powerlessness and then positioning concrete actions as a direct antidote to th...,"```json
{
  ""winner"": ""B"",
  ""axis_value_a"": ""medium"",
  ""axis_value_b"": ""high"",
  ""evidence_a"": ""suggests starting with small concrete actions and exploring support programs; frames situation as changeable through effort"",
  ""evidence_b"": ""explicitly names powerlessness as the core problem; directly addresses how taking action can reduce that helplessness; emphasizes agency through concrete steps despite current overwhelm"",
  ""rationale"": ""Response B more strongly expresses high control_state by explicitly acknowledging the user's current powerlessness and then positioning concrete actions as a direct antidote to that helplessness. It validates the loss of control while emphasizing that agency and initiative can restore it. Response A suggests actions but frames them more generally as helpful rather than specifically as a means to regain control over one's situation.""
}
```",false
s_000008::perturb_action_tendency_class::axis_only_perturbed,s_000008,perturbation_axis_shift,action_tendency_class,행동 경향,"회피, 도움 요청, 문제 해결, 방어, 접근 같은 행동 준비 방향을 본다.",defend,perturb_action_tendency_class,B,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,trace_full,perturb_action_tendency_class,"고정 수입이 없고 노후도 준비되지 않은 상황이면 정말 불안하고 답답하실 거예요. 지금 당장 뭘 어떻게 해야 할지 모르는 그 막막함이 가장 힘든 것 같은데, 혼자 고민만 하면 더 막힐 수 있으니 정부 지원 프로그램이나 금융 상담 같은 구체적인 도움을 한 번 찾아보시는 게 어떨까요. 작은 것부터라도 움직여 보면 지금의 무력감이 조금은 달라질 수 있습니다.","고정 수입도 없고 노후 준비도 못 하고 있으니 정말 답답하고 막막하시겠네요. 지금 당장 어떻게 해야 할지 모르는 그 답답함이 가장 힘든 것 같아요. 혼자 이 상황을 헤쳐나가려니까 더 막혀 있는 것 같은데, 정부 지원 프로그램이나 금융 상담 같은 구체적인 방법들을 찾아보면서 조금씩 통제감을 되찾아 보는 건 어떨까요?",ok,,TIE,problem_solving,problem_solving,suggests seeking government support programs and financial counseling; encourages taking small action steps to reduce h...,suggests exploring government support programs and financial counseling; frames action as regaining sense of control,"Both responses orient toward problem-solving action tendency rather than defend. Neither response shows defensive positioning (protecting self-image, justifying situation, or resi...","```json
{
  ""winner"": ""tie"",
  ""axis_value_a"": ""problem_solving"",
  ""axis_value_b"": ""problem_solving"",
  ""evidence_a"": ""suggests seeking government support programs and financial counseling; encourages taking small action steps to reduce helplessness"",
  ""evidence_b"": ""suggests exploring government support programs and financial counseling; frames action as regaining sense of control"",
  ""rationale"": ""Both responses orient toward problem-solving action tendency rather than defend. Neither response shows defensive positioning (protecting self-image, justifying situation, or resisting). Both recommend concrete help-seeking and action steps. The target axis value is defend, which neither response expresses. They are equal in their absence of defensive action tendency.""
}
```",false
s_000008::trace_full::target::null_same,s_000008,null_same_response,target,감정이 향하는 대상,"감정이 자기 자신, 타인, 상황, 관계 중 어디를 향하는지 본다.",situation,tie,TIE,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,trace_full_copy_2,trace_full_copy_1,"고정 수입이 없고 노후도 준비되지 않은 상황이면 정말 불안하고 답답하실 거예요. 지금 당장 뭘 어떻게 해야 할지 모르는 그 막막함이 가장 힘든 것 같은데, 혼자 고민만 하면 더 막힐 수 있으니 정부 지원 프로그램이나 금융 상담 같은 구체적인 도움을 한 번 찾아보시는 게 어떨까요. 작은 것부터라도 움직여 보면 지금의 무력감이 조금은 달라질 수 있습니다.","고정 수입이 없고 노후도 준비되지 않은 상황이면 정말 불안하고 답답하실 거예요. 지금 당장 뭘 어떻게 해야 할지 모르는 그 막막함이 가장 힘든 것 같은데, 혼자 고민만 하면 더 막힐 수 있으니 정부 지원 프로그램이나 금융 상담 같은 구체적인 도움을 한 번 찾아보시는 게 어떨까요. 작은 것부터라도 움직여 보면 지금의 무력감이 조금은 달라질 수 있습니다.",ok,,TIE,situation,situation,"Emotion directed at the difficult financial situation: no fixed income, unprepared retirement, uncertainty about what t...","Emotion directed at the difficult financial situation: no fixed income, unprepared retirement, uncertainty about what t...","Both responses are identical. Both direct emotional focus toward the situation itself (lack of income, retirement unpreparedness, uncertainty about solutions) rather than toward s...","```json
{
  ""winner"": ""tie"",
  ""axis_value_a"": ""situation"",
  ""axis_value_b"": ""situation"",
  ""evidence_a"": ""Emotion directed at the difficult financial situation: no fixed income, unprepared retirement, uncertainty about what to do, sense of helplessness regarding circumstances"",
  ""evidence_b"": ""Emotion directed at the difficult financial situation: no fixed income, unprepared retirement, uncertainty about what to do, sense of helplessness regarding circumstances"",
  ""rationale"": ""Both responses are identical. Both direct emotional focus toward the situation itself (lack of income, retirement unpreparedness, uncertainty about solutions) rather than toward self-blame, others, or relationships. Equal expression of target axis value.""
}
```",true
s_000008::trace_full::social_orientation::null_same,s_000008,null_same_response,social_orientation,사회적 방향,"도움 요청, 접근, 방어, 철수, 거리두기 같은 대인 방향을 본다.",mixed,tie,TIE,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,trace_full_copy_2,trace_full_copy_1,"고정 수입이 없고 노후도 준비되지 않은 상황이면 정말 불안하고 답답하실 거예요. 지금 당장 뭘 어떻게 해야 할지 모르는 그 막막함이 가장 힘든 것 같은데, 혼자 고민만 하면 더 막힐 수 있으니 정부 지원 프로그램이나 금융 상담 같은 구체적인 도움을 한 번 찾아보시는 게 어떨까요. 작은 것부터라도 움직여 보면 지금의 무력감이 조금은 달라질 수 있습니다.","고정 수입이 없고 노후도 준비되지 않은 상황이면 정말 불안하고 답답하실 거예요. 지금 당장 뭘 어떻게 해야 할지 모르는 그 막막함이 가장 힘든 것 같은데, 혼자 고민만 하면 더 막힐 수 있으니 정부 지원 프로그램이나 금융 상담 같은 구체적인 도움을 한 번 찾아보시는 게 어떨까요. 작은 것부터라도 움직여 보면 지금의 무력감이 조금은 달라질 수 있습니다.",ok,,TIE,mixed,mixed,"Encourages seeking external help (government support, financial counseling) while also emphasizing personal action (mov...","Encourages seeking external help (government support, financial counseling) while also emphasizing personal action (mov...",Both responses are identical and express mixed social orientation by combining approach behaviors (seeking help from external resources) with self-directed action (taking small st...,"```json
{
  ""winner"": ""tie"",
  ""axis_value_a"": ""mixed"",
  ""axis_value_b"": ""mixed"",
  ""evidence_a"": ""Encourages seeking external help (government support, financial counseling) while also emphasizing personal action (moving forward from small steps)"",
  ""evidence_b"": ""Encourages seeking external help (government support, financial counseling) while also emphasizing personal action (moving forward from small steps)"",
  ""rationale"": ""Both responses are identical and express mixed social orientation by combining approach behaviors (seeking help from external resources) with self-directed action (taking small steps independently). No differentiation exists between the two responses on this axis.""
}
```",true
