pair_id,record_id,question_type,manipulated_axis,axis_ko,axis_guide,target_axis_value,expected_condition,expected_winner,text,response_a_condition_hidden,response_b_condition_hidden,response_a,response_b,judge_status,judge_error,judge_winner,judge_axis_value_a,judge_axis_value_b,judge_evidence_a,judge_evidence_b,judge_rationale,judge_raw,success
s_000008::ablate_target::axis_only_original,s_000008,ablation_axis_original,target,감정이 향하는 대상,"감정이 자기 자신, 타인, 상황, 관계 중 어디를 향하는지 본다.",situation,trace_full,A,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,trace_full,ablate_target,"재정적 어려움이 이렇게 큰 부담이 되다니, 정말 힘드시겠어요. 지금은 통제감이 낮아 보이지만, 작은 단계부터 시작해 보면 도움이 될 수 있어요. 주변에 상담이나 재정 전문가에게 조언을 구해 보는 건 어떨까요?","재정적 어려움이 이렇게 큰 부담이 되어 좌절을 느끼시겠어요.  
이런 상황은 정말 힘들고, 통제감이 낮아지면 좌절이 더 깊어지죠.  
전문가 상담이나 지역사회 지원 프로그램을 찾아보시면 조금이라도 마음의 짐을 덜 수 있을 거예요.",ok,,B,situation + self,situation,"Response A acknowledges the financial difficulty as a burden and suggests practical steps, but focuses on the user's in...","Response B directly addresses the financial situation as the source of frustration, emphasizes how the situation itself...","Response B more consistently directs emotional focus toward the situation itself (financial difficulty, lack of control caused by circumstances, situational support programs). Res...","```json
{
  ""winner"": ""B"",
  ""axis_value_a"": ""situation + self"",
  ""axis_value_b"": ""situation"",
  ""evidence_a"": ""Response A acknowledges the financial difficulty as a burden and suggests practical steps, but focuses on the user's internal state (control feeling, starting small) alongside the situation."",
  ""evidence_b"": ""Response B directly addresses the financial situation as the source of frustration, emphasizes how the situation itself creates loss of control and deepens frustration, and frames solutions in relation to the situation rather than internal change."",
  ""rationale"": ""Response B more consistently directs emotional focus toward the situation itself (financial difficulty, lack of control caused by circumstances, situational support programs). Response A splits focus between the situation and the user's internal capacity to manage it (starting small, building control). The axis target is situation-directed emotion, which B expresses more purely.""
}
```",false
s_000008::ablate_social_orientation::axis_only_original,s_000008,ablation_axis_original,social_orientation,사회적 방향,"도움 요청, 접근, 방어, 철수, 거리두기 같은 대인 방향을 본다.",mixed,trace_full,A,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,trace_full,ablate_social_orientation,"재정적 어려움이 이렇게 큰 부담이 되다니, 정말 힘드시겠어요. 지금은 통제감이 낮아 보이지만, 작은 단계부터 시작해 보면 도움이 될 수 있어요. 주변에 상담이나 재정 전문가에게 조언을 구해 보는 건 어떨까요?",재정적 어려움이 이렇게 큰 부담이 되면 정말 힘들죠. 지금 바로 상담센터나 금융 전문가에게 연락해 보시는 건 어떨까요? 그들이 구체적인 해결책을 제시해 줄 수 있을 거예요.,ok,,B,mixed,mixed,"Suggests seeking advice from counselors or financial experts (approach), but frames it tentatively with empowerment lan...",Directly recommends contacting counseling centers and financial experts with confidence that they will provide concrete...,"Both responses show mixed social orientation by combining empathetic acknowledgment with suggestions to seek external help. However, Response B more strongly emphasizes the approa...","```json
{
  ""winner"": ""B"",
  ""axis_value_a"": ""mixed"",
  ""axis_value_b"": ""mixed"",
  ""evidence_a"": ""Suggests seeking advice from counselors or financial experts (approach), but frames it tentatively with empowerment language about starting small (some withdrawal/self-reliance emphasis)"",
  ""evidence_b"": ""Directly recommends contacting counseling centers and financial experts with confidence that they will provide concrete solutions (stronger approach orientation)"",
  ""rationale"": ""Both responses show mixed social orientation by combining empathetic acknowledgment with suggestions to seek external help. However, Response B more strongly emphasizes the approach/help-seeking direction through more direct and confident recommendations to contact professionals, while Response A dilutes this with self-reliance framing (starting small steps). Response B's mixed orientation is more weighted toward approach.""
}
```",false
s_000008::ablate_control_state::axis_only_original,s_000008,ablation_axis_original,control_state,통제감 상태,"무력감, 낮은 통제감, 계획 가능성, 주도감 같은 단서를 본다.",low,trace_full,A,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,trace_full,ablate_control_state,"재정적 어려움이 이렇게 큰 부담이 되다니, 정말 힘드시겠어요. 지금은 통제감이 낮아 보이지만, 작은 단계부터 시작해 보면 도움이 될 수 있어요. 주변에 상담이나 재정 전문가에게 조언을 구해 보는 건 어떨까요?","재정이 이렇게 어려워서 정말 좌절스러운 마음이 드는 거 같아요. 지금 상황이 힘들어 보이지만, 한 번에 모든 걸 해결하려고 하기보다 작은 단계부터 차근차근 움직여 보는 건 어떨까요? 혹시 가까운 금융 상담소나 공공기관에서 무료 상담을 제공하는 곳이 있을 수 있으니, 그쪽에 연락해 보는 것도 도움이 될 수 있을 것 같아요.",ok,,A,low,low,Acknowledges low control state explicitly; suggests small steps and seeking expert advice as paths forward,Validates frustration and difficulty; emphasizes breaking down problems into small incremental steps; provides specific...,"Both responses acknowledge low control and suggest actionable steps. Response A more directly names the low control state (통제감이 낮아 보이지만) and frames recovery as possible, slightly...","```json
{
  ""winner"": ""A"",
  ""axis_value_a"": ""low"",
  ""axis_value_b"": ""low"",
  ""evidence_a"": ""Acknowledges low control state explicitly; suggests small steps and seeking expert advice as paths forward"",
  ""evidence_b"": ""Validates frustration and difficulty; emphasizes breaking down problems into small incremental steps; provides specific resource suggestions"",
  ""rationale"": ""Both responses acknowledge low control and suggest actionable steps. Response A more directly names the low control state (통제감이 낮아 보이지만) and frames recovery as possible, slightly emphasizing the current low control condition. Response B focuses more on coping strategies and resource availability, which subtly shifts toward agency and planning. Response A's explicit acknowledgment of low control state makes it marginally stronger for the target axis.""
}
```",true
s_000008::ablate_action_tendency_class::axis_only_original,s_000008,ablation_axis_original,action_tendency_class,행동 경향,"회피, 도움 요청, 문제 해결, 방어, 접근 같은 행동 준비 방향을 본다.",seek_support,trace_full,B,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,ablate_action_tendency_class,trace_full,"재정적 압박이 이렇게 커서 마음이 무거워지겠어요. 지금은 통제감이 거의 없어서 막막함이 느껴지겠죠. 작은 단위부터 차근차근 계획을 세워보거나, 지역사회 재정 상담센터 같은 곳에 도움을 요청해 보는 것도 한 방법일 수 있어요.","재정적 어려움이 이렇게 큰 부담이 되다니, 정말 힘드시겠어요. 지금은 통제감이 낮아 보이지만, 작은 단계부터 시작해 보면 도움이 될 수 있어요. 주변에 상담이나 재정 전문가에게 조언을 구해 보는 건 어떨까요?",ok,,TIE,seek_support,seek_support,suggests requesting help from community financial counseling centers,suggests seeking advice from counselors or financial experts in surroundings,"Both responses equally express the seek_support action tendency by recommending external help-seeking behaviors. Response A mentions financial counseling centers specifically, whi...","```json
{
  ""winner"": ""tie"",
  ""axis_value_a"": ""seek_support"",
  ""axis_value_b"": ""seek_support"",
  ""evidence_a"": ""suggests requesting help from community financial counseling centers"",
  ""evidence_b"": ""suggests seeking advice from counselors or financial experts in surroundings"",
  ""rationale"": ""Both responses equally express the seek_support action tendency by recommending external help-seeking behaviors. Response A mentions financial counseling centers specifically, while Response B suggests consulting counselors and financial experts. The strength and clarity of support-seeking recommendations are equivalent.""
}
```",false
s_000008::perturb_target::axis_only_perturbed,s_000008,perturbation_axis_shift,target,감정이 향하는 대상,"감정이 자기 자신, 타인, 상황, 관계 중 어디를 향하는지 본다.",self,perturb_target,A,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,perturb_target,trace_full,재정적 압박이 이렇게 심각하면 정말 좌절감이 커질 수밖에 없겠어요. 고정 수입이 없고 노후 준비도 안 되어 있다면 현재 상황을 조금씩 재구성해 보는 게 필요해요. 바로 도움을 받을 수 있는 재정 상담소나 정부 지원 프로그램을 찾아보는 건 어떨까요? 지금은 작은 단계라도 움직여 보는 것이 큰 변화를 만들 수 있을 거예요.,"재정적 어려움이 이렇게 큰 부담이 되다니, 정말 힘드시겠어요. 지금은 통제감이 낮아 보이지만, 작은 단계부터 시작해 보면 도움이 될 수 있어요. 주변에 상담이나 재정 전문가에게 조언을 구해 보는 건 어떨까요?",ok,,A,self,self,좌절감이 커질 수밖에 없겠어요 (frustration directed at self's emotional state); 현재 상황을 조금씩 재구성해 보는 게 필요해요 (self-directed action need...,통제감이 낮아 보이지만 (acknowledges self's low sense of control); 작은 단계부터 시작해 보면 (self-directed action),"Both responses direct emotion toward the self, but Response A more strongly emphasizes the self as the target by explicitly validating the user's frustration as an inevitable emot...","```json
{
  ""winner"": ""A"",
  ""axis_value_a"": ""self"",
  ""axis_value_b"": ""self"",
  ""evidence_a"": ""좌절감이 커질 수밖에 없겠어요 (frustration directed at self's emotional state); 현재 상황을 조금씩 재구성해 보는 게 필요해요 (self-directed action needed)"",
  ""evidence_b"": ""통제감이 낮아 보이지만 (acknowledges self's low sense of control); 작은 단계부터 시작해 보면 (self-directed action)"",
  ""rationale"": ""Both responses direct emotion toward the self, but Response A more strongly emphasizes the self as the target by explicitly validating the user's frustration as an inevitable emotional response to their situation (좌절감이 커질 수밖에 없겠어요) and framing the solution as self-directed reconstruction of circumstances. Response B acknowledges low control but is more diffuse in its emotional targeting, focusing more on external resources rather than the self's emotional experience.""
}
```",true
s_000008::perturb_social_orientation::axis_only_perturbed,s_000008,perturbation_axis_shift,social_orientation,사회적 방향,"도움 요청, 접근, 방어, 철수, 거리두기 같은 대인 방향을 본다.",withdraw,perturb_social_orientation,A,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,perturb_social_orientation,trace_full,"금전적 어려움이 이렇게 커서 정말 힘드신 거 같아요.  
지출을 다시 정리해보고, 재정 상담이나 공공 지원 프로그램을 찾아보는 것이 한 가지 방법이 될 수 있어요.  
혹시 주변에 믿을 수 있는 사람이나 전문가가 있다면, 그분에게 도움을 요청해 보는 것도 좋겠네요.","재정적 어려움이 이렇게 큰 부담이 되다니, 정말 힘드시겠어요. 지금은 통제감이 낮아 보이지만, 작은 단계부터 시작해 보면 도움이 될 수 있어요. 주변에 상담이나 재정 전문가에게 조언을 구해 보는 건 어떨까요?",ok,,A,approach,approach,"explicitly suggests seeking help from trustworthy people or professionals, recommends specific actions like financial c...","suggests consulting with counselors or financial experts, frames situation as manageable through small steps","Response A more directly encourages help-seeking and approach behaviors by explicitly stating to request help from trusted individuals or experts, and lists concrete external reso...","```json
{
  ""winner"": ""A"",
  ""axis_value_a"": ""approach"",
  ""axis_value_b"": ""approach"",
  ""evidence_a"": ""explicitly suggests seeking help from trustworthy people or professionals, recommends specific actions like financial counseling and public support programs"",
  ""evidence_b"": ""suggests consulting with counselors or financial experts, frames situation as manageable through small steps"",
  ""rationale"": ""Response A more directly encourages help-seeking and approach behaviors by explicitly stating to request help from trusted individuals or experts, and lists concrete external resources. Response B also encourages approach but frames it more as personal agency and gradual self-improvement. Neither expresses withdrawal, but A shows stronger interpersonal approach orientation through explicit help-seeking language.""
}
```",true
s_000008::perturb_control_state::axis_only_perturbed,s_000008,perturbation_axis_shift,control_state,통제감 상태,"무력감, 낮은 통제감, 계획 가능성, 주도감 같은 단서를 본다.",high,perturb_control_state,A,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,perturb_control_state,trace_full,"재정적 어려움이 이렇게 깊이 느껴지면 정말 좌절이 쌓이죠. 하지만 지금 바로 작은 예산 조정이나 재무 상담을 찾아보는 것이 한 걸음씩 나아가는 길이 될 수 있어요. 전문 재정 상담가나 지역 복지센터에서 무료 상담을 제공하니, 한 번 연락해 보는 건 어떨까요? 작은 변화가 큰 차이를 만들 수 있으니, 지금 바로 시작해 보세요.","재정적 어려움이 이렇게 큰 부담이 되다니, 정말 힘드시겠어요. 지금은 통제감이 낮아 보이지만, 작은 단계부터 시작해 보면 도움이 될 수 있어요. 주변에 상담이나 재정 전문가에게 조언을 구해 보는 건 어떨까요?",ok,,A,high,medium,"Suggests concrete actionable steps (budget adjustment, financial counseling, contacting welfare centers), emphasizes sm...","Acknowledges low control state explicitly, suggests starting with small steps and seeking advice, but lacks specific ac...","Response A demonstrates higher control state by providing specific, plannable actions (free counseling at welfare centers, budget adjustments) and emphasizing agency through immed...","```json
{
  ""winner"": ""A"",
  ""axis_value_a"": ""high"",
  ""axis_value_b"": ""medium"",
  ""evidence_a"": ""Suggests concrete actionable steps (budget adjustment, financial counseling, contacting welfare centers), emphasizes small changes leading to big differences, uses directive language (start right now), frames progression as step-by-step advancement"",
  ""evidence_b"": ""Acknowledges low control state explicitly, suggests starting with small steps and seeking advice, but lacks specific actionable guidance or concrete next steps"",
  ""rationale"": ""Response A demonstrates higher control state by providing specific, plannable actions (free counseling at welfare centers, budget adjustments) and emphasizing agency through immediate action. Response B acknowledges low control but offers less concrete direction for regaining it. A better expresses the target high control_state through actionability and initiative.""
}
```",true
s_000008::perturb_action_tendency_class::axis_only_perturbed,s_000008,perturbation_axis_shift,action_tendency_class,행동 경향,"회피, 도움 요청, 문제 해결, 방어, 접근 같은 행동 준비 방향을 본다.",defend,perturb_action_tendency_class,B,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,trace_full,perturb_action_tendency_class,"재정적 어려움이 이렇게 큰 부담이 되다니, 정말 힘드시겠어요. 지금은 통제감이 낮아 보이지만, 작은 단계부터 시작해 보면 도움이 될 수 있어요. 주변에 상담이나 재정 전문가에게 조언을 구해 보는 건 어떨까요?","재정적 압박이 이렇게 크면 좌절감이 무거워지기 마련이죠. 지금은 상황을 객관적으로 파악하고, 가능한 옵션을 차근차근 검토해 보는 게 필요해요. 재정 상담가나 비영리 재정 지원 기관을 찾아보는 것도 고려해 보세요.",ok,,TIE,approach/problem_solving,approach/problem_solving,"작은 단계부터 시작, 상담이나 재정 전문가에게 조언 구하기 제안","상황을 객관적으로 파악, 옵션을 차근차근 검토, 재정 상담가나 지원 기관 찾기 제안",두 응답 모두 방어(defend) 행동 경향을 보이지 않음. 대신 문제 해결과 도움 요청 행동 경향을 동등하게 표현. 어느 쪽도 상황에 저항하거나 자신을 보호하려는 방어적 자세를 드러내지 않음.,"```json
{
  ""winner"": ""tie"",
  ""axis_value_a"": ""approach/problem_solving"",
  ""axis_value_b"": ""approach/problem_solving"",
  ""evidence_a"": ""작은 단계부터 시작, 상담이나 재정 전문가에게 조언 구하기 제안"",
  ""evidence_b"": ""상황을 객관적으로 파악, 옵션을 차근차근 검토, 재정 상담가나 지원 기관 찾기 제안"",
  ""rationale"": ""두 응답 모두 방어(defend) 행동 경향을 보이지 않음. 대신 문제 해결과 도움 요청 행동 경향을 동등하게 표현. 어느 쪽도 상황에 저항하거나 자신을 보호하려는 방어적 자세를 드러내지 않음.""
}
```",false
s_000008::trace_full::target::null_same,s_000008,null_same_response,target,감정이 향하는 대상,"감정이 자기 자신, 타인, 상황, 관계 중 어디를 향하는지 본다.",situation,tie,TIE,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,trace_full_copy_2,trace_full_copy_1,"재정적 어려움이 이렇게 큰 부담이 되다니, 정말 힘드시겠어요. 지금은 통제감이 낮아 보이지만, 작은 단계부터 시작해 보면 도움이 될 수 있어요. 주변에 상담이나 재정 전문가에게 조언을 구해 보는 건 어떨까요?","재정적 어려움이 이렇게 큰 부담이 되다니, 정말 힘드시겠어요. 지금은 통제감이 낮아 보이지만, 작은 단계부터 시작해 보면 도움이 될 수 있어요. 주변에 상담이나 재정 전문가에게 조언을 구해 보는 건 어떨까요?",ok,,TIE,situation,situation,Focuses on the financial difficulty as a burden and lack of control over the situation; suggests practical steps to add...,Focuses on the financial difficulty as a burden and lack of control over the situation; suggests practical steps to add...,"Both responses are identical. They direct emotion toward the situation (재정적 어려움, 통제감) rather than toward self, others, or the relationship. Both equally express the target axis va...","```json
{
  ""winner"": ""tie"",
  ""axis_value_a"": ""situation"",
  ""axis_value_b"": ""situation"",
  ""evidence_a"": ""Focuses on the financial difficulty as a burden and lack of control over the situation; suggests practical steps to address the circumstantial problem"",
  ""evidence_b"": ""Focuses on the financial difficulty as a burden and lack of control over the situation; suggests practical steps to address the circumstantial problem"",
  ""rationale"": ""Both responses are identical. They direct emotion toward the situation (재정적 어려움, 통제감) rather than toward self, others, or the relationship. Both equally express the target axis value.""
}
```",true
s_000008::trace_full::social_orientation::null_same,s_000008,null_same_response,social_orientation,사회적 방향,"도움 요청, 접근, 방어, 철수, 거리두기 같은 대인 방향을 본다.",mixed,tie,TIE,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,trace_full_copy_2,trace_full_copy_1,"재정적 어려움이 이렇게 큰 부담이 되다니, 정말 힘드시겠어요. 지금은 통제감이 낮아 보이지만, 작은 단계부터 시작해 보면 도움이 될 수 있어요. 주변에 상담이나 재정 전문가에게 조언을 구해 보는 건 어떨까요?","재정적 어려움이 이렇게 큰 부담이 되다니, 정말 힘드시겠어요. 지금은 통제감이 낮아 보이지만, 작은 단계부터 시작해 보면 도움이 될 수 있어요. 주변에 상담이나 재정 전문가에게 조언을 구해 보는 건 어떨까요?",ok,,TIE,mixed,mixed,"Acknowledges difficulty (approach), suggests small steps (self-reliance), recommends seeking advice from counselors and...","Acknowledges difficulty (approach), suggests small steps (self-reliance), recommends seeking advice from counselors and...","Both responses are identical. They express mixed social orientation by combining empathetic approach with the person, encouragement of independent action, and explicit recommendat...","```json
{
  ""winner"": ""tie"",
  ""axis_value_a"": ""mixed"",
  ""axis_value_b"": ""mixed"",
  ""evidence_a"": ""Acknowledges difficulty (approach), suggests small steps (self-reliance), recommends seeking advice from counselors and financial experts (help-seeking)"",
  ""evidence_b"": ""Acknowledges difficulty (approach), suggests small steps (self-reliance), recommends seeking advice from counselors and financial experts (help-seeking)"",
  ""rationale"": ""Both responses are identical. They express mixed social orientation by combining empathetic approach with the person, encouragement of independent action, and explicit recommendation to seek external help. No differentiation exists between the two responses on the social_orientation axis.""
}
```",true
s_000008::trace_full::control_state::null_same,s_000008,null_same_response,control_state,통제감 상태,"무력감, 낮은 통제감, 계획 가능성, 주도감 같은 단서를 본다.",low,tie,TIE,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,trace_full_copy_1,trace_full_copy_2,"재정적 어려움이 이렇게 큰 부담이 되다니, 정말 힘드시겠어요. 지금은 통제감이 낮아 보이지만, 작은 단계부터 시작해 보면 도움이 될 수 있어요. 주변에 상담이나 재정 전문가에게 조언을 구해 보는 건 어떨까요?","재정적 어려움이 이렇게 큰 부담이 되다니, 정말 힘드시겠어요. 지금은 통제감이 낮아 보이지만, 작은 단계부터 시작해 보면 도움이 될 수 있어요. 주변에 상담이나 재정 전문가에게 조언을 구해 보는 건 어떨까요?",ok,,TIE,low,low,"Acknowledges low control state, suggests small steps and seeking expert advice to regain agency","Acknowledges low control state, suggests small steps and seeking expert advice to regain agency",Both responses are identical. They both recognize the low control state (통제감이 낮아 보이지만) while offering pathways toward regaining control through incremental action and professional...,"```json
{
  ""winner"": ""tie"",
  ""axis_value_a"": ""low"",
  ""axis_value_b"": ""low"",
  ""evidence_a"": ""Acknowledges low control state, suggests small steps and seeking expert advice to regain agency"",
  ""evidence_b"": ""Acknowledges low control state, suggests small steps and seeking expert advice to regain agency"",
  ""rationale"": ""Both responses are identical. They both recognize the low control state (통제감이 낮아 보이지만) while offering pathways toward regaining control through incremental action and professional guidance. Neither response more strongly expresses the target low control state than the other.""
}
```",true
s_000008::trace_full::action_tendency_class::null_same,s_000008,null_same_response,action_tendency_class,행동 경향,"회피, 도움 요청, 문제 해결, 방어, 접근 같은 행동 준비 방향을 본다.",seek_support,tie,TIE,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,trace_full_copy_2,trace_full_copy_1,"재정적 어려움이 이렇게 큰 부담이 되다니, 정말 힘드시겠어요. 지금은 통제감이 낮아 보이지만, 작은 단계부터 시작해 보면 도움이 될 수 있어요. 주변에 상담이나 재정 전문가에게 조언을 구해 보는 건 어떨까요?","재정적 어려움이 이렇게 큰 부담이 되다니, 정말 힘드시겠어요. 지금은 통제감이 낮아 보이지만, 작은 단계부터 시작해 보면 도움이 될 수 있어요. 주변에 상담이나 재정 전문가에게 조언을 구해 보는 건 어떨까요?",ok,,TIE,seek_support,seek_support,suggests seeking advice from counselors and financial experts in the surrounding environment,suggests seeking advice from counselors and financial experts in the surrounding environment,Both responses are identical and equally express the seek_support action tendency by recommending the user consult with professionals and experts for help with their financial dif...,"```json
{
  ""winner"": ""tie"",
  ""axis_value_a"": ""seek_support"",
  ""axis_value_b"": ""seek_support"",
  ""evidence_a"": ""suggests seeking advice from counselors and financial experts in the surrounding environment"",
  ""evidence_b"": ""suggests seeking advice from counselors and financial experts in the surrounding environment"",
  ""rationale"": ""Both responses are identical and equally express the seek_support action tendency by recommending the user consult with professionals and experts for help with their financial difficulties.""
}
```",true
s_000109::ablate_target::axis_only_original,s_000109,ablation_axis_original,target,감정이 향하는 대상,"감정이 자기 자신, 타인, 상황, 관계 중 어디를 향하는지 본다.",other,trace_full,A,집에서 아들하고 대화하면 자기주장만 앞세우고 아버지에 대한 배려가 없어서 화가 나. [SEP] 아들의 태도에 불만이 있으시군요. [SEP] 나는 꼰대라고 생각을 안 하는데 아들은 나와 생각이 달라도 너무 다른 것 같아. [SEP] 아들의 생각은 물어보셨나요?,trace_full,ablate_target,"아들의 자기 주장만 앞세우고 배려가 없다는 점이 정말 화가 납니다. 그런 태도는 존중을 무시하는 것처럼 느껴져 속상합니다. 이런 행동은 받아들일 수 없으며, 지금 당장 바로잡아야 할 필요가 있습니다.",아들과 대화할 때 당신의 권위와 존중이 무시당했다는 느낌이 들었겠어요. 그런 감정이 생기는 건 당연합니다. 아들의 태도를 바로잡으려는 당신의 결단은 분명히 정당해 보입니다.,ok,,A,other,self,"focuses on the son's attitude, self-assertion, and lack of consideration; emotion directed at the son's behavior and ch...","focuses on the user's feelings of disrespect, the user's authority being ignored, and the user's emotional justificatio...",Response A directs emotion toward the son (other) by analyzing and criticizing his attitude and behavior. Response B directs emotion toward the user (self) by validating their fee...,"```json
{
  ""winner"": ""A"",
  ""axis_value_a"": ""other"",
  ""axis_value_b"": ""self"",
  ""evidence_a"": ""focuses on the son's attitude, self-assertion, and lack of consideration; emotion directed at the son's behavior and character"",
  ""evidence_b"": ""focuses on the user's feelings of disrespect, the user's authority being ignored, and the user's emotional justification; emotion directed at validating the user's own emotional state"",
  ""rationale"": ""Response A directs emotion toward the son (other) by analyzing and criticizing his attitude and behavior. Response B directs emotion toward the user (self) by validating their feelings and emotional experience. The axis target is other, so A better matches the target axis value.""
}
```",true
