sample_id,text,label,persona_id,talk_id,profile_id,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31,z_32,z_33,z_34,z_35,z_36,z_37,z_38,z_39,z_40,z_41,z_42,z_43,z_44,z_45,z_46,z_47,z_48,z_49,z_50,z_51,z_52,z_53,z_54,z_55,z_56,z_57,z_58,z_59,z_60,z_61,z_62,z_63,dopamine,serotonin,norepinephrine,melatonin,dominant_branch_len,status,generation_status,error_message,s_block1_status,s_hat_block1_status,s_block1_raw_output,s_hat_block1_raw_output,s_block2_status,s_hat_block2_status,s_block2_raw_output,s_hat_block2_raw_output,s_block3_status,s_hat_block3_status,s_block3_raw_output,s_hat_block3_raw_output,s_block4_status,s_hat_block4_status,s_block4_raw_output,s_hat_block4_raw_output,llm_response,generation_raw_output,consistency_l1,keep_sample
s_000000,내 탓이지 모든 게 내 탓이야.  건강관리를 못 한 내 탓이지. [SEP] 좀 더 자세히 말씀해 주시겠어요? [SEP] 난 십 년 전에 위암 수술을 했어. 식단관리를 잘 안 하고 아무거나 먹었던 게 후회돼. [SEP] 건강이 악화되셔서 많이 힘드셨겠어요. 이런 상황에서 무엇을 해볼 수 있을까요? [SEP] 과거가 후회되지만 앞으로라도 열심히 건강관리를 해서 회복해야겠어. [SEP] 식단관리로 건강이 회복되길 바라요.,E55,Pro_12226,Pro_12226_00022,Pro_12226,-0.0658011361956596,-0.2149090468883514,-0.2727297842502594,-0.2606721222400665,0.1228796169161796,0.0953516289591789,-0.1461239606142044,-0.0509237572550773,0.0388745963573455,0.2555328905582428,0.033690258860588,-0.1806432157754898,-0.1049582138657569,-0.0616680607199668,-0.0805022418498992,0.0524128712713718,-0.0739439576864242,-0.272346168756485,-0.208046555519104,0.0667196065187454,-0.0499578602612018,0.0397843271493911,-0.0776114761829376,-0.1406138092279434,-0.101479671895504,-0.0852799415588378,-0.3536407053470611,0.2006402760744094,-0.2433745115995407,0.2374187111854553,-0.2753005921840668,-0.0881672501564025,-0.2272577583789825,-0.0852915719151496,0.0813100039958953,0.359290063381195,0.0467575453221797,0.0987510383129119,-0.1534226983785629,-0.0024874717928469,-0.2224095910787582,0.2348247766494751,-0.1448184996843338,-0.0986108183860778,-0.0909825190901756,-0.0568909496068954,0.1093354746699333,-0.0918692052364349,0.0464879311621189,-0.115565501153469,-0.5194346308708191,0.1319867670536041,0.1942384392023086,-0.3284627795219421,-0.1118512749671936,-0.0612763948738575,0.0692088082432746,-0.1818684339523315,0.2761877179145813,0.03310476988554,-0.0035047200508415,0.1823388785123825,0.1642811000347137,0.1381823271512985,0.1928153187036514,0.3095727562904358,0.4524437189102173,0.3164675235748291,1,error,pending,<urlopen error [WinError 10061] 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다>,pending,pending,,,pending,pending,,,pending,pending,,,pending,pending,,,,,,False
s_000001,상사는 매번 제출한 보고서는 제대로 보지도 않고 나를 불러서 물어봐. 정말 화가 나. [SEP] 상사가 보고서를 읽지도 않고 직접 불러서 물어봐 화가 나시는군요. [SEP] 아예 보고서를 제출할 때 설명을 다 하고 돌아갈지 요약표를 만들어서 보여줄지 고민이야. [SEP] 두 가지 방법 중 어떤 방법이 더 합리적일까요? [SEP] 매번 다 설명을 할 수는 없으니 요약표를 만들어서 보여드리는 게 낫겠어. [SEP] 요약표도 추가로 제출해 앞으로는 매번 가서 설명하지 않기를 바라요.,E19,Pro_07390,Pro_07390_00009,Pro_07390,0.0025999525096267,-0.2631949186325073,-0.2860783040523529,-0.3090167045593261,0.1845356523990631,0.0758118107914924,-0.2088738679885864,-0.042986512184143,0.0536672696471214,0.2824064493179321,0.021695390343666,-0.1899675279855728,-0.1310603022575378,-0.102557249367237,-0.1566973030567169,0.0145966093987226,-0.1367968022823333,-0.2819344401359558,-0.2290687263011932,0.140714630484581,0.0073342160321772,-0.004367584362626,-0.0947870761156082,-0.1852403730154037,-0.1978803277015686,-0.1318836659193039,-0.341634064912796,0.1709525436162948,-0.3007115423679352,0.2638336420059204,-0.318398505449295,-0.0408652424812316,-0.2220962047576904,0.0020820817444473,0.0720500200986862,0.384236067533493,0.1081086918711662,0.0821315944194793,-0.1641444265842437,0.0170874129980802,-0.2541857063770294,0.2830812931060791,-0.1048487350344657,-0.0361065007746219,-0.0967177599668502,-0.0039956243708729,0.0625423640012741,-0.1201374605298042,0.0853957831859588,-0.0972857698798179,-0.5686253309249878,0.1130290031433105,0.2617974877357483,-0.4329681694507599,-0.1740932315587997,-0.0194375440478324,0.167371928691864,-0.1788263320922851,0.2936237454414367,0.025554833933711,-0.0410560965538024,0.2632744312286377,0.1592984944581985,0.1238342151045799,0.1734092533588409,0.2188754379749298,0.5671969056129456,0.3638138771057129,1,error,pending,<urlopen error [WinError 10061] 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다>,pending,pending,,,pending,pending,,,pending,pending,,,pending,pending,,,,,,False
s_000002,병원비 때문에 자식들을 차마 볼 수 없어 속상해. [SEP] 사랑하는 자식들을 병원비 때문에 보지 못해서 속상하시겠어요. [SEP] 자식들에게 부끄럽고 자식들을 못 보니 너무 슬퍼. [SEP] 자식들과 다시 편하게 보려면 어떻게 해야 할까요? [SEP] 내 지금 상황을 솔직하게 말할래. [SEP] 생각대로 일이 진행되면 좋겠네요.,E56,Pro_12407,Pro_12407_00006,Pro_12407,-0.0606736242771148,-0.2268972694873809,-0.2723899483680725,-0.2643114924430847,0.1277955770492553,0.0987550392746925,-0.1510935872793197,-0.0518010146915912,0.0419307835400104,0.2564900517463684,0.0333559550344944,-0.18303944170475,-0.1033747494220733,-0.0690665766596794,-0.0896044000983238,0.0553444847464561,-0.0821919068694114,-0.2742286622524261,-0.2057956308126449,0.0708148032426834,-0.0420943461358547,0.03622467815876,-0.0747565925121307,-0.1477973461151123,-0.1141485720872879,-0.0950635075569152,-0.3503220975399017,0.1946742534637451,-0.251762717962265,0.239649161696434,-0.2847859561443329,-0.0858956202864646,-0.2276629656553268,-0.0757217034697532,0.0785476118326187,0.3573540151119232,0.0527887567877769,0.1023724600672721,-0.1499778479337692,-0.0030323844403028,-0.2215505391359329,0.2362358719110489,-0.1406767219305038,-0.0923548713326454,-0.086978904902935,-0.0516628623008728,0.1031358018517494,-0.0949453935027122,0.0551977343857288,-0.113812431693077,-0.5198456645011902,0.1238279268145561,0.1966999322175979,-0.3379755914211273,-0.1154632940888404,-0.0507759526371955,0.0733669847249984,-0.1804151684045791,0.2791741192340851,0.0356742553412914,-0.0098970243707299,0.1923864334821701,0.1657147258520126,0.1338043957948684,0.1895814836025238,0.3011772930622101,0.4652964174747467,0.3101967275142669,1,error,pending,<urlopen error [WinError 10061] 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다>,pending,pending,,,pending,pending,,,pending,pending,,,pending,pending,,,,,,False
s_000003,어느 날 거울을 보니 내가 너무 늙어있는 걸 보고 슬퍼졌어. [SEP] 자신의 모습을 보고 슬퍼지셨군요. [SEP] 집안일과 아이들이 우선이었지 나는 뒷전이었던 것 같아. 나 자신이 너무 불쌍해. [SEP] 기분이 나아지려면 무엇을 해야 할까요? [SEP] 나에게 나 관심을 가지고 내 삶을 다시 살아가고 싶어. [SEP] 자신의 삶을 찾아 이 상황을 잘 극복하시길 바라요.,E29,Pro_08600,Pro_08600_00021,Pro_08600,-0.0305371861904859,-0.2099137157201767,-0.2800970077514648,-0.3217358589172363,0.1622654795646667,0.0668026283383369,-0.1372562050819397,-0.0175759084522724,0.0410228669643402,0.265003353357315,0.0558983907103538,-0.1463055461645126,-0.1033189967274665,-0.0898465886712074,-0.1203157603740692,0.0011105122976005,-0.0812587738037109,-0.2433371096849441,-0.194931074976921,0.1317655444145202,0.0004946328117512,0.0350301228463649,-0.0890125334262847,-0.092384472489357,-0.1110602691769599,-0.0765259489417076,-0.3245559930801391,0.2067326307296753,-0.2371610254049301,0.2058324515819549,-0.2894134223461151,-0.0747855007648468,-0.195921778678894,-0.0003156787424813,0.0701503604650497,0.3622864782810211,0.0339307747781276,0.0972922816872596,-0.1479651629924774,0.0232519153505563,-0.2354144752025604,0.2328337281942367,-0.1150942295789718,-0.0948266610503196,-0.0945788845419883,-0.0305852051824331,0.0684806704521179,-0.0846152901649475,0.0673358663916587,-0.0972973927855491,-0.5218663215637207,0.1334517300128936,0.2527576684951782,-0.3745299279689789,-0.079773724079132,-0.0109803769737482,0.1255369484424591,-0.1929698139429092,0.255939245223999,0.0123274913057684,-0.0087918499484658,0.2425676584243774,0.1625041216611862,0.1412532031536102,0.1104882806539535,0.2749868929386139,0.478250503540039,0.3416879177093506,1,error,pending,<urlopen error [WinError 10061] 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다>,pending,pending,,,pending,pending,,,pending,pending,,,pending,pending,,,,,,False
s_000004,내가 지적장애가 있는데 부모님이 너무 무관심한 거 같아 마음이 아파. [SEP] 부모님이 무관심하셔서 마음이 아프시겠어요. [SEP] 친구도 없는데 부모님까지 무관심하니 너무 슬퍼. [SEP] 무관심에서 벗어나려면 어떻게 해야 할까요? [SEP] 부모님께 진심을 담아서 편지를 써봐야겠어. [SEP] 진심을 담은 편지가 부모님의 관심이 생기도록 했으면 좋겠어요.,E23,Pro_01634,Pro_01634_00013,Pro_01634,-0.0560916773974895,-0.1995341330766677,-0.2749959826469421,-0.2728536128997803,0.1310420632362365,0.079568475484848,-0.1426649391651153,-0.0405327752232551,0.0361715629696846,0.2565761208534241,0.0361512340605258,-0.1690652966499328,-0.1085005849599838,-0.0629824325442314,-0.0856702551245689,0.0305865015834569,-0.0696782693266868,-0.2606162130832672,-0.2089384198188781,0.0851557478308677,-0.0424593053758144,0.0383302643895149,-0.086428701877594,-0.1226002052426338,-0.0965495929121971,-0.0745191797614097,-0.346527099609375,0.204832911491394,-0.2345950007438659,0.2279336005449295,-0.267273485660553,-0.0808811709284782,-0.215974360704422,-0.067850649356842,0.0804428160190582,0.3622214198112488,0.0426070168614387,0.0909278765320777,-0.1562593579292297,0.0074013462290167,-0.226346418261528,0.236219897866249,-0.1369977444410324,-0.0972801744937896,-0.0979903787374496,-0.0513680651783943,0.101507730782032,-0.0879212096333503,0.0427934452891349,-0.1101567596197128,-0.5204150676727295,0.1408497989177703,0.2105820477008819,-0.3358541131019592,-0.1053374484181404,-0.0586849935352802,0.0869543552398681,-0.1841722279787063,0.2663953006267547,0.0236356239765882,0.0004501528746914,0.1900323331356048,0.1594840288162231,0.1418154090642929,0.173977792263031,0.298600435256958,0.4487626254558563,0.3337756991386413,1,error,pending,<urlopen error [WinError 10061] 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다>,pending,pending,,,pending,pending,,,pending,pending,,,pending,pending,,,,,,False
s_000005,나 오늘 학교 갔다 왔는데 혼란스러운 일이 생겼어. [SEP] 학교에서 혼란스러울 만한 일이 있었나요? [SEP] 내가 서울대를 넣은 줄 알았는데 서강대로 넣었어. [SEP] 학교에서 대학 이름을 잘못 넣어서 혼란스러우시군요.,E59,Pro_00230,Pro_00230_00002,Pro_00230,-0.1346677541732788,-0.1774279028177261,-0.2502537667751312,-0.1551591902971267,0.0413175448775291,0.1240873038768768,-0.1096272841095924,-0.0856072753667831,0.0253150723874568,0.2155597358942031,0.0098788728937506,-0.2020798623561859,-0.0847271755337715,-0.0127289649099111,0.0037758133839815,0.1170941665768623,-0.0222574882209301,-0.2777701616287231,-0.2002038210630417,-0.0384230390191078,-0.1301967203617096,0.068366602063179,-0.057196382433176,-0.1524437218904495,-0.0330061763525009,-0.0655053183436393,-0.3700082302093506,0.2004643231630325,-0.2047736793756485,0.2423437088727951,-0.22105672955513,-0.1186466664075851,-0.246373638510704,-0.20992511510849,0.0919784978032112,0.3242948949337005,0.0250372216105461,0.1075916364789009,-0.142514944076538,-0.0346197634935379,-0.1705985069274902,0.199351280927658,-0.1854880601167678,-0.1275234371423721,-0.0833759233355522,-0.1092708706855773,0.1668617725372314,-0.0767118111252784,-5.389004945755005e-05,-0.1361893415451049,-0.4609214067459106,0.1373479068279266,0.0856319665908813,-0.2017149776220321,-0.1008935570716857,-0.1292929798364639,-0.0485926419496536,-0.162749171257019,0.2714232802391052,0.0571244060993194,0.0256925895810127,0.0644183084368705,0.1600355058908462,0.1353468000888824,0.2744387090206146,0.3740716576576233,0.3373649716377258,0.2499788403511047,1,error,pending,<urlopen error [WinError 10061] 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다>,pending,pending,,,pending,pending,,,pending,pending,,,pending,pending,,,,,,False
s_000006,싫었던 친구가 있는데 막상 그 친구가 왕따가 되니까 미안해. [SEP] 왕따를 당하는 친구에게 미안함을 느끼시는군요. [SEP] 말다툼 때문에 잠깐 욱했던 거지만 왕따는 나쁜 거잖아. 친구한테 그러면 안 되는 건데. [SEP] 지금 상황을 변화시키기 위해서 할 수 있는 행동은 어떤 것이 있을까요? [SEP] 내일 밥부터 같이 먹자고 해야겠어. 밥 먹으면서 오해를 풀고 다시 친하게 지내야지. [SEP] 오해를 풀고 친구와 좋은 관계가 되길 바라요.,E57,Pro_01908,Pro_01908_00014,Pro_01908,-0.1032758951187133,-0.1694693714380264,-0.2771512567996979,-0.1867556422948837,0.0790307968854904,0.0963776111602783,-0.1695050001144409,-0.0842903181910514,0.0243709161877632,0.2592502534389496,-0.0006552039994858,-0.2172492742538452,-0.1403534114360809,0.0036578462459146,-0.0134566407650709,0.0735454633831977,-0.0500016696751117,-0.3084376752376556,-0.2603196203708648,0.0008741763886064,-0.1359322220087051,0.0410306118428707,-0.0964218378067016,-0.1865355372428894,-0.0646766498684883,-0.0575398951768875,-0.4125925004482269,0.2187457382678985,-0.2337569445371627,0.2850034832954407,-0.2187309861183166,-0.0912205576896667,-0.266086608171463,-0.2085936665534973,0.1120897233486175,0.3926986157894134,0.0636276602745056,0.0611818209290504,-0.1974230259656906,-0.020001295953989,-0.240162044763565,0.2652083039283752,-0.1897589117288589,-0.1080169826745987,-0.1210118606686592,-0.0942037925124168,0.179104596376419,-0.1008710786700248,-0.0186710376292467,-0.1421628147363662,-0.5563192367553711,0.1788974851369857,0.1476040184497833,-0.2752761840820312,-0.1755492240190506,-0.178609549999237,0.0351962745189666,-0.1781305521726608,0.2974626719951629,0.0363476686179637,0.0239513739943504,0.0843928903341293,0.1543564796447754,0.1588083356618881,0.3179702460765838,0.3590626418590545,0.4106491804122925,0.3689678907394409,1,error,pending,<urlopen error [WinError 10061] 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다>,pending,pending,,,pending,pending,,,pending,pending,,,pending,pending,,,,,,False
s_000007,나이가 들면서 나 자신이 더는 쓸모 있게 느껴지지 않아. [SEP] 노화로 인한 위기감으로 스트레스를 받고 계시는군요. [SEP] 주변 사람들도 나를 그렇게 보는 것 같아서 너무 힘들어. [SEP] 비록 힘든 상황이지만 무엇을 할 수 있을까요? [SEP] 나 자신이 쓸모없다고 생각하지 않고 생산성 있는 일을 하며 시간을 보낼래. [SEP] 생산성 있는 일을 하시면서 슬픔을 이겨내시길 바라요.,E25,Pro_08836,Pro_08836_00009,Pro_08836,-0.0069019519723951,-0.1760005503892898,-0.2989024221897125,-0.3353708684444427,0.1839656382799148,0.0301803201436996,-0.1750544309616089,-0.0123069593682885,0.0338921174407005,0.2913293838500976,0.0426999107003212,-0.1504447907209396,-0.1487371176481247,-0.0675205215811729,-0.12249556183815,-0.047096237540245,-0.0877703949809074,-0.2552711963653564,-0.2440557777881622,0.1624042987823486,-0.0133617306128144,0.0158980954438447,-0.1274092048406601,-0.1034594476222992,-0.11769700050354,-0.0538465268909931,-0.3546376824378967,0.2244105488061905,-0.2420468032360077,0.2318746894598007,-0.2647994458675384,-0.0480186454951763,-0.2023365348577499,-0.0063061476685106,0.0875919461250305,0.411750465631485,0.0580954700708389,0.0507796481251716,-0.1934611946344375,0.040254071354866,-0.2826832234859466,0.2806037366390228,-0.1169880405068397,-0.080697476863861,-0.1322327852249145,-0.02219576574862,0.0814277455210685,-0.0966295450925827,0.0370288752019405,-0.0995316803455352,-0.5831564664840698,0.1785487681627273,0.2955136299133301,-0.4112870395183563,-0.1335053294897079,-0.0648012608289718,0.1883742362260818,-0.2023754864931106,0.2640781104564667,-0.0104993404820561,0.0005798600031994,0.2410143464803695,0.1498723775148391,0.1628421545028686,0.1428938210010528,0.2598563432693481,0.5076764822006226,0.4444793462753296,1,error,pending,<urlopen error [WinError 10061] 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다>,pending,pending,,,pending,pending,,,pending,pending,,,pending,pending,,,,,,False
s_000008,얼마 전에 가입한 펀드가 너무 많이 떨어져서 화가 나. [SEP] 펀드 손실률이 높아서 아주 속상하시겠어요. 펀드 만기가 가까운가요? [SEP] 아니 아직 만기까지는 일 년 이상 남아있기는 해. [SEP] 앞으로 경기가 좋아져서 펀드 손실을 만회할 수 있으시길 바랄게요.,E18,Pro_08709,Pro_08709_00018,Pro_08709,-0.01724399253726,-0.255019873380661,-0.2817313373088836,-0.2851226329803467,0.164320096373558,0.0851247832179069,-0.2002896964550018,-0.0523370690643787,0.0503532700240612,0.2748910784721374,0.017539408057928,-0.1963798850774765,-0.1270815730094909,-0.0885991528630256,-0.1340822726488113,0.0327312014997005,-0.1239226683974266,-0.286371648311615,-0.2286795973777771,0.1126986742019653,-0.0149328410625457,0.004037179518491,-0.089515596628189,-0.1888600885868072,-0.1792676150798797,-0.125786006450653,-0.3499322831630707,0.1739815473556518,-0.2919405400753021,0.2665877640247345,-0.3065512180328369,-0.0513441115617752,-0.2297980189323425,-0.0334891155362129,0.0762080401182174,0.3787489533424377,0.1011670306324958,0.0846912190318107,-0.1635036319494247,0.007869878783822,-0.2448648512363433,0.2753700911998749,-0.1183519512414932,-0.046897392719984,-0.0952109917998313,-0.0191969461739063,0.0802100375294685,-0.1168580651283264,0.073098786175251,-0.1044399663805961,-0.559106707572937,0.1161292940378189,0.2360450476408004,-0.4046869277954101,-0.1715030670166015,-0.0392488203942775,0.1374605000019073,-0.176060602068901,0.2947436571121216,0.0316749066114425,-0.0331044569611549,0.2344993352890014,0.1598796099424362,0.1252353340387344,0.1966994553804397,0.2413034439086914,0.5400619506835938,0.349695086479187,1,error,pending,<urlopen error [WinError 10061] 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다>,pending,pending,,,pending,pending,,,pending,pending,,,pending,pending,,,,,,False
s_000009,친구가 약속 시각에 늦는다는데 뭘 하면 좋을까? [SEP] 친구분이 약속시간에 늦으셨군요. [SEP] 한 시간 정도 기다리면 될 것 같아. 어디를 가야 할지 고민 중이야. [SEP] 친구를 기다리면서 어디를 가야 할지 고민하고 계시는군요. 근처에 가볼 곳이 있을까요? [SEP] 서점에 가서 책을 볼까 해. [SEP] 친구를 기다리면서 독서를 하는 것은 좋은 생각 같아요!,E66,Pro_05157,Pro_05157_00037,Pro_05157,-0.1085851937532424,-0.2045781165361404,-0.2615773677825928,-0.1801077276468277,0.0707282498478889,0.1207607388496398,-0.1478231698274612,-0.0867243185639381,0.0326209440827369,0.2378492802381515,0.0056137824431061,-0.2141452133655548,-0.1050720363855362,-0.0242408774793148,-0.0267215799540281,0.1052201017737388,-0.054980956017971,-0.2960864901542663,-0.2209041565656662,-0.0105801671743392,-0.1128721684217453,0.0480709262192249,-0.0671204179525375,-0.1841060519218444,-0.0780147761106491,-0.0859832689166069,-0.3812005221843719,0.1946208626031875,-0.2384727299213409,0.2661424875259399,-0.2451192140579223,-0.1018816605210304,-0.2561677098274231,-0.1856540143489837,0.0940087810158729,0.3503903150558471,0.0558812953531742,0.0968480855226516,-0.1582381427288055,-0.0295444354414939,-0.2000046819448471,0.2316941320896148,-0.1775355637073516,-0.1046709343791008,-0.0897978395223617,-0.0899383947253227,0.1570387780666351,-0.0947972536087036,0.013968457467854,-0.1346705853939056,-0.5058808922767639,0.1356041729450225,0.1200798153877258,-0.2597725093364715,-0.1414616852998733,-0.1245677396655082,-0.0013275436358526,-0.1666458696126938,0.2904282808303833,0.0542002022266387,0.0090903891250491,0.099946528673172,0.1617051661014557,0.1353033930063247,0.2842478454113006,0.3480429649353027,0.4020665884017944,0.2868225574493408,1,error,pending,<urlopen error [WinError 10061] 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다>,pending,pending,,,pending,pending,,,pending,pending,,,pending,pending,,,,,,False
