text,label,persona_id,talk_id,profile_id,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31,z_32,z_33,z_34,z_35,z_36,z_37,z_38,z_39,z_40,z_41,z_42,z_43,z_44,z_45,z_46,z_47,z_48,z_49,z_50,z_51,z_52,z_53,z_54,z_55,z_56,z_57,z_58,z_59,z_60,z_61,z_62,z_63,dopamine,serotonin,norepinephrine,melatonin
일은 왜 해도 해도 끝이 없을까? 화가 난다. [SEP] 많이 힘드시겠어요. 주위에 의논할 상대가 있나요? [SEP] 그냥 내가 해결하는 게 나아. 남들한테 부담 주고 싶지도 않고. [SEP] 혼자 해결하기로 했군요. 혼자서 해결하기 힘들면 주위에 의논할 사람을 찾아보세요.,E18,Pro_05349,Pro_05349_00053,Pro_05349,-0.014949024,-0.24122152,-0.29370484,-0.29226413,0.17159705,0.0747408,-0.2187005,-0.053146895,0.046831436,0.29310665,0.015334879,-0.20262508,-0.15164149,-0.071023025,-0.12707877,0.017199593,-0.12559897,-0.30165392,-0.25678712,0.11806003,-0.030146949,-0.0010505017,-0.1069301,-0.19751501,-0.17521793,-0.11135623,-0.37698698,0.19128016,-0.29520655,0.28409404,-0.29706657,-0.04728768,-0.24227227,-0.05132126,0.08936766,0.4103175,0.10821983,0.06338456,-0.19132876,0.0114774285,-0.27599454,0.30001283,-0.12985219,-0.050625436,-0.114343755,-0.022506313,0.097322725,-0.123955846,0.0550601,-0.11199561,-0.59677494,0.14316168,0.25450325,-0.4187175,-0.19779985,-0.07530181,0.1613164,-0.18578327,0.3056037,0.021911725,-0.026053712,0.22836156,0.15848528,0.14165437,0.2241831,0.2541058,0.55638385,0.40478548
이번 달에 또 급여가 깎였어! 물가는 오르는데 월급만 자꾸 깎이니까 너무 화가 나. [SEP] 급여가 줄어 속상하시겠어요. 월급이 줄어든 것을 어떻게 보완하실 건가요? [SEP] 최대한 지출을 억제해야겠어. 월급이 줄어들었으니 고정지출을 줄일 수밖에 없을 것 같아. [SEP] 월급이 줄어든 만큼 소비를 줄일 계획이군요.,E18,Pro_05349,Pro_05349_00049,Pro_05349,-0.015843663,-0.24445184,-0.2826126,-0.31567097,0.17309387,0.077093005,-0.17363855,-0.032220237,0.049045198,0.27411535,0.04029609,-0.17058843,-0.11476426,-0.098552406,-0.13981687,0.01444725,-0.111912236,-0.26590222,-0.20977446,0.13308331,0.0053207036,0.01599524,-0.08808393,-0.14314449,-0.1578675,-0.1089481,-0.33383882,0.18755738,-0.27295843,0.23640387,-0.30988666,-0.06086166,-0.21179497,0.0005213832,0.070323594,0.3718548,0.07134721,0.09420356,-0.15370078,0.01747332,-0.2439746,0.25669,-0.11122129,-0.06643919,-0.09201023,-0.017712468,0.06542982,-0.103545286,0.080728665,-0.09834585,-0.5450691,0.11850331,0.2546857,-0.40473118,-0.12645684,-0.010862664,0.14249183,-0.18603091,0.27791217,0.021889815,-0.027527874,0.2552866,0.16352619,0.13100521,0.1428024,0.24988022,0.5270958,0.34554374
회사에 신입이 들어왔는데 말투가 거슬려. 그런 애를 매일 봐야 한다고 생각하니까 스트레스 받아. [SEP] 회사 동료 때문에 스트레스를 많이 받는 것 같아요. 문제 해결을 위해 어떤 노력을 하면 좋을까요? [SEP] 잘 안 맞는 사람이랑 억지로 잘 지내는 것보단 조금은 거리를 두고 예의를 갖춰서 대하는 게 덜 스트레스받을 것 같아. [SEP] 스트레스받지 않기 위해선 인간관계에 있어 약간의 거리를 두는 게 좋겠군요.,E18,Pro_05349,Pro_05349_00077,Pro_05349,-0.047761068,-0.23768266,-0.27734354,-0.2642488,0.13817486,0.09615172,-0.17708711,-0.05784515,0.04462038,0.26620477,0.022604443,-0.1956955,-0.11816694,-0.06960449,-0.1007633,0.05180502,-0.09929087,-0.28721136,-0.22284286,0.07862302,-0.041641332,0.022413375,-0.08212939,-0.17513455,-0.13990532,-0.10725544,-0.36001208,0.1879588,-0.27086252,0.25969818,-0.2903797,-0.072873816,-0.23622076,-0.07518088,0.08178863,0.37188816,0.07689293,0.09145679,-0.161672,-0.0021807516,-0.23512858,0.25788084,-0.13832124,-0.07440204,-0.09319648,-0.042859685,0.10332008,-0.10688377,0.056306053,-0.11432051,-0.5438212,0.12500046,0.20703559,-0.3620133,-0.14959887,-0.06061119,0.095597096,-0.17851001,0.29136297,0.035814997,-0.017770354,0.19936424,0.16343662,0.13257685,0.21144928,0.28398,0.49614203,0.3325315
직장에서 막내라는 이유로 나에게만 온갖 심부름을 시켜. 일도 많은 데 정말 분하고 섭섭해. [SEP] 관련 없는 심부름을 모두 하게 되어서 노여우시군요. 어떤 것이 상황을 나아질 수 있게 도움을 줄까요? [SEP] 직장 사람들과 솔직하게 이야기해보고 싶어. 일하는 데에 방해된다고. [SEP] 직장 사람들과 이야기를 해 보겠다고 결심하셨군요.,E18,Pro_05349,Pro_05349_00064,Pro_05349,-0.048838314,-0.2057536,-0.27643257,-0.28320825,0.13921945,0.07792456,-0.14550564,-0.03706155,0.038146537,0.2595126,0.038863134,-0.16671953,-0.10862363,-0.069913544,-0.09554579,0.025558388,-0.075667724,-0.2593427,-0.20748582,0.09566815,-0.03240398,0.035518065,-0.0868842,-0.12152986,-0.10497208,-0.07855435,-0.34276322,0.20319395,-0.23918478,0.22644073,-0.27457315,-0.078050196,-0.2133372,-0.052824147,0.07819668,0.3633483,0.044788048,0.09202619,-0.15507802,0.010260236,-0.22937919,0.23812596,-0.13176906,-0.09367118,-0.09694157,-0.045362245,0.09389229,-0.08929337,0.049750168,-0.10745276,-0.52341634,0.13757245,0.22025806,-0.3480334,-0.10481849,-0.04810057,0.09742626,-0.18540283,0.26655835,0.02218791,-0.0036764015,0.20326817,0.1603096,0.14059244,0.1634716,0.2906953,0.46077317,0.33598408
얼마 전 입사한 신입사원이 나를 무시하는 것 같아서 너무 화가 나. [SEP] 무시하는 것 같은 태도에 화가 나셨군요. 상대방의 어떤 행동이 그런 감정을 유발하는 것일까요? [SEP] 상사인 나에게 먼저 인사하지 않아서 매일 내가 먼저 인사한다고! [SEP] 항상 먼저 인사하게 되어 화가 나셨군요. 어떻게 하면 신입사원에게 화났음을 표현할 수 있을까요?,E18,Pro_05349,Pro_05349_00039,Pro_05349,0.8707407,1.0,1.0,1.0,1.0,0.99999994,-0.99804014,-0.99950045,-0.9364278,-0.9976074,0.99999994,-0.9965087,1.0,-0.9986782,0.99999994,1.0,-1.0,0.7049577,1.0,0.9109187,0.9997255,-0.7936401,-0.9999435,-1.0,0.99992985,-1.0,0.9351241,0.99999994,0.89800763,-1.0,-1.0,1.0,-0.99999994,0.9857714,-1.0,1.0,1.0,1.0,0.98991114,0.99912,-0.84935963,-0.94387704,-0.99213266,0.999526,0.99999976,-0.9999959,0.9925402,-0.973307,1.0,0.45585358,0.94931966,0.99991107,0.99099225,0.9999958,-0.99999994,-0.9999898,0.8003816,1.0,-0.9999995,-1.0,-0.99999994,-1.0,-0.9330459,1.0,0.11991418,0.1705963,0.68747085,0.38500232
직장에 다니고 있지만 시간만 버리는 거 같아. 진지하게 진로에 대한 고민이 생겨. [SEP] 진로에 대해서 고민하고 계시는군요. 어떤 점이 고민인가요? [SEP] 직장 상사한테 자주 지적을 받아. 그럴 때마다 이 업무는 나랑 맞지 않는 거 같이 느껴져. [SEP] 업무가 나와 맞지 않아 시간을 버리는 것 같이 느껴지셨군요.,E18,Pro_05349,Pro_05349_00062,Pro_05349,-0.046006586,-0.21086898,-0.27724093,-0.28138208,0.14112926,0.07898404,-0.15318479,-0.040010188,0.03929597,0.26160964,0.035213657,-0.17161976,-0.11197352,-0.070394665,-0.098490976,0.027212046,-0.08114156,-0.26394624,-0.21170458,0.095841765,-0.032728728,0.031601783,-0.087703474,-0.1315478,-0.1134072,-0.083802216,-0.3455156,0.20006737,-0.24573039,0.23301658,-0.27714178,-0.07485096,-0.21665765,-0.05410597,0.0788535,0.36630788,0.052417617,0.09007975,-0.15742743,0.009389073,-0.23189327,0.24375692,-0.13146177,-0.088108666,-0.09754854,-0.043181334,0.09426413,-0.09307549,0.05086925,-0.1078942,-0.5291708,0.13619259,0.22089073,-0.35386765,-0.115181044,-0.050417166,0.10144701,-0.18414253,0.27085513,0.023530422,-0.006631087,0.20448348,0.16002873,0.13926056,0.17137688,0.28602117,0.46967328,0.33917004
성인인데도 진로를 아직도 못 정했다고 부모님이 노여워하셔. 나도 섭섭해. [SEP] 부모님의 노여움에 섭섭하시군요. 이런 상황을 어떻게 해결하면 좋을까요? [SEP] 부모님께 좀 더 시간을 달라고 해야겠어. 진로 테스트를 받아볼까 생각 중이야. [SEP] 진로 테스트를 받아보겠다고 부모님께 말씀드릴 생각이군요.,E18,Pro_05349,Pro_05349_00033,Pro_05349,-0.038616527,-0.22065303,-0.27838948,-0.2646746,0.14192551,0.0800856,-0.17927012,-0.052628208,0.041154977,0.26515064,0.017097311,-0.19008234,-0.12481548,-0.066762514,-0.102325976,0.033186037,-0.095612764,-0.2784381,-0.22860815,0.09086368,-0.041409694,0.017897483,-0.09231514,-0.16760889,-0.1383035,-0.099015385,-0.35546133,0.1878664,-0.26436657,0.25705993,-0.2770618,-0.061587304,-0.22784683,-0.06845867,0.0824156,0.37484843,0.080456086,0.079479456,-0.16674864,0.0058702487,-0.23666613,0.26328325,-0.13165106,-0.06698556,-0.10208087,-0.03820834,0.099686764,-0.105294354,0.04785407,-0.109814435,-0.5454654,0.13454513,0.21625456,-0.36556947,-0.15475802,-0.067909546,0.110645525,-0.17675,0.28368166,0.028365701,-0.013663742,0.19749309,0.15580416,0.13433632,0.20735595,0.26874563,0.49000132,0.35074306
퇴사한 지 얼마 안 됐지만 천천히 직장을 구해보려고. [SEP] 천천히라도 직장을 구해 보려고 하시는군요. 특별한 이유가 있으신가요? [SEP] 더 좋은 회사가 기다리고 있을지도 모르는데 쉬고 있기가 좀 그래. [SEP] 좋은 일자리를 놓치고 싶지 않아 끊임없이 노력하시는군요. 하는 일이 잘 풀리시길 바라요.,E66,Pro_05397,Pro_05397_00049,Pro_05397,-0.11068065,-0.13396083,-0.2710035,-0.17982644,0.06651128,0.0818555,-0.14072195,-0.073673226,0.016448569,0.24382752,0.0026797366,-0.19794938,-0.13009574,0.010193382,0.0020883314,0.059608318,-0.02328565,-0.28345978,-0.24739781,0.00023657829,-0.14074615,0.05253965,-0.09879553,-0.1481715,-0.030059492,-0.03341165,-0.39700067,0.22494747,-0.20170055,0.25988483,-0.19210364,-0.09365318,-0.24745841,-0.20857358,0.10945647,0.37707072,0.04016639,0.059866715,-0.18908478,-0.013345451,-0.22245246,0.24505232,-0.18635407,-0.11998364,-0.123792194,-0.10130934,0.17754012,-0.08463509,-0.032550395,-0.1371248,-0.5272507,0.1882693,0.13961075,-0.24306352,-0.14331505,-0.17980325,0.020647014,-0.17626292,0.27398774,0.029114649,0.039116256,0.066514336,0.14718182,0.16128986,0.2934761,0.36258024,0.36125332,0.360131
졸업반이라서 취업을 생각해야 하는데 지금 너무 느긋해서 이래도 되나 싶어. [SEP] 취업에 대해 걱정이 되는군요. [SEP] 응. 느긋함을 느끼는 내가 좀 싫었는데 걱정을 많이 하는 것보다는 낫다는 생각도 들어. [SEP] 걱정보다는 느긋한 태도가 낫다고 생각하시는군요.,E37,Pro_05368,Pro_05368_00075,Pro_05368,-0.1014013,-0.17772862,-0.2670836,-0.21793902,0.084910244,0.09943013,-0.12526327,-0.062027015,0.02794076,0.24235387,0.026731424,-0.1847905,-0.10338186,-0.02758705,-0.031321865,0.06969786,-0.0397441,-0.273667,-0.21273868,0.02068352,-0.095987014,0.057093326,-0.077123806,-0.13210103,-0.05115753,-0.05753581,-0.37027767,0.2150881,-0.21397428,0.23719157,-0.2375675,-0.10464931,-0.23594005,-0.15171018,0.09229512,0.3550494,0.027088994,0.093450665,-0.1595738,-0.0132594425,-0.21025304,0.22208628,-0.16993965,-0.12314718,-0.09770887,-0.08697986,0.14479044,-0.08140862,0.011333249,-0.12798738,-0.50396556,0.1526336,0.15290079,-0.26663312,-0.10318868,-0.10994453,0.020634763,-0.17980571,0.27094844,0.036002323,0.020095864,0.12027216,0.16084807,0.14807391,0.23186922,0.35326546,0.38906786,0.31067666
요즘 직장생활이 너무 편하고 좋은 것 같아! [SEP] 직장생활이 편하고 좋으시다니 좋아 보여요. 다니고 계신 회사만의 장점이 있나요? [SEP] 우리 회사는 복지가 정말 좋아! 내가 곧 출산하게 되는데 육아휴직 기간도 긴 데다가 소정의 지원금도 제공해줘! [SEP] 예비 엄마들에게는 정말 꿈의 회사인 것 같네요. 마음이 편하시겠어요.,E66,Pro_05397,Pro_05397_00023,Pro_05397,-0.17975757,-0.20652902,-0.24690768,-0.07736791,-0.0036717919,0.1730164,-0.13905123,-0.13573432,0.02735475,0.21729438,-0.017057277,-0.25864846,-0.095301524,0.023867402,0.05059827,0.19344214,-0.028303161,-0.33516166,-0.2282272,-0.12660196,-0.19494742,0.07022394,-0.040715493,-0.23703381,-0.036641873,-0.08839604,-0.42341873,0.19531612,-0.23292775,0.30017635,-0.22046256,-0.14001077,-0.30233774,-0.3191826,0.111016914,0.33665884,0.052227348,0.11082993,-0.15905122,-0.07407929,-0.17149442,0.21618009,-0.23125494,-0.13247687,-0.07799414,-0.14269084,0.22512333,-0.09673794,-0.020432306,-0.16652958,-0.48531356,0.13360988,0.011872978,-0.15563752,-0.16149712,-0.19737434,-0.11509739,-0.15365422,0.3157587,0.08822021,0.024949048,-0.007733693,0.16996036,0.134381,0.40126163,0.4297949,0.33680195,0.22820194
취업해야 할 나이인데 취업하고 싶지가 않아. [SEP] 취업하고 싶지 않으시군요. 혹시 어떤 이유가 있을까요? [SEP] 아직 조금 더 놀고 싶은 마음이 커. 인생은 긴데 꼭 빨리 취업해야 할까 싶어. [SEP] 아직은 인생을 즐기고 싶은 마음이시군요.,E66,Pro_05397,Pro_05397_00047,Pro_05397,-0.08543961,-0.21574634,-0.27087978,-0.24097095,0.10584883,0.10960686,-0.14316973,-0.062208064,0.037621588,0.25354046,0.03164531,-0.19121425,-0.10345167,-0.048697792,-0.0604362,0.074487686,-0.06692745,-0.28435463,-0.21083246,0.038132615,-0.07098611,0.04699057,-0.07131296,-0.151771,-0.08825571,-0.08340596,-0.36804208,0.2051767,-0.24167578,0.24593076,-0.2711597,-0.10081023,-0.24083702,-0.120973215,0.086826324,0.3595461,0.042557146,0.10272706,-0.1557484,-0.013764789,-0.2199577,0.231465,-0.16099785,-0.110182345,-0.08868097,-0.07162815,0.12854967,-0.09224205,0.037845336,-0.12509574,-0.5188473,0.13390611,0.17110933,-0.3054985,-0.11454198,-0.0805839,0.041722976,-0.18177672,0.28408322,0.04061611,0.0013336419,0.15807442,0.16828497,0.14084876,0.22093405,0.33655545,0.4385115,0.30591676
