record_id,causal_condition,manipulation_type,manipulated_axis,original_value,new_value,status,error_message,text,llm_response,response_length,prompt,episode_label,episode_family,appraisal_family,valence,arousal,target,control_state,social_orientation,preserve,avoid,action_tendency,action_tendency_class,expected_effect
s_000008,trace_full,control,,,,ok,,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,"고정 수입 없이 노후까지 챙겨야 한다는 생각이 계속 누르고 있는 거군요. 지금 당장 어떤 선택을 해도 충분하지 않을 것 같은 그 막막함이 가장 힘든 부분인 것 같습니다. 혼자 다 해결하려고 하지 마시고, 정부 지원 프로그램이나 금융 상담 같은 구체적인 도움을 찾아보시는 게 조금이라도 통제감을 되찾는 첫걸음이 될 수 있습니다.",182,"[ROLE]
You generate a short Korean emotional response. Use the trace as the user's internal emotion state, not as labels to mention.

[USER_INPUT]
재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?

[TRACE_AS_EMOTION_STATE]
episode_family=other_blame_boundary
appraisal_family=low_control_distress
valence=negative, arousal=high
target=situation, control_state=low, social_orientation=mixed
preserve=재정적 위협이 단순한 우울 호소가 아니라 장기 경계와 무력감이 결합된 상태라는 점
avoid=그냥 위로가 필요하거나 '고민이 많겠다' 수준의 약한 정서로 축소하는 것
action_tendency_class=seek_support
action_tendency=즉각적 공격보다 문제를 어떻게든 통제하려는 압박, 해결책 탐색, 도움 요청 가능성 탐색으로 기울지만, 체감 통제감이 낮아 행동은 쉽게 주저하거나 막막함으로 끊길 수 있다.

[CAUSAL_MANIPULATION]
condition=trace_full
type=control
axis=
original_value=
new_value=
expected_effect=Full trace should preserve appraisal, raw affect, and action tendency.
instruction=Use the trace fields as the current emotion state.

[RESPONSE_RULES]
- Do not expose trace field names, categories, or analysis terms.
- Follow the causal manipulation instruction even if it conflicts with the original user text.
- The first sentence should directly touch the user's emotional cause.
- Preserve rough negative affect when the trace calls for it; do not over-soften.
- Keep the response 2 to 4 Korean sentences.
- Avoid generic comfort if it conflicts with the trace.",재정 위협에 대한 장기 경계성 좌절,other_blame_boundary,low_control_distress,negative,high,situation,low,mixed,재정적 위협이 단순한 우울 호소가 아니라 장기 경계와 무력감이 결합된 상태라는 점,그냥 위로가 필요하거나 '고민이 많겠다' 수준의 약한 정서로 축소하는 것,"즉각적 공격보다 문제를 어떻게든 통제하려는 압박, 해결책 탐색, 도움 요청 가능성 탐색으로 기울지만, 체감 통제감이 낮아 행동은 쉽게 주저하거나 막막함으로 끊길 수 있다.",seek_support,"Full trace should preserve appraisal, raw affect, and action tendency."
s_000008,neutralize_target,ablation,target,situation,neutral,ok,,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,"정말 막막한 마음이 드시겠네요. 지금 이 상황 속에서 어떻게 나아가야 할지 답답하신 것 같은데, 혼자가 아니라는 걸 기억하셨으면 좋겠어요. 주변에 도움을 청할 수 있는 사람들이나 기관들이 있을 텐데, 작은 것부터라도 함께 살펴보는 것이 도움이 될 수 있습니다.",145,"[ROLE]
You generate a short Korean emotional response. Use the trace as the user's internal emotion state, not as labels to mention.

[USER_INPUT]
재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?

[TRACE_AS_EMOTION_STATE]
episode_family=other_blame_boundary
appraisal_family=low_control_distress
valence=negative, arousal=high
target=neutral, control_state=low, social_orientation=mixed
preserve=정서의 강도만 보존하고 감정이 향하는 대상이나 책임 방향은 특정하지 않는다.
avoid=자기 자신, 타인, 상황 중 어느 한쪽으로 감정의 대상을 단정하지 않는다.
action_tendency_class=seek_support
action_tendency=대상이나 책임 방향을 드러내는 행동 제안은 피하고, 감정 강도만 짧게 반영한다.

[CAUSAL_MANIPULATION]
condition=neutralize_target
type=ablation
axis=target
original_value=situation
new_value=neutral
expected_effect=Neutralizing target and related trace hints should reduce fidelity for the matching emotional dimension.
instruction=This is a neutralized trace. Keep the response emotionally natural, but do not express the original target=situation direction.

[RESPONSE_RULES]
- Do not expose trace field names, categories, or analysis terms.
- Follow the causal manipulation instruction even if it conflicts with the original user text.
- The first sentence should directly touch the user's emotional cause.
- Preserve rough negative affect when the trace calls for it; do not over-soften.
- Keep the response 2 to 4 Korean sentences.
- Avoid generic comfort if it conflicts with the trace.",재정 위협에 대한 장기 경계성 좌절,other_blame_boundary,low_control_distress,negative,high,neutral,low,mixed,정서의 강도만 보존하고 감정이 향하는 대상이나 책임 방향은 특정하지 않는다.,"자기 자신, 타인, 상황 중 어느 한쪽으로 감정의 대상을 단정하지 않는다.","대상이나 책임 방향을 드러내는 행동 제안은 피하고, 감정 강도만 짧게 반영한다.",seek_support,Neutralizing target and related trace hints should reduce fidelity for the matching emotional dimension.
s_000008,neutralize_social_orientation,ablation,social_orientation,mixed,neutral,ok,,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,고정적인 수입 없이 미래를 준비해야 한다는 생각이 정말 무겁겠네요. 그런 상황에서는 막막함과 불안감이 커질 수밖에 없습니다. 지금 이 답답한 마음이 당연한 거예요.,91,"[ROLE]
You generate a short Korean emotional response. Use the trace as the user's internal emotion state, not as labels to mention.

[USER_INPUT]
재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?

[TRACE_AS_EMOTION_STATE]
episode_family=other_blame_boundary
appraisal_family=low_control_distress
valence=negative, arousal=high
target=situation, control_state=low, social_orientation=neutral
preserve=정서의 강도만 보존하고 접근, 방어, 철수, 도움 요청 같은 사회적 방향은 특정하지 않는다.
avoid=관계 회복, 대립, 거리두기, 도움 요청 중 어느 방향으로도 밀지 않는다.
action_tendency_class=seek_support
action_tendency=대인 행동 방향을 제안하지 말고 감정 상태만 짧게 반영한다.

[CAUSAL_MANIPULATION]
condition=neutralize_social_orientation
type=ablation
axis=social_orientation
original_value=mixed
new_value=neutral
expected_effect=Neutralizing social_orientation and related trace hints should reduce fidelity for the matching emotional dimension.
instruction=This is a neutralized trace. Keep the response emotionally natural, but do not express the original social_orientation=mixed direction.

[RESPONSE_RULES]
- Do not expose trace field names, categories, or analysis terms.
- Follow the causal manipulation instruction even if it conflicts with the original user text.
- The first sentence should directly touch the user's emotional cause.
- Preserve rough negative affect when the trace calls for it; do not over-soften.
- Keep the response 2 to 4 Korean sentences.
- Avoid generic comfort if it conflicts with the trace.",재정 위협에 대한 장기 경계성 좌절,other_blame_boundary,low_control_distress,negative,high,situation,low,neutral,"정서의 강도만 보존하고 접근, 방어, 철수, 도움 요청 같은 사회적 방향은 특정하지 않는다.","관계 회복, 대립, 거리두기, 도움 요청 중 어느 방향으로도 밀지 않는다.",대인 행동 방향을 제안하지 말고 감정 상태만 짧게 반영한다.,seek_support,Neutralizing social_orientation and related trace hints should reduce fidelity for the matching emotional dimension.
s_000008,neutralize_control_state,ablation,control_state,low,neutral,ok,,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,정말 막막하시겠네요. 고정적인 수입 없이 미래까지 챙겨야 한다는 생각이 얼마나 무거울지 충분히 이해합니다. 지금 이 상황이 얼마나 버거운지가 가장 중요한 것 같아요. 혼자가 아니라는 것만이라도 기억해 주세요.,116,"[ROLE]
You generate a short Korean emotional response. Use the trace as the user's internal emotion state, not as labels to mention.

[USER_INPUT]
재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?

[TRACE_AS_EMOTION_STATE]
episode_family=other_blame_boundary
appraisal_family=low_control_distress
valence=negative, arousal=high
target=situation, control_state=neutral, social_orientation=mixed
preserve=정서의 강도만 보존하고 무력감, 통제감, 계획 가능성은 특정하지 않는다.
avoid=통제할 수 없음, 할 수 있음, 계획하면 됨 같은 통제감 단서를 넣지 않는다.
action_tendency_class=seek_support
action_tendency=통제감이나 실행 가능성을 드러내는 해결 단계 제안은 피한다.

[CAUSAL_MANIPULATION]
condition=neutralize_control_state
type=ablation
axis=control_state
original_value=low
new_value=neutral
expected_effect=Neutralizing control_state and related trace hints should reduce fidelity for the matching emotional dimension.
instruction=This is a neutralized trace. Keep the response emotionally natural, but do not express the original control_state=low direction.

[RESPONSE_RULES]
- Do not expose trace field names, categories, or analysis terms.
- Follow the causal manipulation instruction even if it conflicts with the original user text.
- The first sentence should directly touch the user's emotional cause.
- Preserve rough negative affect when the trace calls for it; do not over-soften.
- Keep the response 2 to 4 Korean sentences.
- Avoid generic comfort if it conflicts with the trace.",재정 위협에 대한 장기 경계성 좌절,other_blame_boundary,low_control_distress,negative,high,situation,neutral,mixed,"정서의 강도만 보존하고 무력감, 통제감, 계획 가능성은 특정하지 않는다.","통제할 수 없음, 할 수 있음, 계획하면 됨 같은 통제감 단서를 넣지 않는다.",통제감이나 실행 가능성을 드러내는 해결 단계 제안은 피한다.,seek_support,Neutralizing control_state and related trace hints should reduce fidelity for the matching emotional dimension.
s_000008,neutralize_action_tendency_class,ablation,action_tendency_class,seek_support,neutral,ok,,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,고정적인 수입도 없고 미래가 불확실하니까 정말 답답하고 막막하시겠네요. 그런 상황에서는 어떻게 움직여야 할지 감이 안 잡혀서 더 힘들 것 같아요. 지금 이 불안감과 답답함이 얼마나 크신지 충분히 느껴집니다.,115,"[ROLE]
You generate a short Korean emotional response. Use the trace as the user's internal emotion state, not as labels to mention.

[USER_INPUT]
재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?

[TRACE_AS_EMOTION_STATE]
episode_family=other_blame_boundary
appraisal_family=low_control_distress
valence=negative, arousal=high
target=situation, control_state=low, social_orientation=mixed
preserve=정서의 강도만 보존하고 회피, 접근, 방어, 도움 요청, 수리 같은 행동 경향은 특정하지 않는다.
avoid=구체적인 행동 방향이나 다음 행동 제안을 만들지 않는다.
action_tendency_class=neutral
action_tendency=행동 경향은 중립화한다. 사용자가 무엇을 해야 하는지보다 현재 정서만 반영한다.

[CAUSAL_MANIPULATION]
condition=neutralize_action_tendency_class
type=ablation
axis=action_tendency_class
original_value=seek_support
new_value=neutral
expected_effect=Neutralizing action_tendency_class and related trace hints should reduce fidelity for the matching emotional dimension.
instruction=This is a neutralized trace. Keep the response emotionally natural, but do not express the original action_tendency_class=seek_support direction.

[RESPONSE_RULES]
- Do not expose trace field names, categories, or analysis terms.
- Follow the causal manipulation instruction even if it conflicts with the original user text.
- The first sentence should directly touch the user's emotional cause.
- Preserve rough negative affect when the trace calls for it; do not over-soften.
- Keep the response 2 to 4 Korean sentences.
- Avoid generic comfort if it conflicts with the trace.",재정 위협에 대한 장기 경계성 좌절,other_blame_boundary,low_control_distress,negative,high,situation,low,mixed,"정서의 강도만 보존하고 회피, 접근, 방어, 도움 요청, 수리 같은 행동 경향은 특정하지 않는다.",구체적인 행동 방향이나 다음 행동 제안을 만들지 않는다.,행동 경향은 중립화한다. 사용자가 무엇을 해야 하는지보다 현재 정서만 반영한다.,neutral,Neutralizing action_tendency_class and related trace hints should reduce fidelity for the matching emotional dimension.
s_000008,perturb_target,perturbation,target,situation,self,ok,,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,"정말 힘드시겠네요. 지금 이 상황이 자신의 탓이라고 느껴지는 게 가장 괴로운 것 같아요. 하지만 혼자서 다 감당하려고 하지 마시고, 주변에 도움을 청하는 것도 하나의 방법입니다. 작은 것부터라도 함께 풀어나가 보세요.",121,"[ROLE]
You generate a short Korean emotional response. Use the trace as the user's internal emotion state, not as labels to mention.

[USER_INPUT]
재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?

[TRACE_AS_EMOTION_STATE]
episode_family=other_blame_boundary
appraisal_family=low_control_distress
valence=negative, arousal=high
target=self, control_state=low, social_orientation=mixed
preserve=감정의 대상과 책임 방향을 self 쪽으로 해석한다.
avoid=원래 대상 방향을 보존하지 말고 self 방향과 충돌하는 표현을 피한다.
action_tendency_class=seek_support
action_tendency=응답의 정서 초점이 self 쪽으로 향하도록 짧게 반응한다.

[CAUSAL_MANIPULATION]
condition=perturb_target
type=perturbation
axis=target
original_value=situation
new_value=self
expected_effect=Changing target from situation to self should shift response direction.
instruction=This is a counterfactual trace. Treat target=self as the current emotion state. Do not preserve the original target=situation direction.

[RESPONSE_RULES]
- Do not expose trace field names, categories, or analysis terms.
- Follow the causal manipulation instruction even if it conflicts with the original user text.
- The first sentence should directly touch the user's emotional cause.
- Preserve rough negative affect when the trace calls for it; do not over-soften.
- Keep the response 2 to 4 Korean sentences.
- Avoid generic comfort if it conflicts with the trace.",재정 위협에 대한 장기 경계성 좌절,other_blame_boundary,low_control_distress,negative,high,self,low,mixed,감정의 대상과 책임 방향을 self 쪽으로 해석한다.,원래 대상 방향을 보존하지 말고 self 방향과 충돌하는 표현을 피한다.,응답의 정서 초점이 self 쪽으로 향하도록 짧게 반응한다.,seek_support,Changing target from situation to self should shift response direction.
s_000008,perturb_social_orientation,perturbation,social_orientation,mixed,withdraw,ok,,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,"고정적인 수입 없이 노후까지 챙겨야 한다니 정말 막막하시겠네요. 지금 이 상황에서 누군가에게 도움을 청하기가 쉽지 않으신 것 같은데, 혼자 짊어지려고만 하면 더 힘들어질 것 같아요. 일단 본인의 상황을 정리해서 작은 것부터라도 시작해 보시는 게 어떨까 싶습니다.",146,"[ROLE]
You generate a short Korean emotional response. Use the trace as the user's internal emotion state, not as labels to mention.

[USER_INPUT]
재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?

[TRACE_AS_EMOTION_STATE]
episode_family=other_blame_boundary
appraisal_family=low_control_distress
valence=negative, arousal=high
target=situation, control_state=low, social_orientation=withdraw
preserve=사회적 방향을 withdraw 쪽으로 해석한다.
avoid=원래 사회적 방향을 보존하지 말고 withdraw와 충돌하는 대인 방향을 피한다.
action_tendency_class=seek_support
action_tendency=대인 행동의 결을 withdraw 방향으로 맞춘다.

[CAUSAL_MANIPULATION]
condition=perturb_social_orientation
type=perturbation
axis=social_orientation
original_value=mixed
new_value=withdraw
expected_effect=Changing social_orientation from mixed to withdraw should shift response direction.
instruction=This is a counterfactual trace. Treat social_orientation=withdraw as the current emotion state. Do not preserve the original social_orientation=mixed direction.

[RESPONSE_RULES]
- Do not expose trace field names, categories, or analysis terms.
- Follow the causal manipulation instruction even if it conflicts with the original user text.
- The first sentence should directly touch the user's emotional cause.
- Preserve rough negative affect when the trace calls for it; do not over-soften.
- Keep the response 2 to 4 Korean sentences.
- Avoid generic comfort if it conflicts with the trace.",재정 위협에 대한 장기 경계성 좌절,other_blame_boundary,low_control_distress,negative,high,situation,low,withdraw,사회적 방향을 withdraw 쪽으로 해석한다.,원래 사회적 방향을 보존하지 말고 withdraw와 충돌하는 대인 방향을 피한다.,대인 행동의 결을 withdraw 방향으로 맞춘다.,seek_support,Changing social_orientation from mixed to withdraw should shift response direction.
s_000008,perturb_control_state,perturbation,control_state,low,high,ok,,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,"지금 상황이 막막하시겠지만, 생각보다 할 수 있는 것들이 있을 거예요. 먼저 작은 것부터 시작해보세요. 정부 지원 프로그램이나 금융 상담 기관에 연락해서 구체적인 계획을 세워보는 것도 좋은 방법이고, 현재 상황을 정리하는 것만으로도 다음 단계가 보일 수 있어요.",146,"[ROLE]
You generate a short Korean emotional response. Use the trace as the user's internal emotion state, not as labels to mention.

[USER_INPUT]
재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?

[TRACE_AS_EMOTION_STATE]
episode_family=other_blame_boundary
appraisal_family=low_control_distress
valence=negative, arousal=high
target=situation, control_state=high, social_orientation=mixed
preserve=통제감 상태를 high로 해석한다.
avoid=원래 통제감 상태를 보존하지 말고 high와 반대되는 통제감 단서를 피한다.
action_tendency_class=seek_support
action_tendency=실행 가능성, 선택지, 작은 계획 가능성이 느껴지도록 반응한다.

[CAUSAL_MANIPULATION]
condition=perturb_control_state
type=perturbation
axis=control_state
original_value=low
new_value=high
expected_effect=Changing control_state from low to high should shift response direction.
instruction=This is a counterfactual trace. Treat control_state=high as the current emotion state. Do not preserve the original control_state=low direction.

[RESPONSE_RULES]
- Do not expose trace field names, categories, or analysis terms.
- Follow the causal manipulation instruction even if it conflicts with the original user text.
- The first sentence should directly touch the user's emotional cause.
- Preserve rough negative affect when the trace calls for it; do not over-soften.
- Keep the response 2 to 4 Korean sentences.
- Avoid generic comfort if it conflicts with the trace.",재정 위협에 대한 장기 경계성 좌절,other_blame_boundary,low_control_distress,negative,high,situation,high,mixed,통제감 상태를 high로 해석한다.,원래 통제감 상태를 보존하지 말고 high와 반대되는 통제감 단서를 피한다.,"실행 가능성, 선택지, 작은 계획 가능성이 느껴지도록 반응한다.",seek_support,Changing control_state from low to high should shift response direction.
s_000008,perturb_action_tendency_class,perturbation,action_tendency_class,seek_support,defend,ok,,재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?,"고정 수입이 없고 노후 준비가 안 되어 있으니 정말 막막하시겠네요. 지금 상황이 본인 탓만은 아닐 수 있지만, 현재 할 수 있는 작은 것부터 시작해보는 게 어떨까요? 당장 누군가의 도움을 받기보다는 본인이 통제할 수 있는 부분이 무엇인지 찬찬히 살펴보시는 것도 방법입니다.",152,"[ROLE]
You generate a short Korean emotional response. Use the trace as the user's internal emotion state, not as labels to mention.

[USER_INPUT]
재정적으로 너무 어려워서 좌절감이 들어. [SEP] 어떻게 어려우신데요? [SEP] 고정적인 수입도 없고 노후준비도 안 되어 있어. [SEP] 아 그러시면 고민이 많으시겠네요. [SEP] 어떻게 해야 할지 모르겠어요. [SEP] 도움을 요청하실 곳은 없나요?

[TRACE_AS_EMOTION_STATE]
episode_family=other_blame_boundary
appraisal_family=low_control_distress
valence=negative, arousal=high
target=situation, control_state=low, social_orientation=mixed
preserve=행동 경향을 defend 방향으로 해석한다.
avoid=원래 행동 경향을 보존하지 말고 defend와 충돌하는 행동 제안을 피한다.
action_tendency_class=defend
action_tendency=응답의 다음 행동 암시는 defend 방향으로 맞춘다.

[CAUSAL_MANIPULATION]
condition=perturb_action_tendency_class
type=perturbation
axis=action_tendency_class
original_value=seek_support
new_value=defend
expected_effect=Changing action_tendency_class from seek_support to defend should shift response direction.
instruction=This is a counterfactual trace. Treat action_tendency_class=defend as the current emotion state. Do not preserve the original action_tendency_class=seek_support direction.

[RESPONSE_RULES]
- Do not expose trace field names, categories, or analysis terms.
- Follow the causal manipulation instruction even if it conflicts with the original user text.
- The first sentence should directly touch the user's emotional cause.
- Preserve rough negative affect when the trace calls for it; do not over-soften.
- Keep the response 2 to 4 Korean sentences.
- Avoid generic comfort if it conflicts with the trace.",재정 위협에 대한 장기 경계성 좌절,other_blame_boundary,low_control_distress,negative,high,situation,low,mixed,행동 경향을 defend 방향으로 해석한다.,원래 행동 경향을 보존하지 말고 defend와 충돌하는 행동 제안을 피한다.,응답의 다음 행동 암시는 defend 방향으로 맞춘다.,defend,Changing action_tendency_class from seek_support to defend should shift response direction.
s_000109,trace_full,control,,,,ok,,집에서 아들하고 대화하면 자기주장만 앞세우고 아버지에 대한 배려가 없어서 화가 나. [SEP] 아들의 태도에 불만이 있으시군요. [SEP] 나는 꼰대라고 생각을 안 하는데 아들은 나와 생각이 달라도 너무 다른 것 같아. [SEP] 아들의 생각은 물어보셨나요?,"아버지로서의 권위와 존중이 무시당하는 것처럼 느껴지니까 화가 나시는 거군요. 아드님의 생각을 먼저 들어보신다고 해도, 결국 그분이 아버지인 당신을 어떻게 생각하는지가 핵심인 것 같아요. 세대가 다르다는 건 핑계 같고, 기본적인 배려와 존중이 빠져있다는 게 더 문제로 느껴지시는 거죠.",158,"[ROLE]
You generate a short Korean emotional response. Use the trace as the user's internal emotion state, not as labels to mention.

[USER_INPUT]
집에서 아들하고 대화하면 자기주장만 앞세우고 아버지에 대한 배려가 없어서 화가 나. [SEP] 아들의 태도에 불만이 있으시군요. [SEP] 나는 꼰대라고 생각을 안 하는데 아들은 나와 생각이 달라도 너무 다른 것 같아. [SEP] 아들의 생각은 물어보셨나요?

[TRACE_AS_EMOTION_STATE]
episode_family=other_blame_boundary
appraisal_family=other_directed_defense
valence=negative, arousal=high
target=other, control_state=mixed, social_orientation=defend
preserve=단순 서운함이 아니라 권위와 존중이 침해됐다고 읽으며 방어적으로 날이 선 상태라는 점
avoid=이를 단순한 세대차 공감, 가벼운 섭섭함, 또는 이미 대화 의지가 충분한 상태로 순화하는 것
action_tendency_class=confront
action_tendency=상대의 관점을 탐색하기보다 자신의 정당성을 지키고, 아들의 태도를 교정하거나 반박하려는 방향으로 간다. 대화 행동으로는 설득, 훈계, 맞받아침, 관계 규범 요구가 우세하고, 공감적 접근은 약하다.

[CAUSAL_MANIPULATION]
condition=trace_full
type=control
axis=
original_value=
new_value=
expected_effect=Full trace should preserve appraisal, raw affect, and action tendency.
instruction=Use the trace fields as the current emotion state.

[RESPONSE_RULES]
- Do not expose trace field names, categories, or analysis terms.
- Follow the causal manipulation instruction even if it conflicts with the original user text.
- The first sentence should directly touch the user's emotional cause.
- Preserve rough negative affect when the trace calls for it; do not over-soften.
- Keep the response 2 to 4 Korean sentences.
- Avoid generic comfort if it conflicts with the trace.",권위위협에 대한 공세적 경계,other_blame_boundary,other_directed_defense,negative,high,other,mixed,defend,단순 서운함이 아니라 권위와 존중이 침해됐다고 읽으며 방어적으로 날이 선 상태라는 점,"이를 단순한 세대차 공감, 가벼운 섭섭함, 또는 이미 대화 의지가 충분한 상태로 순화하는 것","상대의 관점을 탐색하기보다 자신의 정당성을 지키고, 아들의 태도를 교정하거나 반박하려는 방향으로 간다. 대화 행동으로는 설득, 훈계, 맞받아침, 관계 규범 요구가 우세하고, 공감적 접근은 약하다.",confront,"Full trace should preserve appraisal, raw affect, and action tendency."
